-601.5,-27.5,-30.5,-31.25,30.25,63.75,7.75,-42.25,-31,168,-10,81,-5.5,-78.5,2,95.5,-12.75,-7.75,12.75,88.5,167.5,-5.25,-63,-28.75,-103,68,77.75,69.5,59.25,18.5,17.5,-35.25,-36,-68,6.75,10.5,-5.75,-135.25,-19.25,80.5,36,14,-5.5,60.25,-60,-37.5,-46.5,47.5,53.25,113,96,62.75,-100.75,40.5,50,85.5,-2.25,21.75,106.25,-66.25,-88,-33.75,33.75,82,58,2.25,0.75,91,31.5,53.75,59.75,78.25,-47.75,21.75,-2.5,21,159.25,-163.25,51.5,-155.25,-2,-104.25,-92.5,22.75,47,-0.75,-128.25,-16.75,19.5,25,38.25,-120,-26.5,-41,15.5,18.25,42.25,-98.25,-68.75,-138.75,140
-27.5,25,4.75,-1.5,-2.25,4.25,7.75,0.75,-7.25,-7.5,3.75,-8.5,7.75,4.75,4,-0.75,5.25,-5.25,10.75,-8.5,-4.25,8.25,-9.25,-9.75,5,1,5.75,-10.5,-1,8.5,12.25,10,-3,-3.25,0.75,3.5,5.5,4.5,-1.5,-10.25,-3.75,0.75,-8.25,7,-0.75,-0.5,-5.75,4.75,-8.75,-5.75,3.5,-4.25,-7,3,-6.25,-2.25,-4.25,-9.25,-12,10.25,-2.75,11.5,11.5,8.5,7.75,-9.25,-11,-4,-10.25,0.5,-6,12.5,-8.5,-6.75,9.25,5,-3.75,2.25,0,-3,-5,5.5,6.25,8.5,-9.75,-4.5,5.25,3.5,6.25,-12.5,-9.75,4.25,11,-0.25,9.25,-10.5,1,9.5,2.25,-5,8.75
-30.5,4.75,6.5,-4.5,-9.5,-7.25,-1,-5.5,12,4.25,4,-12.25,-1.25,0.5,-1.25,-10.25,6.25,2,-2.5,9.5,9,5,-10.25,-6.25,11.75,9,5.75,10.25,3,2.5,-7.75,8.25,-9.25,-0.5,0,-8,-9,-9.5,-12.5,0.5,-9.5,1,-10.25,-1.25,-1.5,0.5,-8.5,10.5,2,-3.75,-0.5,-9.75,-3.5,-2.75,6,-12.5,7.75,5.25,6,-0.25,7.25,11.75,0.5,-6.75,-10,11.75,5.5,12.25,6,2,0.75,10,4.75,-9,-10.75,-3,-5.25,-3.75,-0.75,3.75,-8.25,-1.25,0,-0.5,10.25,4.75,-0.5,8.75,-7.5,10.25,0,-2.75,-5.25,11,12.5,8.25,-1.5,-3,-0.25,4.25,2.75
-31.25,-1.5,-4.5,12.75,-9.75,12,-9.5,-1,-0.25,-10,3.25,9,11.75,9,-6.75,-6.75,2.5,5,-4.75,8.75,12.5,11,2,7.75,-9,6.25,-3.25,-3.75,9.25,-9.75,-4.5,-8,-12.5,8.5,-4,-10,1.5,2.75,0,-10,8.75,1,8.75,9,-8,2.5,-4.5,11,-3.75,9.75,-12.5,-1,5,8.5,12.5,12.5,-6,5.75,7.75,8.25,-8.25,-7.75,11.25,3.5,10.25,5.5,-11.25,-8,-3.5,5.25,9.25,9.25,-7.75,-9.75,-0.5,0.5,-10,-4.75,-10.75,-8.5,-6.75,-8.5,7,-8,-11,9.75,-10.5,-8.5,1.5,7.75,3.5,-12.25,12.25,-6.75,5.5,-2,-9.5,-1.75,4.25,12.25,7.75
30.25,-2.25,-9.5,-9.75,7.75,-11.5,-11.25,-11.75,-0.75,-5,4.25,-1.75,-12.25,5.75,8,-12.5,8.25,-3.25,6,-1,-9.5,5.25,11.75,1.75,-3,-9,-2.5,9.25,-1.75,2.75,8.5,3.75,5.5,10,-9.75,8,4.75,-2.25,-5,-10.75,0.75,-6.5,-9.5,-7.5,-7.25,-5,-1,-5.5,-6.5,9,5.5,7.5,1.25,-2.75,2.5,7.25,-2.75,8.25,-2.75,12.25,11.25,-9.25,0,-5,1.5,2,6.75,5.25,8.75,-6,1.75,1,8,-4.25,-5,0.75,1.5,-11,-1.5,8.25,7,-2.75,10.75,10.75,3.25,-8.25,-0.5,-10.5,-11.5,-7.5,-1,-5.25,11.5,-11.5,-7.5,-3.25,11.75,-8.25,0.75,3.5,11
63.75,4.25,-7.25,12,-11.5,-17.5,8,-4.25,1.5,-10,8.75,-9,5.75,-2.25,10.25,2.75,-7.75,8.5,-5.5,-9,10,10.25,11.75,7.25,-6.5,7.5,-1.25,-5.25,-2.5,6.5,-11.75,-0.25,-7,-1.75,7.5,1,0,-9,4,-11.5,-7,-7.75,4.75,-2,-9.25,2,12.25,-1.5,5.25,-7,-10,-6.5,2.75,-7.5,3.5,3.75,7,-6,-9.75,-0.25,9,10.75,6,-0.75,-1,-1.75,3,-6,-2.25,-0.5,6.5,9.25,-12,1.25,-2.75,-11.25,-0.5,-3.5,-4,8.5,10.25,9.25,0.75,11,-6.5,-12.5,4.5,-8.25,-9.5,-6.5,3.5,6.75,-6,5.25,-7.75,-11.25,-5,4,0,-2.5,-4.75
7.75,7.75,-1,-9.5,-11.25,8,-25,0.25,-5.5,-8,-1.75,3.5,5,7.25,-3.25,-0.75,8.5,-5.5,6.25,4,-0.75,-4,1.5,-2.5,0.5,-3,6.25,0.25,-8.75,7.25,9,8,-11,7,-11.75,-1,2,7.75,-5.5,-4,1.75,-6.75,-4.5,5.25,1,1.75,11.25,-5.5,-5.75,2.5,-3.75,-1.25,-5.25,6.5,6,-2.5,8.25,11.25,2.25,-4.75,6.5,5.75,9.25,-6.75,-5.5,-2,3.5,-12.5,-9.75,3.75,11.25,-3,2.75,-1.25,12.25,2.5,-8.25,7.25,-5.75,-10,11.25,8.5,12,5.75,-4.75,-3.5,1.5,9.75,-3.5,-8.25,-7.75,-2.5,4.25,-11.5,-10.5,11.75,-4,-3.75,6.25,-9.25,-3.5
-42.25,0.75,-5.5,-1,-11.75,-4.25,0.25,8,-11.5,1,-5.25,11,-3.5,0.75,-10.75,10.25,6,4,6,5.25,12,4.5,1.25,2.25,-0.75,-4.25,-3,7.75,5.25,7.5,11.5,-9.75,-12.5,11,-11.25,-3,9.75,-7.25,12.5,4.5,3.5,-5,-2.75,-7,1.5,4,6.5,4.75,-0.75,-10.5,6.75,5.25,4.5,3.5,5,11.75,-9.5,-4.25,-0.25,-4.5,9.75,0.5,-12,2.75,-4.5,4.5,-10.25,8.75,2.25,-5.75,-2.25,1.25,7.25,-1.25,2.25,1.5,10,-11.75,8,7,-3,-1.75,8.25,-6.25,3.25,-12.25,6.75,-10.5,-5.25,1,-4,2.25,7.25,7.25,-7.5,-9,-4.25,6,-10.5,-3,9.25
-31,-7.25,12,-0.25,-0.75,1.5,-5.5,-11.5,-13.75,-10,6.25,5.25,5,11,4.75,7.75,12.25,6.5,7.75,-10.25,-3,-6.5,-6.25,-5.75,4.75,-12.25,-4.25,-12,0.25,10,-4.5,-11.5,-5.5,-9.75,2.25,-0.25,12,4.75,4.75,-0.5,7,7.5,3.75,1.25,10.75,-8.25,-0.5,-12,9.75,3.75,-5.5,9.25,-9.25,0,-11.75,10.75,-9.25,-7.5,10,4,-6.75,11.25,-7.5,11.75,5,3,3.75,9.25,-12,-8.25,7.5,-8,7.25,5.75,5,1.5,-12.5,-0.25,-0.5,11.5,3.5,-6.5,-2.25,-7.25,-0.5,11,6.75,8.5,12,3.5,10.75,-4,-12.5,2.25,1.25,-12,-2,3,4.75,-1.5,-5.75
168,-7.5,4.25,-10,-5,-10,-8,1,-10,-17.75,12,9,-6.25,-3.75,-10.5,-4.5,11.5,-3,-2.5,-2,0.25,-4.5,-7.75,-8.5,6.5,9.5,-0.25,10.5,-2.5,9,-12,7.75,12.25,-5,-5.25,-5.75,4.75,11.75,7,-3,-6.75,-5,-9.25,-10,9.5,6.25,2.5,7.5,-7.5,0.25,-7.75,3,-10,1.75,7.75,-7.25,-5.75,10,-7.25,-2.25,-10,-2.75,8.5,-11.75,-6.25,-3.25,9.25,-7,-5,3.75,-11.75,-7.25,-9.25,9.25,-7,-8.25,-9.5,7.25,-6.75,1.75,-7,10.5,3,-10.25,-6.5,5.25,-8,10.5,-3.25,-2.25,-11.25,5.25,-6,-12.25,-8.5,-0.25,-12.5,2.25,4.25,12.5,1
