instance,target,combined_best,combined_gap,status
G1,11624.0,11624.0,0.0,previous
G2,11620.0,11620.0,0.0,previous
G3,11622.0,11622.0,0.0,previous
G4,11646.0,11646.0,0.0,previous
G5,11631.0,11631.0,0.0,previous
G6,2178.0,2178.0,0.0,previous
G7,2006.0,2006.0,0.0,previous
G8,2005.0,2005.0,0.0,previous
G9,2054.0,2054.0,0.0,previous
G10,2000.0,2000.0,0.0,previous
G11,564.0,564.0,0.0,previous
G12,556.0,556.0,0.0,previous
G13,582.0,582.0,0.0,previous
G14,3064.0,3063.0,1.0,unresolved
G15,3050.0,3050.0,0.0,confirmed
G16,3052.0,3052.0,0.0,confirmed
G17,3047.0,3047.0,0.0,discovery_only
G18,992.0,992.0,0.0,confirmed
G19,906.0,906.0,0.0,confirmed
G20,941.0,941.0,0.0,previous
G21,931.0,931.0,0.0,confirmed
G22,13359.0,13359.0,0.0,confirmed
G23,13344.0,13342.0,2.0,unresolved
G24,13337.0,13337.0,0.0,confirmed
G25,13340.0,13340.0,0.0,confirmed
G26,13328.0,13326.0,2.0,unresolved
G27,3341.0,3341.0,0.0,previous
G28,3298.0,3298.0,0.0,discovery_only
G29,3405.0,3404.0,1.0,unresolved
G30,3413.0,3412.0,1.0,unresolved
G31,3310.0,3309.0,1.0,unresolved
G32,1410.0,1406.0,4.0,unresolved
G33,1382.0,1376.0,6.0,unresolved
G34,1384.0,1378.0,6.0,unresolved
G35,7687.0,7674.0,13.0,unresolved
G36,7680.0,7664.0,16.0,unresolved
G37,7691.0,7673.0,18.0,unresolved
G38,7688.0,7674.0,14.0,unresolved
G39,2408.0,2404.0,4.0,unresolved
G40,2400.0,2398.0,2.0,unresolved
G41,2405.0,2402.0,3.0,unresolved
G42,2481.0,2473.0,8.0,unresolved
G43,6660.0,6660.0,0.0,previous
G44,6650.0,6650.0,0.0,previous
G45,6654.0,6654.0,0.0,previous
G46,6649.0,6649.0,0.0,previous
G47,6657.0,6657.0,0.0,previous
G48,6000.0,6000.0,0.0,previous
G49,6000.0,6000.0,0.0,previous
G50,5880.0,5880.0,0.0,previous
G51,3848.0,3847.0,1.0,unresolved
G52,3851.0,3848.0,3.0,unresolved
G53,3850.0,3846.0,4.0,unresolved
G54,3852.0,3848.0,4.0,unresolved
