family,parameter,method,mean_error_percent,mean_energy_excess,ground_hits,trials
chook-tile,0.0,lqa,2.802734375,57.4,0,10
chook-tile,0.0,qefem,0.732421875,15.0,0,10
chook-tile,0.1,lqa,2.354124748490941,46.8,0,10
chook-tile,0.1,qefem,0.5935613682092521,11.8,0,10
chook-tile,0.2,lqa,1.6246786632390688,31.6,0,10
chook-tile,0.2,qefem,0.5141388174807101,10.0,0,10
chook-tile,0.3,lqa,1.326315789473678,25.2,0,10
chook-tile,0.3,qefem,0.389473684210521,7.4,0,10
chook-tile,0.4,lqa,1.1919081465281522,21.8,0,10
chook-tile,0.4,qefem,0.174958993985782,3.2,0,10
chook-tile,0.5,lqa,1.038525963149075,18.6,0,10
chook-tile,0.5,qefem,0.0,0.0,10,10
chook-tile,0.6,lqa,0.9186046511627858,15.8,0,10
chook-tile,0.6,qefem,0.0,0.0,10,10
chook-tile,0.7,lqa,0.42882668254913203,7.2,0,10
chook-tile,0.7,qefem,0.0,0.0,10,10
chook-tile,0.8,lqa,0.318432333129205,5.2,0,10
chook-tile,0.8,qefem,0.0,0.0,10,10
chook-tile,0.9,lqa,0.138190954773866,2.2,4,10
chook-tile,0.9,qefem,0.0,0.0,10,10
chook-tile,1.0,lqa,0.052083333333331996,0.8,6,10
chook-tile,1.0,qefem,0.0,0.0,10,10
wishart,0.1,lqa,2.3677318400010323,0.5923870876033384,0,5
wishart,0.1,qefem,0.715696293377444,0.1790613428766434,0,5
wishart,0.2,lqa,3.059449309173154,1.5289549480250586,0,5
wishart,0.2,qefem,1.5864584922375982,0.7928301195480827,0,5
wishart,0.3,lqa,4.035648888786829,3.037283120426596,0,5
wishart,0.3,qefem,2.5644236182000086,1.9300193807305248,0,5
wishart,0.4,lqa,5.0565951194159116,5.080288964912424,0,5
wishart,0.4,qefem,3.6867827982393733,3.7040580714099063,0,5
wishart,0.5,lqa,5.879209152823712,7.364251875531275,0,5
wishart,0.5,qefem,4.821540603289585,6.039424437498016,0,5
wishart,0.6,lqa,7.407637675998398,11.113494626500017,0,5
wishart,0.6,qefem,5.983000982337092,8.976147616262267,0,5
wishart,0.7,lqa,8.630134225152748,15.087245000157669,0,5
wishart,0.7,qefem,7.1743664181817834,12.54226423924436,0,5
wishart,0.8,lqa,9.681358760458894,19.297542115890923,0,5
wishart,0.8,qefem,8.36021333214019,16.664145278215166,0,5
wishart,0.9,lqa,10.920226932793337,24.532257116352916,0,5
wishart,0.9,qefem,5.824912174683681,13.085647764369435,2,5
wishart,1.0,lqa,12.372602959628894,30.95443506445593,0,5
wishart,1.0,qefem,0.0,0.0,5,5
