partition,graph,N,M,best_known_cut,qefem_best_cut,gap,accuracy_percent,best_step,best_replica,replicas,steps,optimizer,lr,runtime_sec
10,G55,5000,12498,10299.0,10205.0,94.0,99.08729002815808,850,44,128,1000,Adam,0.01,12.089287757873535
10,G56,5000,12498,4017.0,3908.0,109.0,97.28653223798857,600,53,128,1000,Adam,0.01,12.111849069595335
11,G57,5000,10000,3494.0,3428.0,66.0,98.11104751001716,500,10,128,1000,Adam,0.01,11.204553127288818
12,G58,5000,29570,19293.0,19061.0,232.0,98.79749131809464,800,56,128,1000,Adam,0.01,18.57752585411072
12,G59,5000,29570,6086.0,5854.0,232.0,96.18797239566216,700,122,128,1000,Adam,0.01,19.772762060165405
13,G60,7000,17148,14188.0,14045.0,143.0,98.99210600507472,750,120,128,1000,Adam,0.01,18.05151081085205
13,G61,7000,17148,5796.0,5651.0,145.0,97.49827467218772,850,51,128,1000,Adam,0.01,18.24864602088928
14,G62,7000,14000,4870.0,4790.0,80.0,98.35728952772074,400,97,128,1000,Adam,0.01,17.24835729598999
15,G63,7000,41459,27047.0,26755.0,292.0,98.92039782600658,800,102,128,1000,Adam,0.01,28.825478076934814
15,G64,7000,41459,8751.0,8440.0,311.0,96.4461204433779,900,114,128,1000,Adam,0.01,28.19923496246338
16,G65,8000,16000,5562.0,5450.0,112.0,97.98633585041352,400,89,128,1000,Adam,0.01,19.745007753372192
17,G66,9000,18000,6364.0,6228.0,136.0,97.8629792583281,400,95,128,1000,Adam,0.01,22.29799485206604
18,G67,10000,20000,6950.0,6806.0,144.0,97.92805755395683,450,31,128,1000,Adam,0.01,25.412379026412964
18,G72,10000,20000,7008.0,6858.0,150.0,97.85958904109587,400,17,128,1000,Adam,0.01,25.05265212059021
19,G70,10000,9999,9591.0,9419.0,172.0,98.20665206964864,950,126,128,1000,Adam,0.01,19.783353090286255
20,G77,14000,28000,9940.0,9724.0,216.0,97.82696177062374,450,26,128,1000,Adam,0.01,32.81381821632385
21,G81,20000,40000,14060.0,13716.0,344.0,97.55334281650072,400,63,128,1000,Adam,0.01,47.49172806739807
