partition,graph,step,beta,gamma,loss,free_energy_mean,expected_cut_mean,expected_cut_max,hard_cut_mean,hard_cut_max,best_cut_so_far,best_known_cut,gap,accuracy_percent,R_mean,rx_abs_mean,rz_abs_mean,best_replica_so_far,elapsed_sec
14,G62,1,0.8620690107345581,1.0,-5657.9482421875,-5657.9482421875,-40.0,-40.0,-90.6875,66.0,66.0,4870.0,4804.0,1.3552361396303902,0.01009947806596756,0.010099225677549839,6.97375216986984e-05,55,0.016724109649658203
14,G62,50,0.9065311551094055,0.9509509801864624,-5421.8212890625,-5421.8212890625,-40.0,-40.0,-35.015625,96.0,96.0,4870.0,4774.0,1.9712525667351128,0.01679905503988266,0.01679905503988266,3.7191207411524374e-06,96,1.0397729873657227
14,G62,100,0.9568911194801331,0.9009009003639221,-5220.591796875,-5220.591796875,-40.0,-40.0,-355.8125,-240.0,96.0,4870.0,4774.0,1.9712525667351128,0.031085442751646042,0.031085442751646042,6.123732987362018e-07,96,1.948484182357788
14,G62,150,1.0131754875183105,0.8508508205413818,-5113.73828125,-5113.73828125,-40.0,-40.0,-1173.265625,-986.0,96.0,4870.0,4774.0,1.9712525667351128,0.06460089236497879,0.0646008849143982,3.553578790160827e-05,96,2.772722005844116
14,G62,200,1.076494812965393,0.8008008003234863,-5198.728515625,-5198.728515625,-40.0,-40.0,-1416.125,-1214.0,96.0,4870.0,4774.0,1.9712525667351128,0.14457285404205322,0.14457280933856964,9.53285489231348e-05,96,3.566556215286255
14,G62,250,1.1482561826705933,0.7507507801055908,-5468.1513671875,-5468.1513671875,-40.00017547607422,-40.00013732910156,-2450.828125,-2292.0,96.0,4870.0,4774.0,1.9712525667351128,0.2991245687007904,0.29912447929382324,0.00020920105453114957,96,4.381293058395386
14,G62,300,1.2302684783935547,0.7007007002830505,-5559.6201171875,-5559.6201171875,-39.996402740478516,-39.978050231933594,-276.078125,164.0,164.0,4870.0,4706.0,3.3675564681724848,0.475196897983551,0.47519493103027344,0.0005922053824178874,123,5.170456171035767
14,G62,350,1.324897050857544,0.6506506204605103,-5559.8818359375,-5559.8818359375,921.7532958984375,933.556884765625,4744.546875,4772.0,4772.0,4870.0,98.0,97.98767967145791,0.6155228018760681,0.4489944577217102,0.39338716864585876,97,6.031080961227417
14,G62,400,1.435295581817627,0.6006006002426147,-5650.0771484375,-5650.0771484375,1999.6326904296875,2024.8782958984375,4751.640625,4790.0,4790.0,4870.0,80.0,98.35728952772074,0.7441874742507935,0.42516806721687317,0.5783079862594604,97,6.828920125961304
14,G62,450,1.5657646656036377,0.5505505800247192,-5627.2978515625,-5627.2978515625,2743.456787109375,2775.4814453125,4751.84375,4790.0,4790.0,4870.0,80.0,98.35728952772074,0.8198607563972473,0.40163978934288025,0.6804957985877991,97,7.628943204879761
14,G62,500,1.7223249673843384,0.500500500202179,-5528.7666015625,-5528.7666015625,3222.31201171875,3257.1845703125,4751.90625,4790.0,4790.0,4870.0,80.0,98.35728952772074,0.8629076480865479,0.3759974241256714,0.7413212060928345,97,8.490668058395386
14,G62,550,1.913672685623169,0.45045047998428345,-5404.92626953125,-5404.92626953125,3556.844970703125,3593.0986328125,4751.90625,4790.0,4790.0,4870.0,80.0,98.35728952772074,0.8898259401321411,0.3486076593399048,0.782508909702301,97,9.454971313476562
14,G62,600,2.152850866317749,0.40040040016174316,-5277.8857421875,-5277.8857421875,3809.0009765625,3846.02880859375,4751.90625,4790.0,4790.0,4870.0,80.0,98.35728952772074,0.9082700610160828,0.31992828845977783,0.8132128119468689,97,10.390984058380127
14,G62,650,2.460355520248413,0.35035037994384766,-5156.6376953125,-5156.6376953125,4008.24560546875,4045.7255859375,4751.90625,4790.0,4790.0,4870.0,80.0,98.35728952772074,0.9217758178710938,0.29021066427230835,0.8374980092048645,97,11.30376410484314
14,G62,700,2.8703441619873047,0.3003003001213074,-5045.056640625,-5045.056640625,4169.58203125,4207.3251953125,4751.90625,4790.0,4790.0,4870.0,80.0,98.35728952772074,0.9321251511573792,0.25956442952156067,0.8573773503303528,97,12.106559038162231
14,G62,750,3.4442949295043945,0.25025027990341187,-4944.92529296875,-4944.92529296875,4301.33154296875,4339.19970703125,4751.921875,4790.0,4790.0,4870.0,80.0,98.35728952772074,0.9403058886528015,0.22800694406032562,0.8739495873451233,97,12.891244173049927
14,G62,800,4.305146217346191,0.20020020008087158,-4857.10205078125,-4857.10205078125,4408.4462890625,4446.3515625,4751.921875,4790.0,4790.0,4870.0,80.0,98.35728952772074,0.9469135403633118,0.19548851251602173,0.8878651261329651,97,13.687124013900757
14,G62,850,5.739701271057129,0.15015017986297607,-4782.08154296875,-4782.08154296875,4494.08056640625,4531.951171875,4751.921875,4790.0,4790.0,4870.0,80.0,98.35728952772074,0.9523344039916992,0.16186361014842987,0.8995799422264099,97,14.591962099075317
14,G62,900,8.608070373535156,0.10010010004043579,-4720.23779296875,-4720.23779296875,4560.3017578125,4598.087890625,4751.921875,4790.0,4790.0,4870.0,80.0,98.35728952772074,0.9568305015563965,0.12678521871566772,0.9096403121948242,97,15.440252304077148
14,G62,950,17.207260131835938,0.05005007982254028,-4672.06396484375,-4672.06396484375,4608.5712890625,4646.2490234375,4751.921875,4790.0,4790.0,4870.0,80.0,98.35728952772074,0.9605832695960999,0.08882493525743484,0.9196538925170898,97,16.331199169158936
14,G62,1000,16666.66796875,0.0,-4639.984375,-4639.984375,4639.9541015625,4677.53564453125,4751.921875,4790.0,4790.0,4870.0,80.0,98.35728952772074,0.9637406468391418,0.03220432251691818,0.9392663240432739,97,17.236773252487183
