partition,graphs,mean_best_known_cut,mean_qefem_best_cut,mean_gap,mean_accuracy_percent,mean_runtime_sec,total_runtime_sec
10,2,7158.0,7056.5,101.5,98.18691113307332,12.100568413734436,24.201136827468872
11,1,3494.0,3428.0,66.0,98.11104751001716,11.204553127288818,11.204553127288818
12,2,12689.5,12457.5,232.0,97.49273185687841,19.17514395713806,38.35028791427612
13,2,9992.0,9848.0,144.0,98.24519033863122,18.150078415870667,36.30015683174133
14,1,4870.0,4790.0,80.0,98.35728952772074,17.24835729598999,17.24835729598999
15,2,17899.0,17597.5,301.5,97.68325913469224,28.512356519699097,57.02471303939819
16,1,5562.0,5450.0,112.0,97.98633585041352,19.745007753372192,19.745007753372192
17,1,6364.0,6228.0,136.0,97.8629792583281,22.29799485206604,22.29799485206604
18,2,6979.0,6832.0,147.0,97.89382329752635,25.232515573501587,50.465031147003174
19,1,9591.0,9419.0,172.0,98.20665206964864,19.783353090286255,19.783353090286255
20,1,9940.0,9724.0,216.0,97.82696177062374,32.81381821632385,32.81381821632385
21,1,14060.0,13716.0,344.0,97.55334281650072,47.49172806739807,47.49172806739807
