partition,graph,N,M,best_known_cut,qefem_best_cut,gap,accuracy_percent,best_step,best_replica,replicas,steps,optimizer,lr,runtime_sec,graphs,mean_best_known_cut,mean_qefem_best_cut,mean_gap,mean_accuracy_percent,mean_runtime_sec,total_runtime_sec
10,G55,5000.0,12498.0,10299.0,10195.0,104.0,98.99019322264296,800.0,43.0,128.0,1000.0,Adam,0.01,13.877591133117676,,,,,,,
10,G56,5000.0,12498.0,4017.0,3915.0,102.0,97.46079163554892,750.0,99.0,128.0,1000.0,Adam,0.01,15.026528120040894,,,,,,,
10,,,,,,,,,,,,,,,2.0,7158.0,7055.0,103.0,98.22549242909594,14.452059626579285,28.90411925315857
11,G57,5000.0,10000.0,3494.0,3428.0,66.0,98.11104751001716,500.0,10.0,128.0,1000.0,Adam,0.01,12.622632265090942,,,,,,,
11,,,,,,,,,,,,,,,1.0,3494.0,3428.0,66.0,98.11104751001716,12.622632265090942,12.622632265090942
12,G58,5000.0,29570.0,19293.0,19084.0,209.0,98.91670554086974,750.0,94.0,128.0,1000.0,Adam,0.01,21.10778784751892,,,,,,,
12,G59,5000.0,29570.0,6086.0,5856.0,230.0,96.22083470259612,700.0,126.0,128.0,1000.0,Adam,0.01,20.48904013633728,,,,,,,
12,,,,,,,,,,,,,,,2.0,12689.5,12470.0,219.5,97.56877012173294,20.7984139919281,41.5968279838562
13,G60,7000.0,17148.0,14188.0,14037.0,151.0,98.93572032703692,650.0,116.0,128.0,1000.0,Adam,0.01,21.746036291122437,,,,,,,
13,G61,7000.0,17148.0,5796.0,5642.0,154.0,97.34299516908212,700.0,125.0,128.0,1000.0,Adam,0.01,32.743162870407104,,,,,,,
13,,,,,,,,,,,,,,,2.0,9992.0,9839.5,152.5,98.13935774805952,27.24459958076477,54.48919916152954
14,G62,7000.0,14000.0,4870.0,4790.0,80.0,98.35728952772074,400.0,97.0,128.0,1000.0,Adam,0.01,33.24478721618652,,,,,,,
14,,,,,,,,,,,,,,,1.0,4870.0,4790.0,80.0,98.35728952772074,33.24478721618652,33.24478721618652
15,G63,7000.0,41459.0,27047.0,26753.0,294.0,98.91300329056828,800.0,94.0,128.0,1000.0,Adam,0.01,56.3808650970459,,,,,,,
15,G64,7000.0,41459.0,8751.0,8415.0,336.0,96.16043880699348,700.0,113.0,128.0,1000.0,Adam,0.01,57.947059869766235,,,,,,,
15,,,,,,,,,,,,,,,2.0,17899.0,17584.0,315.0,97.53672104878088,57.16396248340607,114.32792496681212
16,G65,8000.0,16000.0,5562.0,5448.0,114.0,97.95037756202804,400.0,47.0,128.0,1000.0,Adam,0.01,38.94234132766723,,,,,,,
16,,,,,,,,,,,,,,,1.0,5562.0,5448.0,114.0,97.95037756202804,38.94234132766723,38.94234132766723
17,G66,9000.0,18000.0,6364.0,6228.0,136.0,97.8629792583281,400.0,95.0,128.0,1000.0,Adam,0.01,42.96684122085571,,,,,,,
17,,,,,,,,,,,,,,,1.0,6364.0,6228.0,136.0,97.8629792583281,42.96684122085571,42.96684122085571
18,G67,10000.0,20000.0,6950.0,6806.0,144.0,97.92805755395683,400.0,35.0,128.0,1000.0,Adam,0.01,51.01760506629944,,,,,,,
18,G72,10000.0,20000.0,7008.0,6860.0,148.0,97.88812785388129,400.0,17.0,128.0,1000.0,Adam,0.01,56.81682801246643,,,,,,,
18,,,,,,,,,,,,,,,2.0,6979.0,6833.0,146.0,97.90809270391908,53.917216539382935,107.83443307876588
19,G70,10000.0,9999.0,9591.0,9412.0,179.0,98.1336669794599,1000.0,62.0,128.0,1000.0,Adam,0.01,36.53248476982117,,,,,,,
19,,,,,,,,,,,,,,,1.0,9591.0,9412.0,179.0,98.1336669794599,36.53248476982117,36.53248476982117
20,G77,14000.0,28000.0,9940.0,9722.0,218.0,97.80684104627768,400.0,106.0,128.0,1000.0,Adam,0.01,62.78851628303528,,,,,,,
20,,,,,,,,,,,,,,,1.0,9940.0,9722.0,218.0,97.80684104627768,62.78851628303528,62.78851628303528
21,G81,20000.0,40000.0,14060.0,13716.0,344.0,97.55334281650072,400.0,63.0,128.0,1000.0,Adam,0.01,84.62415480613708,,,,,,,
21,,,,,,,,,,,,,,,1.0,14060.0,13716.0,344.0,97.55334281650072,84.62415480613708,84.62415480613708
