instance,nodes,edges,n_steps,replicas,lr,best_cut,best_value,gap,percent_accuracy,best_replica,runtime_sec
G1,800,19176,1000,128,0.01,11611.0,11624.0,13.0,99.88816242257398,43,19.6352481842041
G2,800,19176,1000,128,0.01,11610.0,11620.0,10.0,99.91394148020656,61,19.69439578056335
G3,800,19176,1000,128,0.01,11610.0,11622.0,12.0,99.89674754775426,51,19.681336164474487
G4,800,19176,1000,128,0.01,11637.0,11646.0,9.0,99.9227202472952,71,19.56220507621765
G5,800,19176,1000,128,0.01,11622.0,11631.0,9.0,99.92262058292494,53,19.961461067199707
G6,800,19176,1000,128,0.01,2173.0,2178.0,5.0,99.7704315886134,59,19.69116497039795
G7,800,19176,1000,128,0.01,1992.0,2006.0,14.0,99.30209371884348,74,20.118622064590458
G8,800,19176,1000,128,0.01,1991.0,2005.0,14.0,99.30174563591022,102,19.074840784072876
G9,800,19176,1000,128,0.01,2041.0,2054.0,13.0,99.36708860759494,94,19.802350759506226
G10,800,19176,1000,128,0.01,1992.0,2000.0,8.0,99.6,122,19.63355398178101
G11,800,1600,1000,128,0.01,556.0,564.0,8.0,98.58156028368796,48,20.064666032791138
G12,800,1600,1000,128,0.01,550.0,556.0,6.0,98.92086330935253,92,20.45124316215515
G13,800,1600,1000,128,0.01,580.0,582.0,2.0,99.65635738831617,10,20.195319890975952
G14,800,4694,1000,128,0.01,3040.0,3064.0,24.0,99.21671018276764,53,20.60724687576294
G15,800,4661,1000,128,0.01,3025.0,3050.0,25.0,99.18032786885246,67,20.586703062057495
G16,800,4672,1000,128,0.01,3027.0,3052.0,25.0,99.18086500655308,81,20.08324408531189
G17,800,4667,1000,128,0.01,3021.0,3047.0,26.0,99.14670167377749,14,20.35320401191711
G18,800,4694,1000,128,0.01,978.0,992.0,14.0,98.58870967741936,1,20.41397976875305
G19,800,4661,1000,128,0.01,876.0,906.0,30.0,96.6887417218543,7,20.34040093421936
G20,800,4672,1000,128,0.01,930.0,941.0,11.0,98.83103081827842,37,20.52715802192688
G21,800,4667,1000,128,0.01,915.0,931.0,16.0,98.28141783029,22,20.43918395042419
G22,2000,19990,1000,128,0.01,13312.0,13359.0,47.0,99.64817725877684,62,28.86885714530945
G23,2000,19990,1000,128,0.01,13303.0,13344.0,41.0,99.69274580335733,126,27.26209306716919
G24,2000,19990,1000,128,0.01,13290.0,13337.0,47.0,99.64759691084951,115,27.161593198776245
G25,2000,19990,1000,128,0.01,13284.0,13340.0,56.0,99.58020989505248,37,17.130321979522705
G26,2000,19990,1000,128,0.01,13270.0,13328.0,58.0,99.56482593037217,60,27.052540063858032
G27,2000,19990,1000,128,0.01,3310.0,3341.0,31.0,99.07213409158936,12,27.190324783325195
G28,2000,19990,1000,128,0.01,3275.0,3298.0,23.0,99.30260764099454,41,27.077625036239624
G29,2000,19990,1000,128,0.01,3351.0,3405.0,54.0,98.41409691629956,21,27.510255336761475
G30,2000,19990,1000,128,0.01,3367.0,3413.0,46.0,98.65221213009085,37,28.035531997680664
G31,2000,19990,1000,128,0.01,3282.0,3310.0,28.0,99.15407854984896,13,28.27771806716919
G32,2000,4000,1000,128,0.01,1388.0,1410.0,22.0,98.43971631205672,91,27.570101976394653
G33,2000,4000,1000,128,0.01,1364.0,1382.0,18.0,98.69753979739508,26,27.213099002838135
G34,2000,4000,1000,128,0.01,1362.0,1384.0,22.0,98.41040462427746,102,170.75731921195984
G35,2000,11778,1000,128,0.01,7612.0,7687.0,75.0,99.024326785482,121,29.317037105560303
G36,2000,11766,1000,128,0.01,7599.0,7680.0,81.0,98.9453125,27,29.132176876068115
G37,2000,11785,1000,128,0.01,7619.0,7691.0,72.0,99.063840852945,17,29.59231209754944
G38,2000,11779,1000,128,0.01,7616.0,7688.0,72.0,99.06347554630594,113,29.74016523361206
G39,2000,11778,1000,128,0.01,2336.0,2408.0,72.0,97.00996677740864,122,29.883690118789673
G40,2000,11766,1000,128,0.01,2296.0,2400.0,104.0,95.66666666666669,17,29.288478136062626
G41,2000,11785,1000,128,0.01,2289.0,2405.0,116.0,95.17671517671518,10,27.716141939163208
G42,2000,11779,1000,128,0.01,2381.0,2481.0,100.0,95.96936719064894,122,27.405642986297607
G43,1000,9990,1000,128,0.01,6652.0,6660.0,8.0,99.87987987987988,59,21.302996397018433
G44,1000,9990,1000,128,0.01,6638.0,6650.0,12.0,99.81954887218043,60,959.3305201530457
G45,1000,9990,1000,128,0.01,6633.0,6654.0,21.0,99.6844003606853,59,22.633643627166748
G46,1000,9990,1000,128,0.01,6627.0,6649.0,22.0,99.6691231764175,108,22.939234256744385
G47,1000,9990,1000,128,0.01,6638.0,6657.0,19.0,99.71458614991738,79,22.38125681877136
G48,3000,6000,1000,128,0.01,6000.0,6000.0,0.0,100.0,81,38.4353928565979
G49,3000,6000,1000,128,0.01,6000.0,6000.0,0.0,100.0,126,35.40014123916626
G50,3000,6000,1000,128,0.01,5852.0,5880.0,28.0,99.52380952380952,50,16.29841113090515
G51,1000,5909,1000,128,0.01,3819.0,3848.0,29.0,99.24636174636174,107,21.42101287841797
G52,1000,5916,1000,128,0.01,3825.0,3851.0,26.0,99.32485068813295,96,21.412781715393063
G53,1000,5914,1000,128,0.01,3828.0,3850.0,22.0,99.42857142857144,27,20.958359003067017
G54,1000,5916,1000,128,0.01,3820.0,3852.0,32.0,99.1692627206646,21,21.49652671813965
G55,5000,12498,1000,128,0.01,10195.0,10299.0,104.0,98.99019322264296,43,13.877591133117676
G56,5000,12498,1000,128,0.01,3915.0,4017.0,102.0,97.46079163554892,99,15.026528120040894
G57,5000,10000,1000,128,0.01,3428.0,3494.0,66.0,98.11104751001716,10,12.622632265090942
G58,5000,29570,1000,128,0.01,19084.0,19293.0,209.0,98.91670554086974,94,21.10778784751892
G59,5000,29570,1000,128,0.01,5856.0,6086.0,230.0,96.22083470259612,126,20.48904013633728
G60,7000,17148,1000,128,0.01,14037.0,14188.0,151.0,98.93572032703692,116,21.746036291122437
G61,7000,17148,1000,128,0.01,5642.0,5796.0,154.0,97.34299516908212,125,32.743162870407104
G62,7000,14000,1000,128,0.01,4790.0,4870.0,80.0,98.35728952772074,97,33.24478721618652
G63,7000,41459,1000,128,0.01,26753.0,27047.0,294.0,98.91300329056828,94,56.3808650970459
G64,7000,41459,1000,128,0.01,8415.0,8751.0,336.0,96.16043880699348,113,57.947059869766235
G65,8000,16000,1000,128,0.01,5448.0,5562.0,114.0,97.95037756202804,47,38.94234132766723
G66,9000,18000,1000,128,0.01,6228.0,6364.0,136.0,97.8629792583281,95,42.96684122085571
G67,10000,20000,1000,128,0.01,6806.0,6950.0,144.0,97.92805755395683,35,51.01760506629944
G70,10000,9999,1000,128,0.01,9412.0,9591.0,179.0,98.1336669794599,62,36.53248476982117
G72,10000,20000,1000,128,0.01,6860.0,7008.0,148.0,97.88812785388129,17,56.81682801246643
G77,14000,28000,1000,128,0.01,9722.0,9940.0,218.0,97.80684104627768,106,62.78851628303528
G81,20000,40000,1000,128,0.01,13716.0,14060.0,344.0,97.55334281650072,63,84.62415480613708
