step,beta,gamma,loss_mean,free_energy_mean,free_energy_min,expected_cut_mean,expected_cut_max,hard_cut_mean,hard_cut_max,best_cut_so_far,gap_so_far,accuracy_so_far_percent,entropy_mean,driver_energy_mean,R_mean,R_min,R_max,rx_mean,rx_abs_mean,rz_mean,rz_abs_mean,grad_norm_raw_R,grad_norm_theta,best_replica_current,best_replica_so_far,elapsed_sec
1,0.8620690107345581,1.0,-1107.9853515625,-1107.9853515625,-1107.986328125,-520.0,-520.0,-6730.140625,-5069.0,-5069.0,38406.0,-15.205327413984461,1386.1943359375,-19.999984741210938,0.010099472478032112,0.010051394812762737,0.010143143124878407,0.010099217295646667,0.010099217295646667,2.0355825824935891e-07,7.024975639069453e-05,0.03867921605706215,4.053857264807448e-05,45,45,0.054061174392700195
50,0.9065311551094055,0.9509509801864624,-1040.520263671875,-1040.520263671875,-1040.52197265625,-520.0,-520.0,454.7421875,1742.0,1742.0,31595.0,5.225425203227645,1386.018310546875,-31.59518051147461,0.016799047589302063,0.016719676554203033,0.01687108911573887,0.016799047589302063,0.016799047589302063,-1.1454567960811346e-08,4.192206233710749e-06,0.06022464483976364,2.3577500542160124e-05,2,2,0.7242491245269775
100,0.9568911194801331,0.9009009003639221,-983.1060791015625,-983.1060791015625,-983.1485595703125,-519.721923828125,-519.5816650390625,29713.9140625,30499.0,30499.0,2838.0,91.48693643699193,1385.353515625,-55.06298065185547,0.031086735427379608,0.030944662168622017,0.0312180258333683,0.03093208372592926,0.03093208372592926,-1.9525863535818644e-05,0.0027691051363945007,0.10279029607772827,0.004700828343629837,18,18,1.8407020568847656
150,1.0131754875183105,0.8508508205413818,-1045.7174072265625,-1045.7174072265625,-1050.003173828125,-372.97515869140625,-367.1041564941406,31983.1171875,32520.0,32520.0,817.0,97.54926958034616,1381.226806640625,-55.427371978759766,0.0725497454404831,0.06441392749547958,0.086043581366539,0.0321982279419899,0.0321982279419899,-0.00035484874388203025,0.06201142817735672,0.698280930519104,0.05703292787075043,36,36,2.964858293533325
200,1.076494812965393,0.8008008003234863,-2443.16796875,-2443.16796875,-2480.700927734375,1148.656494140625,1188.1627197265625,32299.8671875,32758.0,32758.0,579.0,98.26319104898461,1338.904052734375,-50.749122619628906,0.22012178599834442,0.1444723755121231,0.2678234875202179,0.03167063742876053,0.03167063742876053,-0.0011343304067850113,0.21551817655563354,5.828936576843262,0.0258525088429451,47,47,4.061702251434326
250,1.1482561826705933,0.7507507801055908,-10061.91015625,-10061.91015625,-10231.615234375,9056.71484375,9230.005859375,32373.375,32803.0,32803.0,534.0,98.39817620061793,1098.127197265625,-48.85302734375,0.5280207991600037,0.2998543083667755,0.5907108783721924,0.0325629860162735,0.0325629860162735,-0.0025755134411156178,0.5252400636672974,19.212390899658203,0.06419489532709122,36,36,5.154814004898071
300,1.2302684783935547,0.7007007002830505,-20483.474609375,-20483.474609375,-20770.876953125,19866.4765625,20158.328125,32420.4140625,32843.0,32843.0,494.0,98.51816300206977,701.412353515625,-46.8685188293457,0.778159499168396,0.4798189103603363,0.8134413361549377,0.033439189195632935,0.033439189195632935,-0.0035502794198691845,0.7752854228019714,18.593791961669922,0.20770256221294403,47,47,6.256051063537598
350,1.324897050857544,0.6506506204605103,-25769.337890625,-25769.337890625,-26132.23046875,25386.06640625,25748.85546875,32451.7109375,32918.0,32918.0,419.0,98.74313825479197,452.41021728515625,-41.80215835571289,0.8812445998191833,0.5952094197273254,0.9020717740058899,0.03207867592573166,0.03207879886031151,-0.003768546273931861,0.8786302804946899,12.506793975830078,0.23486796021461487,47,47,7.35062313079834
400,1.435295581817627,0.6006006002426147,-28120.423828125,-28120.423828125,-28535.97265625,27859.16796875,28276.294921875,32468.1171875,32949.0,32949.0,388.0,98.83612802591715,323.529541015625,-35.84609603881836,0.9240675568580627,0.6694276928901672,0.9499603509902954,0.02979426085948944,0.02979426085948944,-0.0037433539982885122,0.9219010472297668,8.72739028930664,0.19207313656806946,47,47,8.45011305809021
450,1.5657646656036377,0.5505505800247192,-29348.21484375,-29348.21484375,-29783.337890625,29159.041015625,29595.578125,32479.3984375,32956.0,32956.0,381.0,98.85712571617123,249.0721435546875,-30.101703643798828,0.9458271861076355,0.7084475159645081,0.9714046716690063,0.02728763222694397,0.027287663891911507,-0.00380807020701468,0.944078266620636,6.502559661865234,0.1657535284757614,47,47,9.529868125915527
500,1.7223249673843384,0.500500500202179,-30082.529296875,-30082.529296875,-30532.21875,29940.869140625,30390.58203125,32486.3984375,32969.0,32969.0,368.0,98.89612142664306,201.0787353515625,-24.91263198852539,0.9586827754974365,0.7280538082122803,0.9801280498504639,0.024835987016558647,0.024835996329784393,-0.0037467542570084333,0.9572301506996155,5.088840961456299,0.13956855237483978,47,47,10.634980201721191
550,1.913672685623169,0.45045047998428345,-30564.70703125,-30564.70703125,-31026.1640625,30456.91796875,30919.2890625,32491.1640625,32979.0,32979.0,358.0,98.92611812700603,167.65707397460938,-20.178930282592773,0.9670693874359131,0.7402671575546265,0.9863008260726929,0.022348498925566673,0.022348817437887192,-0.0038123459089547396,0.9659348130226135,4.126404285430908,0.11661519855260849,47,47,11.785080194473267
600,2.152850866317749,0.40040040016174316,-30902.2734375,-30902.2734375,-31368.240234375,30819.869140625,31286.841796875,32494.1484375,32981.0,32981.0,356.0,98.93211746707863,143.06695556640625,-15.950462341308594,0.9729276299476624,0.7733919620513916,0.9901617765426636,0.01986723765730858,0.019867433235049248,-0.00391541188582778,0.9720443487167358,3.435590982437134,0.1005563884973526,47,47,12.867075204849243
650,2.460355520248413,0.35035037994384766,-31149.841796875,-31149.841796875,-31617.99609375,31087.115234375,31556.05078125,32495.8984375,32981.0,32981.0,356.0,98.93211746707863,124.23309326171875,-12.233915328979492,0.9772257804870605,0.7967612147331238,0.9924719333648682,0.01740911975502968,0.01740916073322296,-0.003897528862580657,0.976555347442627,2.9191460609436035,0.07479655742645264,47,47,13.960705041885376
700,2.8703441619873047,0.3003003001213074,-31338.0703125,-31338.0703125,-31807.775390625,31290.9609375,31761.224609375,32496.84375,32981.0,32981.0,356.0,98.93211746707863,109.3516845703125,-9.010411262512207,0.9804998636245728,0.7920742630958557,0.9939218759536743,0.014953476376831532,0.014953776262700558,-0.003930941689759493,0.9799969792366028,2.5204102993011475,0.05389988049864769,47,47,15.046861171722412
750,3.4442949295043945,0.25025027990341187,-31485.52734375,-31485.52734375,-31956.431640625,31450.982421875,31922.28125,32497.46875,32981.0,32981.0,356.0,98.93211746707863,97.30616760253906,-6.293458938598633,0.9830666780471802,0.7933589816093445,0.9949122071266174,0.012524513527750969,0.012524980120360851,-0.00398226547986269,0.9826847910881042,2.204714298248291,0.05957856401801109,47,47,16.1409010887146
800,4.305146217346191,0.20020020008087158,-31603.89453125,-31603.89453125,-32075.73828125,31579.55859375,32051.65234375,32497.953125,32981.0,32981.0,356.0,98.93211746707863,87.35320281982422,-4.046721458435059,0.9851289987564087,0.8014061450958252,0.9957886338233948,0.010057720355689526,0.010058174841105938,-0.004021012224256992,0.9848611950874329,1.949396014213562,0.05556910112500191,47,47,17.03589415550232
850,5.739701271057129,0.15015017986297607,-31700.759765625,-31700.759765625,-32173.4296875,31684.70703125,32157.517578125,32498.3203125,32981.0,32981.0,356.0,98.93211746707863,78.99215698242188,-2.288609504699707,0.9868186712265015,0.8182497620582581,0.9964361190795898,0.007571980822831392,0.007572606671601534,-0.004060487728565931,0.986647367477417,1.7392711639404297,0.04530791938304901,47,47,18.152188301086426
900,8.608070373535156,0.10010010004043579,-31781.373046875,-31781.373046875,-32254.767578125,31771.99609375,32245.4609375,32498.578125,32981.0,32981.0,356.0,98.93211746707863,71.87094116210938,-1.029183268547058,0.988225519657135,0.8262099027633667,0.9969308972358704,0.005091584287583828,0.005092010833323002,-0.004097349941730499,0.9881104826927185,1.563744068145752,0.049909282475709915,47,47,19.242449283599854
950,17.207260131835938,0.05005007982254028,-31849.5,-31849.5,-32323.498046875,31845.421875,32319.4375,32498.7890625,32981.0,32981.0,356.0,98.93211746707863,65.73422241210938,-0.2599741518497467,0.9894130229949951,0.8293116688728333,0.9973210692405701,0.0025452591944485903,0.0025496568996459246,-0.004118881653994322,0.9893665313720703,1.4152776002883911,0.0428803376853466,47,47,20.329827070236206
1000,16666.66796875,0.0,-31907.69140625,-31907.69140625,-32382.30859375,31907.6875,32382.3046875,32498.8359375,32981.0,32981.0,356.0,98.93211746707863,60.39393997192383,0.0,0.9904268383979797,0.835541844367981,0.9976363182067871,7.90685044194106e-06,0.00019479182083159685,-0.004102996550500393,0.9904077649116516,1.288245677947998,0.041918907314538956,47,47,21.40689516067505
