step,beta,gamma,loss_mean,free_energy_mean,free_energy_min,expected_cut_mean,expected_cut_max,hard_cut_mean,hard_cut_max,best_cut_so_far,gap_so_far,accuracy_so_far_percent,entropy_mean,driver_energy_mean,R_mean,R_min,R_max,rx_mean,rx_abs_mean,rz_mean,rz_abs_mean,grad_norm_raw_R,grad_norm_theta,best_replica_current,best_replica_so_far,elapsed_sec
1,0.8620690107345581,0.0,-1087.9853515625,-1087.9853515625,-1087.9853515625,-520.0,-520.0,1264.6953125,3998.0,3998.0,29339.0,11.992680805111437,1386.1943359375,0.0,0.009902562946081161,0.009855424053966999,0.009945382364094257,0.009902413003146648,0.009902413003146648,2.5851431928458624e-07,4.976718264515512e-05,0.0004539606743492186,8.849709047353826e-06,23,23,0.05180191993713379
50,0.9065311551094055,0.0,-1009.94775390625,-1009.94775390625,-1009.9784545898438,-519.183349609375,-519.1516723632812,27331.5703125,28321.0,28321.0,5016.0,84.95365509793923,1386.205078125,0.0,0.009467904455959797,0.006256108172237873,0.01302480511367321,0.007999744266271591,0.007999744266271591,4.3188447307329625e-06,0.005026893690228462,0.0035761152394115925,0.00623290054500103,5,5,0.48732709884643555
100,0.9568911194801331,0.0,-945.9688720703125,-945.9688720703125,-946.7141723632812,-502.20318603515625,-501.45037841796875,27692.6328125,28792.0,28792.0,4545.0,86.36649968503464,1385.7430419921875,0.0,0.02336728386580944,0.003822518512606621,0.033035971224308014,0.004026607610285282,0.004026607610285282,1.4167454537528101e-05,0.022934317588806152,0.08175799250602722,0.014411375857889652,5,5,0.8825500011444092
150,1.0131754875183105,0.0,-1006.4848022460938,-1006.4848022460938,-1013.306396484375,-356.93096923828125,-350.0490417480469,27895.6953125,28958.0,28958.0,4379.0,86.86444491105978,1381.37939453125,0.0,0.06979899853467941,0.0025885270442813635,0.09693470597267151,-0.0002408267610007897,0.0004587247094605118,4.079956852365285e-05,0.06976882368326187,0.705923318862915,0.00423024594783783,5,5,1.259079933166504
200,1.076494812965393,0.0,-2288.19775390625,-2288.19775390625,-2351.783935546875,1045.28271484375,1109.3533935546875,28032.2890625,29062.0,29062.0,4275.0,87.17641059483456,1337.9915771484375,0.0,0.21833355724811554,0.0017270187381654978,0.2860809564590454,2.2312948203762062e-05,7.660725532332435e-05,9.85052902251482e-05,0.21832218766212463,5.511357307434082,0.0018908155616372824,5,5,1.6575989723205566
250,1.1482561826705933,0.0,-8991.8125,-8991.8125,-9321.392578125,8033.8525390625,8365.3427734375,28133.40625,29232.0,29232.0,4105.0,87.68635450100489,1099.9835205078125,0.0,0.5184977650642395,0.001167822047136724,0.6093577146530151,8.107971370918676e-05,0.0008996192482300103,0.00014526129234582186,0.518446683883667,17.206409454345703,0.0768575519323349,5,5,2.046462059020996
300,1.2302684783935547,0.0,-17878.15625,-17878.15625,-18548.0234375,17291.609375,17964.564453125,28350.0,29399.0,29399.0,3938.0,88.18729939706633,721.61181640625,0.0,0.757039487361908,0.0008736002491787076,0.822298526763916,-3.3711348805809394e-05,0.0014464490814134479,0.00020104969735257328,0.7564609050750732,16.384708404541016,0.14128436148166656,5,5,2.4422779083251953
350,1.324897050857544,0.0,-22459.16796875,-22459.16796875,-23306.837890625,22093.38671875,22944.130859375,28555.4921875,29604.0,29604.0,3733.0,88.802231754507,484.6195983886719,0.0,0.8578043580055237,0.0006921691820025444,0.9082849025726318,-2.000229687837418e-05,0.0033063010778278112,0.0001821500190999359,0.8561168909072876,11.118285179138184,0.37866857647895813,5,5,2.8209290504455566
400,1.435295581817627,0.0,-24660.259765625,-24660.259765625,-25585.0,24412.13671875,25339.12890625,28700.0546875,29758.0,29758.0,3579.0,89.2641809400966,356.13275146484375,0.0,0.9062285423278809,0.0013565263943746686,0.9607362747192383,5.1312486903043464e-05,0.004651491530239582,-1.740306652209256e-05,0.9039183259010315,7.904440879821777,0.6493971347808838,5,5,3.210563898086548
450,1.5657646656036377,0.0,-25953.41015625,-25953.41015625,-26934.169921875,25779.015625,26759.27734375,28837.09375,29980.0,29980.0,3357.0,89.93010768815431,273.0626220703125,0.0,0.9354961514472961,0.001004762714728713,0.9799473285675049,6.313404446700588e-05,0.006143452133983374,-0.00034008428337983787,0.9322963356971741,5.959282875061035,0.9297118782997131,108,108,3.591014862060547
