step,beta,gamma,loss_mean,free_energy_mean,free_energy_min,expected_cut_mean,expected_cut_max,hard_cut_mean,hard_cut_max,best_cut_so_far,gap_so_far,accuracy_so_far_percent,entropy_mean,driver_energy_mean,R_mean,R_min,R_max,rx_mean,rx_abs_mean,rz_mean,rz_abs_mean,grad_norm_raw_R,grad_norm_theta,best_replica_current,best_replica_so_far,elapsed_sec
1,0.8620690107345581,1.0,-1107.9852294921875,-1107.9852294921875,-1107.9866943359375,-520.0,-520.0,-7209.8232421875,-4417.0,-4417.0,37754.0,-13.249542550319465,1386.1942138671875,-19.999988555908203,0.010099383071064949,0.010050944983959198,0.010151170194149017,0.010099324397742748,0.010099324397742748,4.13607317284459e-08,3.156305683660321e-05,0.013838298618793488,1.4497917618427891e-05,470,470,0.25451111793518066
50,0.9065311551094055,0.9509509801864624,-1040.507080078125,-1040.507080078125,-1040.50927734375,-520.0,-520.0,3470.466064453125,5064.0,5064.0,28273.0,15.19032906380298,1386.0185546875,-31.581762313842773,0.01679176092147827,0.016711801290512085,0.016877228394150734,0.01679176092147827,0.01679176092147827,-1.7936714336030946e-09,1.974505721591413e-06,0.02153780870139599,3.281532144683297e-06,292,292,2.536123037338257
100,0.9568911194801331,0.9009009003639221,-983.0379028320312,-983.0379028320312,-983.07568359375,-519.8003540039062,-519.6802978515625,29641.376953125,30756.0,30756.0,2581.0,92.25785163632,1385.355224609375,-55.0714225769043,0.031058378517627716,0.03091305121779442,0.03121393918991089,0.030945386737585068,0.030945386737585068,3.1649478842155077e-06,0.002360200509428978,0.03667667135596275,0.0014166213804855943,862,862,4.8959338665008545
150,1.0131754875183105,0.8508508205413818,-1043.50927734375,-1043.50927734375,-1047.442138671875,-376.5006103515625,-371.0454406738281,31944.96484375,32539.0,32539.0,798.0,97.60626331103579,1381.2808837890625,-56.691532135009766,0.07216458767652512,0.06432567536830902,0.08552999049425125,0.03290248289704323,0.03290248289704323,8.026893920032308e-05,0.06122051551938057,0.24597996473312378,0.02328948676586151,862,862,7.461920976638794
200,1.076494812965393,0.8008008003234863,-2429.251220703125,-2429.251220703125,-2467.035888671875,1134.097900390625,1173.4805908203125,32291.322265625,32912.0,32912.0,425.0,98.7251402345742,1339.3294677734375,-50.99574661254883,0.21914318203926086,0.14406681060791016,0.26671427488327026,0.03181644529104233,0.03181644529104233,0.0002859515370801091,0.21444793045520782,2.074026346206665,0.010516840033233166,338,338,9.884253740310669
250,1.1482561826705933,0.7507507801055908,-10022.826171875,-10022.826171875,-10220.0625,9016.2685546875,9217.3828125,32368.79296875,32973.0,32973.0,364.0,98.90812010678826,1099.540771484375,-48.98169708251953,0.5268031358718872,0.2986551821231842,0.5906650424003601,0.032648902386426926,0.032648902386426926,0.0006784668657928705,0.524011492729187,6.871837139129639,0.023054195567965508,338,338,12.195109128952026
300,1.2302684783935547,0.7007007002830505,-20458.12109375,-20458.12109375,-20841.833984375,19840.0078125,20228.36328125,32415.5859375,33018.0,33018.0,319.0,99.04310525842158,702.58251953125,-47.03156661987305,0.7775957584381104,0.4709968864917755,0.814067006111145,0.03355710208415985,0.03355710208415985,0.0009704321855679154,0.774687647819519,6.66709566116333,0.07374872267246246,338,338,14.543977975845337
350,1.324897050857544,0.6506506204605103,-25757.912109375,-25757.912109375,-26214.955078125,25373.974609375,25834.78515625,32446.9921875,33026.0,33026.0,311.0,99.06710261871194,453.0122375488281,-42.0132942199707,0.881022572517395,0.5744288563728333,0.9022672772407532,0.032245486974716187,0.032245539128780365,0.001081007532775402,0.8783587217330933,4.4843573570251465,0.08723509311676025,338,338,16.94090986251831
400,1.435295581817627,0.6006006002426147,-28114.435546875,-28114.435546875,-28598.296875,27852.732421875,28339.515625,32465.294921875,33030.0,33030.0,307.0,99.07910129885713,323.8673095703125,-36.0600471496582,0.9239584803581238,0.5961336493492126,0.9509493112564087,0.02997073158621788,0.029970772564411163,0.0011277898447588086,0.9217168092727661,3.1282904148101807,0.0737985372543335,338,338,19.259496927261353
450,1.5657646656036377,0.5505505800247192,-29344.53125,-29344.53125,-29840.033203125,29155.01953125,29652.296875,32476.748046875,33031.0,33031.0,306.0,99.08210096889343,249.28009033203125,-30.307092666625977,0.9457656145095825,0.6655755639076233,0.9730667471885681,0.02747349999845028,0.027473557740449905,0.0010935795726254582,0.9439458847045898,2.330232620239258,0.06149392947554588,338,338,21.51711893081665
