step,beta,gamma,loss_mean,free_energy_mean,free_energy_min,expected_cut_mean,expected_cut_max,hard_cut_mean,hard_cut_max,best_cut_so_far,gap_so_far,accuracy_so_far_percent,entropy_mean,driver_energy_mean,R_mean,R_min,R_max,rx_mean,rx_abs_mean,rz_mean,rz_abs_mean,grad_norm_raw_R,grad_norm_theta,best_replica_current,best_replica_so_far,elapsed_sec
1,0.8620690107345581,1.0,-1107.9853515625,-1107.9853515625,-1107.986328125,-520.0,-520.0,0.0,0.0,0.0,33337.0,0.0,1386.1943359375,-19.999984741210938,0.010457808151841164,0.01040804386138916,0.01050301268696785,0.010447110049426556,0.010447110049426556,0.0004728055209852755,0.0004728055209852755,0.03867921605706215,4.053857264807448e-05,0,0,0.11182594299316406
50,0.9065311551094055,0.9509509801864624,-1717.963134765625,-1717.963134765625,-1718.5333251953125,139.1600341796875,139.6065673828125,461.859375,494.0,494.0,32843.0,1.4818369979302277,1293.4957275390625,-151.94012451171875,0.3181021213531494,0.2953955829143524,0.3480655252933502,0.08772686868906021,0.08772686868906021,0.28414392471313477,0.2841639220714569,4.830218315124512,4.012782573699951,1,1,0.49272894859313965
100,0.9568911194801331,0.9009009003639221,-21148.595703125,-21148.595703125,-21179.064453125,20310.685546875,20342.28515625,28015.6796875,28099.0,28099.0,5238.0,84.28772834988152,610.0284423828125,-200.39846801757812,0.803073525428772,0.3416171073913574,0.9387978911399841,0.11147952824831009,0.11149490624666214,0.32850122451782227,0.7757996916770935,11.308210372924805,10.686944961547852,105,105,0.8901739120483398
150,1.0131754875183105,0.8508508205413818,-22915.208984375,-22915.208984375,-22998.57421875,22176.01171875,22258.51953125,30074.78125,30269.0,30269.0,3068.0,90.79701232864385,572.5111083984375,-174.13409423828125,0.8226529955863953,0.35682278871536255,0.9430252909660339,0.10245104879140854,0.10247703641653061,0.2806100845336914,0.8035975694656372,11.536874771118164,10.940811157226562,71,71,1.278183937072754
200,1.076494812965393,0.8008008003234863,-23272.09765625,-23272.09765625,-23432.794921875,22590.515625,22755.783203125,30512.7265625,30753.0,30753.0,2584.0,92.24885262621112,564.4249267578125,-157.263916015625,0.8268866539001465,0.3753814101219177,0.9444459080696106,0.09828722476959229,0.09832310676574707,0.26924842596054077,0.8104259371757507,11.632257461547852,11.005023002624512,68,68,1.6543269157409668
250,1.1482561826705933,0.7507507801055908,-23408.5390625,-23408.5390625,-23509.384765625,22778.1640625,22882.69921875,30700.9296875,30864.0,30864.0,2473.0,92.58181600023997,560.288818359375,-142.42747497558594,0.8289385437965393,0.3894135057926178,0.9433984756469727,0.0948970764875412,0.09494318068027496,0.2644041180610657,0.8144865036010742,11.688664436340332,11.0595064163208,69,69,2.0749599933624268
300,1.2302684783935547,0.7007007002830505,-23440.455078125,-23440.455078125,-23547.791015625,22857.251953125,22963.72265625,30775.7421875,30911.0,30911.0,2426.0,92.72280049194589,558.126953125,-129.53961181640625,0.8300435543060303,0.39191994071006775,0.9431992769241333,0.09246277809143066,0.09252563863992691,0.26235413551330566,0.8166091442108154,11.719290733337402,11.090444564819336,69,69,2.4566650390625
350,1.324897050857544,0.6506506204605103,-23438.38671875,-23438.38671875,-23554.1171875,22900.490234375,23015.11328125,30802.6796875,31026.0,31026.0,2311.0,93.06776254611992,556.8156127929688,-117.62486267089844,0.8306618928909302,0.3884260058403015,0.94365394115448,0.09039506316184998,0.09048829972743988,0.26164302229881287,0.8177567720413208,11.740482330322266,11.10742473602295,85,85,2.8649678230285645
400,1.435295581817627,0.6006006002426147,-23430.66796875,-23430.66796875,-23560.0234375,22937.28125,23065.39453125,30822.7421875,31004.0,31026.0,2311.0,93.06776254611992,555.6435546875,-106.2591552734375,0.8312250971794128,0.3857515752315521,0.9438202977180481,0.08846187591552734,0.08859287202358246,0.2611263692378998,0.818700909614563,11.760433197021484,11.12014102935791,15,85,3.246565103530884
450,1.5657646656036377,0.5505505800247192,-23418.19921875,-23418.19921875,-23610.490234375,22968.78515625,23162.04296875,30833.8984375,31099.0,31099.0,2238.0,93.28673845876953,554.562744140625,-95.23540496826172,0.8317387104034424,0.3854108452796936,0.9432793855667114,0.08646051585674286,0.08664364367723465,0.2608981728553772,0.8195859789848328,11.778251647949219,11.13167953491211,52,52,3.6433157920837402
