partition,instance,run_group,graph_type,storage_mode,best_value,v1_best_cut,v1_gap,v1_percent_accuracy,raw_qefem_best_cut,raw_qefem_gap,raw_qefem_percent_accuracy,raw_delta_vs_v1,raw_vs_v1,polished_best_cut,polished_gap,polished_percent_accuracy,polished_delta_vs_v1,polished_vs_v1,v2_runtime_sec
1,G1,small_1_3,random,dense,11624.0,11611.0,13.0,99.88816242257398,11609.0,15.0,99.87095664143152,-2.0,loss,11609.0,15.0,99.87095664143152,-2.0,loss,9.669467210769652
1,G2,small_1_3,random,dense,11620.0,11610.0,10.0,99.91394148020656,11595.0,25.0,99.78485370051636,-15.0,loss,11595.0,25.0,99.78485370051636,-15.0,loss,9.719211101531982
1,G3,small_1_3,random,dense,11622.0,11610.0,12.0,99.89674754775426,11613.0,9.0,99.92256066081568,3.0,win,11613.0,9.0,99.92256066081568,3.0,win,9.873484134674072
1,G4,small_1_3,random,dense,11646.0,11637.0,9.0,99.9227202472952,11646.0,0.0,100.0,9.0,win,11646.0,0.0,100.0,9.0,win,9.243056297302246
1,G5,small_1_3,random,dense,11631.0,11622.0,9.0,99.92262058292494,11626.0,5.0,99.9570114349583,4.0,win,11626.0,5.0,99.9570114349583,4.0,win,9.61296772956848
1,G6,small_1_3,random,dense,2178.0,2173.0,5.0,99.7704315886134,2175.0,3.0,99.86225895316804,2.0,win,2175.0,3.0,99.86225895316804,2.0,win,10.144320964813232
1,G7,small_1_3,random,dense,2006.0,1992.0,14.0,99.30209371884348,1994.0,12.0,99.40179461615156,2.0,win,1994.0,12.0,99.40179461615156,2.0,win,9.427659034729004
1,G8,small_1_3,random,dense,2005.0,1991.0,14.0,99.30174563591022,1994.0,11.0,99.45137157107231,3.0,win,1994.0,11.0,99.45137157107231,3.0,win,8.788946866989136
1,G9,small_1_3,random,dense,2054.0,2041.0,13.0,99.36708860759494,2050.0,4.0,99.80525803310611,9.0,win,2050.0,4.0,99.80525803310611,9.0,win,9.662067890167236
1,G10,small_1_3,random,dense,2000.0,1992.0,8.0,99.6,1999.0,1.0,99.95,7.0,win,1999.0,1.0,99.95,7.0,win,9.976988077163696
2,G11,small_1_3,toroidal,dense,564.0,556.0,8.0,98.58156028368796,556.0,8.0,98.58156028368796,0.0,tie,556.0,8.0,98.58156028368796,0.0,tie,10.423957109451294
2,G12,small_1_3,toroidal,dense,556.0,550.0,6.0,98.92086330935253,552.0,4.0,99.28057553956836,2.0,win,552.0,4.0,99.28057553956836,2.0,win,9.579953908920288
2,G13,small_1_3,toroidal,dense,582.0,580.0,2.0,99.65635738831617,580.0,2.0,99.65635738831617,0.0,tie,580.0,2.0,99.65635738831617,0.0,tie,10.262696027755736
3,G14,small_1_3,plain,dense,3064.0,3040.0,24.0,99.21671018276764,3039.0,25.0,99.1840731070496,-1.0,loss,3039.0,25.0,99.1840731070496,-1.0,loss,9.176396131515505
3,G15,small_1_3,plain,dense,3050.0,3025.0,25.0,99.18032786885246,3027.0,23.0,99.24590163934428,2.0,win,3027.0,23.0,99.24590163934428,2.0,win,9.26736307144165
3,G16,small_1_3,plain,dense,3052.0,3027.0,25.0,99.18086500655308,3025.0,27.0,99.11533420707732,-2.0,loss,3025.0,27.0,99.11533420707732,-2.0,loss,9.56522011756897
3,G17,small_1_3,plain,dense,3047.0,3021.0,26.0,99.14670167377749,3021.0,26.0,99.14670167377749,0.0,tie,3021.0,26.0,99.14670167377749,0.0,tie,9.192953109741213
3,G18,small_1_3,plain,dense,992.0,978.0,14.0,98.58870967741936,975.0,17.0,98.28629032258064,-3.0,loss,975.0,17.0,98.28629032258064,-3.0,loss,8.640836715698242
3,G19,small_1_3,plain,dense,906.0,876.0,30.0,96.6887417218543,876.0,30.0,96.6887417218543,0.0,tie,876.0,30.0,96.6887417218543,0.0,tie,9.206029653549194
3,G20,small_1_3,plain,dense,941.0,930.0,11.0,98.83103081827842,930.0,11.0,98.83103081827842,0.0,tie,930.0,11.0,98.83103081827842,0.0,tie,8.99265193939209
3,G21,small_1_3,plain,dense,931.0,915.0,16.0,98.28141783029,915.0,16.0,98.28141783029,0.0,tie,915.0,16.0,98.28141783029,0.0,tie,9.500959873199465
