partition,instance,graph_type,storage_mode,nodes,edges,best_value,v1_best_cut,v1_gap,v1_percent_accuracy,v1_runtime_sec,run_group,n_steps,replicas,lr,raw_qefem_best_cut,raw_qefem_gap,raw_qefem_percent_accuracy,raw_delta_vs_v1,polished_best_cut,polished_gap,polished_percent_accuracy,polished_delta_vs_v1,v2_runtime_sec,use_polish,polish_sweeps_done,source_file,raw_vs_v1,polished_vs_v1
1,G1,random,dense,800,19176,11624.0,11611.0,13.0,99.88816242257398,19.6352481842041,small_1_3,2000,128,0.01,11609.0,15.0,99.87095664143152,-2.0,11609.0,15.0,99.87095664143152,-2.0,9.669467210769652,True,0,qefem_v2_outputs/small_1_3/group_results.csv,loss,loss
1,G2,random,dense,800,19176,11620.0,11610.0,10.0,99.91394148020656,19.69439578056335,small_1_3,2000,128,0.01,11595.0,25.0,99.78485370051636,-15.0,11595.0,25.0,99.78485370051636,-15.0,9.719211101531982,True,0,qefem_v2_outputs/small_1_3/group_results.csv,loss,loss
1,G3,random,dense,800,19176,11622.0,11610.0,12.0,99.89674754775426,19.681336164474487,small_1_3,2000,128,0.01,11613.0,9.0,99.92256066081568,3.0,11613.0,9.0,99.92256066081568,3.0,9.873484134674072,True,0,qefem_v2_outputs/small_1_3/group_results.csv,win,win
1,G4,random,dense,800,19176,11646.0,11637.0,9.0,99.9227202472952,19.56220507621765,small_1_3,2000,128,0.01,11646.0,0.0,100.0,9.0,11646.0,0.0,100.0,9.0,9.243056297302246,True,0,qefem_v2_outputs/small_1_3/group_results.csv,win,win
1,G5,random,dense,800,19176,11631.0,11622.0,9.0,99.92262058292494,19.961461067199707,small_1_3,2000,128,0.01,11626.0,5.0,99.9570114349583,4.0,11626.0,5.0,99.9570114349583,4.0,9.61296772956848,True,0,qefem_v2_outputs/small_1_3/group_results.csv,win,win
1,G6,random,dense,800,19176,2178.0,2173.0,5.0,99.7704315886134,19.69116497039795,small_1_3,2000,128,0.01,2175.0,3.0,99.86225895316804,2.0,2175.0,3.0,99.86225895316804,2.0,10.144320964813232,True,0,qefem_v2_outputs/small_1_3/group_results.csv,win,win
1,G7,random,dense,800,19176,2006.0,1992.0,14.0,99.30209371884348,20.118622064590458,small_1_3,2000,128,0.01,1994.0,12.0,99.40179461615156,2.0,1994.0,12.0,99.40179461615156,2.0,9.427659034729004,True,0,qefem_v2_outputs/small_1_3/group_results.csv,win,win
1,G8,random,dense,800,19176,2005.0,1991.0,14.0,99.30174563591022,19.074840784072876,small_1_3,2000,128,0.01,1994.0,11.0,99.45137157107231,3.0,1994.0,11.0,99.45137157107231,3.0,8.788946866989136,True,0,qefem_v2_outputs/small_1_3/group_results.csv,win,win
1,G9,random,dense,800,19176,2054.0,2041.0,13.0,99.36708860759494,19.802350759506226,small_1_3,2000,128,0.01,2050.0,4.0,99.80525803310611,9.0,2050.0,4.0,99.80525803310611,9.0,9.662067890167236,True,0,qefem_v2_outputs/small_1_3/group_results.csv,win,win
1,G10,random,dense,800,19176,2000.0,1992.0,8.0,99.6,19.63355398178101,small_1_3,2000,128,0.01,1999.0,1.0,99.95,7.0,1999.0,1.0,99.95,7.0,9.976988077163696,True,0,qefem_v2_outputs/small_1_3/group_results.csv,win,win
2,G11,toroidal,dense,800,1600,564.0,556.0,8.0,98.58156028368796,20.064666032791138,small_1_3,2000,128,0.01,556.0,8.0,98.58156028368796,0.0,556.0,8.0,98.58156028368796,0.0,10.423957109451294,True,0,qefem_v2_outputs/small_1_3/group_results.csv,tie,tie
2,G12,toroidal,dense,800,1600,556.0,550.0,6.0,98.92086330935253,20.45124316215515,small_1_3,2000,128,0.01,552.0,4.0,99.28057553956836,2.0,552.0,4.0,99.28057553956836,2.0,9.579953908920288,True,0,qefem_v2_outputs/small_1_3/group_results.csv,win,win
