instance,nodes,edges,storage_mode,n_steps,replicas,lr,best_value,v1_best_cut,v1_gap,v1_percent_accuracy,raw_qefem_best_cut,raw_qefem_gap,raw_qefem_percent_accuracy,raw_qefem_best_step,raw_qefem_best_replica,raw_delta_vs_v1,raw_gap_delta_vs_v1,raw_accuracy_delta_vs_v1,use_polish,polish_top_k,polish_max_sweeps,polish_sweeps_done,polished_best_cut,polished_gap,polished_percent_accuracy,polished_delta_vs_v1,polished_gap_delta_vs_v1,polished_accuracy_delta_vs_v1,runtime_sec,seed,run_group,partition,graph_type
G1,800,19176,dense,2000,128,0.01,11624.0,11611.0,13.0,99.88816242257398,11609.0,15.0,99.87095664143152,700,0,-2.0,-2.0,-0.01720578114246507,True,8,20,0,11609.0,15.0,99.87095664143152,-2.0,-2.0,-0.01720578114246507,9.669467210769653,7,small_1_3,1,random
G2,800,19176,dense,2000,128,0.01,11620.0,11610.0,10.0,99.91394148020656,11595.0,25.0,99.78485370051635,467,106,-15.0,-15.0,-0.12908777969020946,True,8,20,0,11595.0,25.0,99.78485370051635,-15.0,-15.0,-0.12908777969020946,9.719211101531982,8,small_1_3,1,random
G3,800,19176,dense,2000,128,0.01,11622.0,11610.0,12.0,99.89674754775426,11613.0,9.0,99.92256066081569,783,18,3.0,3.0,0.025813113061431636,True,8,20,0,11613.0,9.0,99.92256066081569,3.0,3.0,0.025813113061431636,9.873484134674072,9,small_1_3,1,random
G4,800,19176,dense,2000,128,0.01,11646.0,11637.0,9.0,99.9227202472952,11646.0,0.0,100.0,398,59,9.0,9.0,0.07727975270479703,True,8,20,0,11646.0,0.0,100.0,9.0,9.0,0.07727975270479703,9.243056297302246,10,small_1_3,1,random
G5,800,19176,dense,2000,128,0.01,11631.0,11622.0,9.0,99.92262058292494,11626.0,5.0,99.9570114349583,793,66,4.0,4.0,0.034390852033368446,True,8,20,0,11626.0,5.0,99.9570114349583,4.0,4.0,0.034390852033368446,9.612967729568481,11,small_1_3,1,random
G6,800,19176,dense,2000,128,0.01,2178.0,2173.0,5.0,99.7704315886134,2175.0,3.0,99.86225895316804,751,113,2.0,2.0,0.09182736455463214,True,8,20,0,2175.0,3.0,99.86225895316804,2.0,2.0,0.09182736455463214,10.144320964813232,12,small_1_3,1,random
G7,800,19176,dense,2000,128,0.01,2006.0,1992.0,14.0,99.30209371884348,1994.0,12.0,99.40179461615155,878,16,2.0,2.0,0.09970089730806819,True,8,20,0,1994.0,12.0,99.40179461615155,2.0,2.0,0.09970089730806819,9.427659034729004,13,small_1_3,1,random
G8,800,19176,dense,2000,128,0.01,2005.0,1991.0,14.0,99.30174563591022,1994.0,11.0,99.45137157107231,641,113,3.0,3.0,0.1496259351620921,True,8,20,0,1994.0,11.0,99.45137157107231,3.0,3.0,0.1496259351620921,8.788946866989136,14,small_1_3,1,random
G9,800,19176,dense,2000,128,0.01,2054.0,2041.0,13.0,99.36708860759494,2050.0,4.0,99.80525803310613,977,99,9.0,9.0,0.438169425511191,True,8,20,0,2050.0,4.0,99.80525803310613,9.0,9.0,0.438169425511191,9.662067890167236,15,small_1_3,1,random
G10,800,19176,dense,2000,128,0.01,2000.0,1992.0,8.0,99.6,1999.0,1.0,99.95,695,46,7.0,7.0,0.3500000000000085,True,8,20,0,1999.0,1.0,99.95,7.0,7.0,0.3500000000000085,9.976988077163696,16,small_1_3,1,random
G11,800,1600,dense,2000,128,0.01,564.0,556.0,8.0,98.58156028368796,556.0,8.0,98.58156028368795,356,9,0.0,0.0,-1.4210854715202004e-14,True,8,20,0,556.0,8.0,98.58156028368795,0.0,0.0,-1.4210854715202004e-14,10.423957109451294,17,small_1_3,2,toroidal
G12,800,1600,dense,2000,128,0.01,556.0,550.0,6.0,98.92086330935253,552.0,4.0,99.28057553956835,350,116,2.0,2.0,0.3597122302158198,True,8,20,0,552.0,4.0,99.28057553956835,2.0,2.0,0.3597122302158198,9.579953908920288,18,small_1_3,2,toroidal
G13,800,1600,dense,2000,128,0.01,582.0,580.0,2.0,99.65635738831617,580.0,2.0,99.65635738831615,356,72,0.0,0.0,-1.4210854715202004e-14,True,8,20,0,580.0,2.0,99.65635738831615,0.0,0.0,-1.4210854715202004e-14,10.262696027755737,19,small_1_3,2,toroidal
G14,800,4694,dense,2000,128,0.01,3064.0,3040.0,24.0,99.21671018276764,3039.0,25.0,99.18407310704961,1186,64,-1.0,-1.0,-0.03263707571802854,True,8,20,0,3039.0,25.0,99.18407310704961,-1.0,-1.0,-0.03263707571802854,9.176396131515503,20,small_1_3,3,plain
