step,temperature,beta,gamma_base,gamma_pulse,gamma
1,1.16,0.862069,1.0,0.0,1.0
2,1.1594197,0.8625005,0.99949974,0.0,0.99949974
3,1.1588395,0.8629323,0.9989995,0.0,0.9989995
4,1.1582592,0.86336464,0.9984993,0.0,0.9984993
5,1.157679,0.8637973,0.997999,0.0,0.997999
6,1.1570987,0.8642306,0.99749875,0.0,0.99749875
7,1.1565185,0.8646641,0.9969985,0.0,0.9969985
8,1.1559381,0.8650982,0.9964982,0.0,0.9964982
9,1.1553578,0.8655327,0.995998,0.0,0.995998
10,1.1547776,0.8659676,0.99549776,0.0,0.99549776
11,1.1541973,0.866403,0.9949975,0.0,0.9949975
12,1.1536171,0.8668387,0.99449724,0.0,0.99449724
13,1.1530368,0.867275,0.993997,0.0,0.993997
14,1.1524566,0.8677116,0.9934968,0.0,0.9934968
15,1.1518763,0.86814874,0.9929965,0.0,0.9929965
16,1.151296,0.86858636,0.99249625,0.0,0.99249625
17,1.1507158,0.8690243,0.991996,0.0,0.991996
18,1.1501355,0.8694628,0.9914957,0.0,0.9914957
19,1.1495553,0.8699016,0.9909955,0.0,0.9909955
20,1.148975,0.87034094,0.99049526,0.0,0.99049526
21,1.1483948,0.87078065,0.989995,0.0,0.989995
22,1.1478145,0.8712209,0.98949474,0.0,0.98949474
23,1.1472342,0.8716616,0.9889945,0.0,0.9889945
24,1.146654,0.8721027,0.9884943,0.0,0.9884943
25,1.1460737,0.8725442,0.987994,0.0,0.987994
26,1.1454935,0.8729862,0.98749375,0.0,0.98749375
27,1.1449132,0.87342864,0.9869935,0.0,0.9869935
28,1.1443329,0.87387156,0.98649323,0.0,0.98649323
29,1.1437527,0.8743149,0.98599297,0.0,0.98599297
30,1.1431724,0.8747587,0.98549277,0.0,0.98549277
31,1.1425922,0.8752029,0.9849925,0.0,0.9849925
32,1.1420119,0.8756476,0.98449224,0.0,0.98449224
33,1.1414317,0.87609273,0.983992,0.0,0.983992
34,1.1408514,0.87653834,0.9834917,0.0,0.9834917
35,1.1402711,0.8769845,0.9829915,0.0,0.9829915
36,1.1396909,0.8774309,0.98249125,0.0,0.98249125
37,1.1391106,0.8778779,0.981991,0.0,0.981991
38,1.1385304,0.8783253,0.98149073,0.0,0.98149073
39,1.1379501,0.8787732,0.98099047,0.0,0.98099047
40,1.1373699,0.87922144,0.98049027,0.0,0.98049027
41,1.1367896,0.87967026,0.97999,0.0,0.97999
42,1.1362092,0.88011956,0.97948974,0.0,0.97948974
43,1.135629,0.8805692,0.9789895,0.0,0.9789895
44,1.1350487,0.8810194,0.9784892,0.0,0.9784892
45,1.1344686,0.88147,0.977989,0.0,0.977989
46,1.1338882,0.8819211,0.97748876,0.0,0.97748876
47,1.133308,0.8823726,0.9769885,0.0,0.9769885
48,1.1327277,0.88282466,0.97648823,0.0,0.97648823
49,1.1321474,0.8832772,0.975988,0.0,0.975988
50,1.1315672,0.88373005,0.97548777,0.0,0.97548777
51,1.1309869,0.8841835,0.9749875,0.0,0.9749875
52,1.1304067,0.88463736,0.97448725,0.0,0.97448725
53,1.1298264,0.8850917,0.973987,0.0,0.973987
54,1.1292462,0.88554645,0.9734867,0.0,0.9734867
55,1.1286659,0.88600177,0.9729865,0.0,0.9729865
56,1.1280856,0.88645756,0.97248626,0.0,0.97248626
57,1.1275054,0.8869137,0.971986,0.0,0.971986
58,1.1269251,0.8873704,0.97148573,0.0,0.97148573
59,1.1263449,0.8878275,0.9709855,0.0,0.9709855
60,1.1257646,0.88828516,0.97048527,0.0,0.97048527
61,1.1251844,0.8887432,0.969985,0.0,0.969985
62,1.1246041,0.8892018,0.96948475,0.0,0.96948475
63,1.1240238,0.8896609,0.9689845,0.0,0.9689845
64,1.1234436,0.8901203,0.9684842,0.0,0.9684842
65,1.1228633,0.89058036,0.96798396,0.0,0.96798396
66,1.1222831,0.89104074,0.96748376,0.0,0.96748376
67,1.1217028,0.8915017,0.9669835,0.0,0.9669835
68,1.1211226,0.8919631,0.96648324,0.0,0.96648324
69,1.1205423,0.89242506,0.965983,0.0,0.965983
70,1.119962,0.8928875,0.9654827,0.0,0.9654827
71,1.1193818,0.89335024,0.9649825,0.0,0.9649825
72,1.1188015,0.8938136,0.96448225,0.0,0.96448225
73,1.1182213,0.8942774,0.963982,0.0,0.963982
74,1.117641,0.8947417,0.9634817,0.0,0.9634817
75,1.1170607,0.8952065,0.96298146,0.0,0.96298146
76,1.1164805,0.8956717,0.96248126,0.0,0.96248126
77,1.1159002,0.89613754,0.961981,0.0,0.961981
78,1.11532,0.8966037,0.96148074,0.0,0.96148074
79,1.1147397,0.89707047,0.9609805,0.0,0.9609805
80,1.1141595,0.8975376,0.9604802,0.0,0.9604802
81,1.1135792,0.8980053,0.95998,0.0,0.95998
82,1.1129988,0.8984735,0.95947975,0.0,0.95947975
83,1.1124187,0.8989421,0.9589795,0.0,0.9589795
84,1.1118383,0.8994113,0.9584792,0.0,0.9584792
85,1.1112581,0.8998809,0.95797896,0.0,0.95797896
86,1.1106778,0.9003511,0.95747876,0.0,0.95747876
87,1.1100976,0.9008216,0.9569785,0.0,0.9569785
88,1.1095173,0.9012928,0.95647824,0.0,0.95647824
89,1.108937,0.90176445,0.955978,0.0,0.955978
90,1.1083568,0.9022365,0.9554777,0.0,0.9554777
91,1.1077765,0.9027091,0.9549775,0.0,0.9549775
92,1.1071963,0.9031822,0.95447725,0.0,0.95447725
93,1.106616,0.9036558,0.953977,0.0,0.953977
94,1.1060358,0.90412986,0.9534767,0.0,0.9534767
95,1.1054555,0.9046045,0.95297647,0.0,0.95297647
96,1.1048752,0.9050796,0.95247626,0.0,0.95247626
97,1.104295,0.9055551,0.951976,0.0,0.951976
98,1.1037147,0.90603125,0.95147574,0.0,0.95147574
99,1.1031345,0.9065078,0.9509755,0.0,0.9509755
100,1.1025542,0.90698487,0.9504752,0.0,0.9504752
101,1.101974,0.9074624,0.949975,0.0,0.949975
102,1.1013937,0.90794057,0.94947475,0.0,0.94947475
103,1.1008134,0.9084192,0.9489745,0.0,0.9489745
104,1.1002332,0.90889823,0.9484742,0.0,0.9484742
105,1.0996529,0.9093779,0.94797397,0.0,0.94797397
