run_group,partition,instance,graph_type,storage_mode,nodes,edges,n_steps,replicas,lr,seed,historical_best,v1_best,v1_gap,v1_percent_accuracy,v2_best,v2_gap,v2_percent_accuracy,v2_best_step,v2_best_replica,final_best,final_gap,final_percent_accuracy,best_step_success_count,best_step_success_probability,ever_success_count,ever_success_probability,final_success_count,final_success_probability,v2_runtime_sec
small_4_6,4,G22,random,dense,2000,19990,2000,128,0.03,7,13359.0,13312.0,47.0,99.64817725877684,13294.0,65.0,99.51343663447862,1099,99,13294.0,65.0,99.51343663447862,0,0.0,0,0.0,0,0.0,25.044713258743286
small_4_6,4,G23,random,dense,2000,19990,2000,128,0.03,8,13344.0,13303.0,41.0,99.69274580335733,13295.0,49.0,99.63279376498801,768,9,13295.0,49.0,99.63279376498801,0,0.0,0,0.0,0,0.0,27.267494916915894
small_4_6,4,G24,random,dense,2000,19990,2000,128,0.03,9,13337.0,13290.0,47.0,99.64759691084951,13283.0,54.0,99.5951113443803,685,11,13283.0,54.0,99.5951113443803,0,0.0,0,0.0,0,0.0,24.199018001556396
small_4_6,4,G25,random,dense,2000,19990,2000,128,0.03,10,13340.0,13284.0,56.0,99.58020989505248,13281.0,59.0,99.55772113943029,989,0,13281.0,59.0,99.55772113943029,0,0.0,0,0.0,0,0.0,25.79948616027832
small_4_6,4,G26,random,dense,2000,19990,2000,128,0.03,11,13328.0,13270.0,58.0,99.56482593037217,13277.0,51.0,99.61734693877551,972,26,13277.0,51.0,99.61734693877551,0,0.0,0,0.0,0,0.0,25.16667103767395
small_4_6,4,G27,random,dense,2000,19990,2000,128,0.03,12,3341.0,3310.0,31.0,99.07213409158936,3277.0,64.0,98.08440586650704,850,124,3277.0,64.0,98.08440586650704,0,0.0,0,0.0,0,0.0,25.130725860595703
small_4_6,4,G28,random,dense,2000,19990,2000,128,0.03,13,3298.0,3275.0,23.0,99.30260764099454,3251.0,47.0,98.5748938750758,486,85,3251.0,47.0,98.5748938750758,0,0.0,0,0.0,0,0.0,24.54987597465515
small_4_6,4,G29,random,dense,2000,19990,2000,128,0.03,14,3405.0,3351.0,54.0,98.41409691629956,3363.0,42.0,98.76651982378854,593,74,3363.0,42.0,98.76651982378854,0,0.0,0,0.0,0,0.0,25.460381031036377
small_4_6,4,G30,random,dense,2000,19990,2000,128,0.03,15,3413.0,3367.0,46.0,98.65221213009085,3364.0,49.0,98.56431292118371,1225,40,3364.0,49.0,98.56431292118371,0,0.0,0,0.0,0,0.0,24.23093891143799
small_4_6,4,G31,random,dense,2000,19990,2000,128,0.03,16,3310.0,3282.0,28.0,99.15407854984896,3265.0,45.0,98.6404833836858,555,20,3265.0,45.0,98.6404833836858,0,0.0,0,0.0,0,0.0,24.584394931793213
small_4_6,5,G32,toroidal,dense,2000,4000,2000,128,0.03,17,1410.0,1388.0,22.0,98.43971631205672,1386.0,24.0,98.29787234042553,166,28,1386.0,24.0,98.29787234042553,0,0.0,0,0.0,0,0.0,27.17272138595581
small_4_6,5,G33,toroidal,dense,2000,4000,2000,128,0.03,18,1382.0,1364.0,18.0,98.69753979739508,1366.0,16.0,98.84225759768451,383,6,1366.0,16.0,98.84225759768451,0,0.0,0,0.0,0,0.0,26.464083909988403
small_4_6,5,G34,toroidal,dense,2000,4000,2000,128,0.03,19,1384.0,1362.0,22.0,98.41040462427746,1370.0,14.0,98.98843930635839,456,123,1370.0,14.0,98.98843930635839,0,0.0,0,0.0,0,0.0,24.3583722114563
small_4_6,6,G35,plain,dense,2000,11778,2000,128,0.03,20,7687.0,7612.0,75.0,99.024326785482,7616.0,71.0,99.07636269025627,1558,59,7616.0,71.0,99.07636269025627,0,0.0,0,0.0,0,0.0,24.133266925811768
small_4_6,6,G36,plain,dense,2000,11766,2000,128,0.03,21,7680.0,7599.0,81.0,98.9453125,7602.0,78.0,98.984375,1343,108,7602.0,78.0,98.984375,0,0.0,0,0.0,0,0.0,24.66663408279419
small_4_6,6,G37,plain,dense,2000,11785,2000,128,0.03,22,7691.0,7619.0,72.0,99.063840852945,7615.0,76.0,99.01183201144194,1040,60,7615.0,76.0,99.01183201144194,0,0.0,0,0.0,0,0.0,24.918983936309814
small_4_6,6,G38,plain,dense,2000,11779,2000,128,0.03,23,7688.0,7616.0,72.0,99.06347554630594,7624.0,64.0,99.16753381893861,1066,102,7624.0,64.0,99.16753381893861,0,0.0,0,0.0,0,0.0,24.463583946228027
small_4_6,6,G39,plain,dense,2000,11778,2000,128,0.03,24,2408.0,2336.0,72.0,97.00996677740864,2331.0,77.0,96.80232558139535,1220,13,2331.0,77.0,96.80232558139535,0,0.0,0,0.0,0,0.0,24.441082000732422
small_4_6,6,G40,plain,dense,2000,11766,2000,128,0.03,25,2400.0,2296.0,104.0,95.66666666666669,2328.0,72.0,97.0,1190,3,2328.0,72.0,97.0,0,0.0,0,0.0,0,0.0,24.113385915756226
small_4_6,6,G41,plain,dense,2000,11785,2000,128,0.03,26,2405.0,2289.0,116.0,95.17671517671518,2311.0,94.0,96.0914760914761,1087,6,2311.0,94.0,96.0914760914761,0,0.0,0,0.0,0,0.0,24.93043303489685
small_4_6,6,G42,plain,dense,2000,11779,2000,128,0.03,27,2481.0,2381.0,100.0,95.96936719064894,2394.0,87.0,96.49334945586457,1272,21,2394.0,87.0,96.49334945586457,0,0.0,0,0.0,0,0.0,23.903892993927002
