run_group,partition,instance,graph_type,storage_mode,nodes,edges,n_steps,replicas,lr,seed,historical_best,v1_best,v1_gap,v1_percent_accuracy,v2_best,v2_gap,v2_percent_accuracy,v2_best_step,v2_best_replica,final_best,final_gap,final_percent_accuracy,best_step_success_count,best_step_success_probability,ever_success_count,ever_success_probability,final_success_count,final_success_probability,v2_runtime_sec
small_7_9,7,G43,random,dense,1000,9990,2000,128,0.03,7,6660.0,6652.0,8.0,99.87987987987988,6643.0,17.0,99.74474474474475,635,107,6643.0,17.0,99.74474474474475,0,0.0,0,0.0,0,0.0,17.52125072479248
small_7_9,7,G44,random,dense,1000,9990,2000,128,0.03,8,6650.0,6638.0,12.0,99.81954887218043,6635.0,15.0,99.77443609022556,520,58,6635.0,15.0,99.77443609022556,0,0.0,0,0.0,0,0.0,18.14807391166687
small_7_9,7,G45,random,dense,1000,9990,2000,128,0.03,9,6654.0,6633.0,21.0,99.6844003606853,6633.0,21.0,99.6844003606853,1395,46,6633.0,21.0,99.6844003606853,0,0.0,0,0.0,0,0.0,17.7753746509552
small_7_9,7,G46,random,dense,1000,9990,2000,128,0.03,10,6649.0,6627.0,22.0,99.6691231764175,6635.0,14.0,99.78944202135659,561,81,6635.0,14.0,99.78944202135659,0,0.0,0,0.0,0,0.0,17.709019899368286
small_7_9,7,G47,random,dense,1000,9990,2000,128,0.03,11,6657.0,6638.0,19.0,99.71458614991738,6649.0,8.0,99.87982574733364,461,112,6649.0,8.0,99.87982574733364,0,0.0,0,0.0,0,0.0,17.38189196586609
small_7_9,8,G48,toroidal,dense,3000,6000,2000,128,0.03,12,6000.0,6000.0,0.0,100.0,6070.0,-70.0,101.16666666666667,124,29,6000.0,0.0,100.0,10,0.078125,18,0.140625,12,0.09375,37.557827949523926
small_7_9,8,G49,toroidal,dense,3000,6000,2000,128,0.03,13,6000.0,6000.0,0.0,100.0,6000.0,0.0,100.0,464,14,6000.0,0.0,100.0,1,0.0078125,7,0.0546875,7,0.0546875,37.35888481140137
small_7_9,8,G50,toroidal,dense,3000,6000,2000,128,0.03,14,5880.0,5852.0,28.0,99.52380952380952,7310.25,-1430.25,124.32397959183673,1341,47,5848.0,32.0,99.45578231292517,128,1.0,128,1.0,0,0.0,40.16161298751831
small_7_9,9,G51,plain,dense,1000,5909,2000,128,0.03,15,3848.0,3819.0,29.0,99.24636174636174,3818.0,30.0,99.22037422037423,934,49,3818.0,30.0,99.22037422037423,0,0.0,0,0.0,0,0.0,16.340144872665405
small_7_9,9,G52,plain,dense,1000,5916,2000,128,0.03,16,3851.0,3825.0,26.0,99.32485068813295,3830.0,21.0,99.45468709426123,974,123,3830.0,21.0,99.45468709426123,0,0.0,0,0.0,0,0.0,17.597652912139893
small_7_9,9,G53,plain,dense,1000,5914,2000,128,0.03,17,3850.0,3828.0,22.0,99.42857142857144,3827.0,23.0,99.40259740259741,875,95,3827.0,23.0,99.40259740259741,0,0.0,0,0.0,0,0.0,17.136677265167236
small_7_9,9,G54,plain,dense,1000,5916,2000,128,0.03,18,3852.0,3820.0,32.0,99.1692627206646,3827.0,25.0,99.35098650051921,1194,3,3827.0,25.0,99.35098650051921,0,0.0,0,0.0,0,0.0,16.726713180541992
