partition,step,mean_best_cut,mean_hard_cut,mean_expected_cut,mean_gap,mean_accuracy_percent,mean_rz_abs,mean_rx_abs,mean_R,mean_elapsed_sec
10,1,3206.0,3206.0,3111.0,3952.0,31.782170169439365,6.973512790864334e-05,0.0100992256775498,0.0100994780659675,0.0290819406509399
10,50,3255.5,3255.5,3111.0,3902.5,32.54371296008857,3.714734816639975e-06,0.0167990531772375,0.0167990531772375,0.6872879266738892
10,100,3255.5,3001.5,3111.0,3902.5,32.54371296008857,6.111980610512546e-07,0.031085442751646,0.031085442751646,1.375772476196289
10,150,3255.5,1957.0,3111.0,3902.5,32.54371296008857,4.427498788572848e-05,0.0646008662879467,0.0646008923649787,2.0895146131515503
10,200,3255.5,2242.5,3111.0,3902.5,32.54371296008857,0.00012516030255936924,0.1445727571845054,0.1445728465914726,2.781715512275696
10,250,3255.5,1379.5,3110.999945640564,3902.5,32.54371296008857,0.00020603866869345,0.2991244345903396,0.299124538898468,3.5140689611434937
10,300,6896.0,6896.0,3403.0965270996094,262.0,95.4061536170083,0.20318160206079477,0.4164484143257141,0.47891727089881897,4.228178977966309
10,350,7002.0,7002.0,4430.916931152344,156.0,97.32367412281664,0.4640227407217026,0.4115605801343918,0.6581981778144836,4.88675057888031
10,400,7030.5,7030.5,5220.66748046875,127.5,97.82816780503424,0.6062358021736145,0.40470951795578003,0.7707096636295319,5.51056694984436
10,450,7041.5,7041.5,5681.6331787109375,116.5,97.99571236750074,0.6849040389060974,0.38890837132930756,0.8296816647052765,6.112107515335083
10,500,7049.5,7049.5,5977.5985107421875,108.5,98.13412788831272,0.7358356714248657,0.3679738342761993,0.8640798628330231,6.788843154907227
10,550,7052.0,7052.0,6190.8172607421875,106.0,98.17358660879145,0.7736763060092926,0.3438771218061447,0.8869800269603729,7.415068030357361
10,600,7052.5,7052.5,6356.853271484375,105.5,98.1860337086172,0.8043155670166016,0.31751333177089686,0.903835117816925,8.23140811920166
10,650,7053.5,7053.5,6492.959716796875,104.5,98.2033356487187,0.8305055499076843,0.2892114073038101,0.9171181917190552,9.090698957443237
10,700,7054.0,7054.0,6607.1175537109375,104.0,98.20819048899446,0.8533200323581696,0.2590150982141495,0.9280819594860076,9.875324010848999
10,750,7054.5,7054.5,6703.3154296875,103.5,98.22063758882018,0.8730577826499939,0.22705326229333878,0.9373853206634521,10.678458571434021
10,800,7055.0,7055.0,6783.8936767578125,103.0,98.22549242909594,0.8900638520717621,0.1932957619428634,0.945347249507904,11.464874505996704
10,850,7055.0,7055.0,6849.6121826171875,103.0,98.22549242909594,0.9044261276721954,0.1576912328600883,0.952121376991272,12.230953097343445
10,900,7055.0,7055.0,6901.14794921875,103.0,98.22549242909594,0.9162294566631317,0.1202028915286064,0.9578028619289398,12.957092642784119
10,950,7055.0,7055.0,6938.814697265625,103.0,98.22549242909594,0.9262135326862335,0.0805205330252647,0.9624921083450317,13.748764514923096
10,1000,7055.0,7055.0,6962.9990234375,103.0,98.22549242909594,0.9454573392868042,0.03083130251616235,0.9663197696208954,14.441116452217102
11,1,74.0,74.0,-19.0,3420.0,2.117916428162564,6.973002746235579e-05,0.0100992256775498,0.0100994780659675,0.0197310447692871
11,50,132.0,132.0,-19.0,3362.0,3.777904979965655,3.7188365240581338e-06,0.0167990531772375,0.0167990531772375,0.727931022644043
11,100,132.0,-130.0,-19.0,3362.0,3.777904979965655,6.127319238657947e-07,0.031085442751646,0.031085442751646,1.4089620113372805
11,150,132.0,-644.0,-19.0,3362.0,3.777904979965655,3.5582121199695393e-05,0.064600870013237,0.0646008923649787,2.027179002761841
11,200,132.0,-856.0,-19.0,3362.0,3.777904979965655,9.529692033538596e-05,0.1445727944374084,0.1445728540420532,2.6772189140319824
11,250,132.0,-1618.0,-19.000083923339844,3362.0,3.777904979965655,0.0002099279809044,0.2991244494915008,0.2991245687007904,3.306547164916992
11,300,300.0,300.0,-18.993993759155273,3194.0,8.586147681740126,0.0005514585645869,0.4751954078674316,0.4751968681812286,3.9525649547576904
11,350,3422.0,3422.0,678.5946044921875,72.0,97.93932455638236,0.3935625255107879,0.4489224553108215,0.6157031059265137,4.6743810176849365
11,400,3424.0,3424.0,1455.0914306640625,70.0,97.9965655409273,0.5784846544265747,0.4250176548957824,0.7443940043449402,5.316295146942139
11,450,3424.0,3424.0,1987.363037109375,70.0,97.9965655409273,0.6804899573326111,0.401564747095108,0.8199388384819031,5.907447099685669
11,500,3428.0,3428.0,2329.35986328125,66.0,98.11104751001716,0.7411635518074036,0.3760103285312652,0.862884521484375,6.511733055114746
11,550,3428.0,3428.0,2568.778564453125,66.0,98.11104751001716,0.782253086566925,0.3486946225166321,0.889739453792572,7.138258218765259
11,600,3428.0,3428.0,2749.552734375,66.0,98.11104751001716,0.812876284122467,0.3200917840003967,0.908139944076538,7.765172958374023
11,650,3428.0,3428.0,2893.04296875,66.0,98.11104751001716,0.8370852470397949,0.2904495000839233,0.9216123819351196,8.382824182510376
11,700,3428.0,3428.0,3009.22509765625,66.0,98.11104751001716,0.8568910956382751,0.2598790228366852,0.9319353103637696,9.014486074447632
11,750,3428.0,3428.0,3104.08203125,66.0,98.11104751001716,0.8734007477760315,0.2283994555473327,0.940093994140625,9.621001958847046
11,800,3428.0,3428.0,3181.17529296875,66.0,98.11104751001716,0.8872764706611633,0.1959552615880966,0.9466843605041504,10.22188115119934
11,850,3428.0,3428.0,3242.768310546875,66.0,98.11104751001716,0.8989790678024292,0.1623971611261367,0.9520928263664246,10.834136009216309
11,900,3428.0,3428.0,3290.33544921875,66.0,98.11104751001716,0.909065008163452,0.1273644566535949,0.956582009792328,11.410736083984377
11,950,3428.0,3428.0,3324.931640625,66.0,98.11104751001716,0.9191626906394958,0.0893966257572174,0.9603331685066224,12.017550945281982
11,1000,3428.0,3428.0,3347.35009765625,66.0,98.11104751001716,0.9396995902061462,0.0322074964642524,0.9634943008422852,12.613412141799929
12,1,7527.5,7527.5,7416.5,5162.0,39.80972063393985,6.97380346537102e-05,0.0100992256775498,0.0100994780659675,0.0173219442367553
12,50,7663.5,7663.5,7416.5,5026.0,41.33573814289113,3.6826767200182076e-06,0.0167990531772375,0.0167990531772375,1.1291029453277588
12,100,7663.5,7486.5,7416.5,5026.0,41.33573814289113,5.930270390308578e-07,0.031085442751646,0.031085442751646,2.1706135272979736
12,150,7663.5,5405.0,7416.5,5026.0,41.33573814289113,3.879676660289988e-05,0.064600870013237,0.0646008923649787,3.215498447418213
12,200,10166.5,10166.5,7417.113454818726,2523.0,75.0842755590199,0.0025245583092327497,0.14447792619466776,0.14457582682371134,4.207695484161377
12,250,11593.0,11593.0,7572.947357177734,1096.5,90.05925137133659,0.09651819244027135,0.27453169226646423,0.30293536186218256,5.236588001251221
12,300,12198.5,12198.5,8552.178833007812,491.0,95.2954336382648,0.3325413465499878,0.3543086349964142,0.5216692984104156,6.236689925193787
12,350,12373.0,12373.0,9826.779052734375,316.5,96.77355100911198,0.536352813243866,0.3770486116409302,0.6983726322650909,7.308045148849487
12,400,12423.5,12423.5,10621.292236328125,266.0,97.2040228723564,0.6515838801860809,0.3737034648656845,0.7940213680267334,8.34956955909729
12,450,12454.5,12454.5,11081.56298828125,235.0,97.42094254369789,0.7182716131210327,0.35944482684135437,0.8448916375637054,9.395442485809326
12,500,12461.5,12461.5,11379.8076171875,228.0,97.49096891240754,0.7627741396427155,0.34006273746490473,0.8755010962486267,10.435190439224243
12,550,12463.5,12463.5,11594.9990234375,226.0,97.50695932975678,0.7963475286960602,0.3176349848508835,0.8962572515010834,11.475245475769043
12,600,12467.0,12467.0,11762.54541015625,222.5,97.54197251411159,0.8235858082771301,0.2930726110935211,0.9116385579109192,12.45997405052185
12,650,12467.5,12467.5,11898.34814453125,222.0,97.5501880908451,0.8465180397033691,0.2668676525354385,0.9237356185913086,13.52033805847168
12,700,12468.5,12468.5,12011.16845703125,221.0,97.56099528111716,0.8660739064216614,0.23918540775775904,0.9336058497428894,14.562157154083252
12,750,12470.0,12470.0,12106.132080078125,219.5,97.56877012173294,0.8828662037849426,0.21002893894910807,0.94183948636055,15.617549061775208
12,800,12470.0,12470.0,12184.5546875,219.5,97.56877012173294,0.8972533941268921,0.17940511554479593,0.9487826824188232,16.67635464668274
12,850,12470.0,12470.0,12248.416015625,219.5,97.56877012173294,0.9094141721725464,0.1472583040595054,0.9546230733394623,17.726149082183838
12,900,12470.0,12470.0,12298.73486328125,219.5,97.56877012173294,0.9196373224258422,0.1134619899094104,0.9595092535018921,18.767756581306458
12,950,12470.0,12470.0,12336.115234375,219.5,97.56877012173294,0.929157853126526,0.07738358527421946,0.9635669887065887,19.796312451362613
12,1000,12470.0,12470.0,12361.21337890625,219.5,97.56877012173294,0.9514665305614471,0.026948334649205152,0.9669343531131744,20.785613417625427
13,1,4492.0,4492.0,4377.5,5500.0,33.21683114435103,6.973576819291338e-05,0.0100992256775498,0.0100994780659675,0.032455563545226995
13,50,4546.5,4546.5,4377.5,5445.5,33.91731569539515,3.7132425632080412e-06,0.0167990550398826,0.0167990550398826,1.2119412422180176
13,100,4546.5,4187.0,4377.5,5445.5,33.91731569539515,6.114440509463748e-07,0.031085442751646,0.031085442751646,2.585750699043274
13,150,4546.5,2752.0,4377.5,5445.5,33.91731569539515,4.158759111305699e-05,0.064600870013237,0.0646008923649787,3.7985631227493286
13,200,4546.5,3433.0,4377.5,5445.5,33.91731569539515,0.00011708261445161844,0.1445727795362472,0.1445728465914726,5.0645997524261475
13,250,4546.5,1961.5,4377.49991607666,5445.5,33.91731569539515,0.00020650160149665,0.299124464392662,0.299124538898468,6.387452602386475
13,300,9609.0,9609.0,4744.555389404297,383.0,95.3564701398143,0.19297357648611063,0.42208370566368103,0.47823843359947205,7.808703660964966
13,350,9762.5,9762.5,6176.781433105469,229.5,97.1986479305892,0.4592993259429931,0.4139733910560608,0.6559896171092987,9.206230640411377
13,400,9804.5,9804.5,7271.32177734375,187.5,97.72428677857025,0.6030151546001434,0.4068503826856613,0.7689745724201202,10.490264177322388
13,450,9826.5,9826.5,7918.27978515625,165.5,97.98139807685536,0.6827735900878906,0.39081172645092005,0.8284725248813629,11.767857551574707
13,500,9834.0,9834.0,8332.392822265625,158.0,98.08018245767232,0.7344552874565125,0.3696610033512115,0.863232284784317,13.011269092559814
13,550,9837.0,9837.0,8630.092041015625,155.0,98.11663468948865,0.7727798819541931,0.3453754782676697,0.8863795697689056,14.247223019599915
13,600,9838.0,9838.0,8862.587158203125,154.0,98.12368289924338,0.803747683763504,0.31884558498859406,0.9034032821655273,15.562899112701416
13,650,9839.0,9839.0,9053.186767578125,153.0,98.1307311089981,0.830203652381897,0.2903602123260498,0.9168121218681335,16.846710562705994
13,700,9839.5,9839.5,9212.95654296875,152.5,98.13935774805952,0.853198230266571,0.26000626385211945,0.9278733730316162,18.15886378288269
13,750,9839.5,9839.5,9347.666259765625,152.5,98.13935774805952,0.8731630444526672,0.2278605252504348,0.9372520744800568,19.42722463607788
13,800,9839.5,9839.5,9460.335693359375,152.5,98.13935774805952,0.8903270661830902,0.19392409920692444,0.9452747404575348,20.6470046043396
13,850,9839.5,9839.5,9552.516845703125,152.5,98.13935774805952,0.9048277735710144,0.1581262275576591,0.9520978331565858,22.11860752105713
13,900,9839.5,9839.5,9624.86962890625,152.5,98.13935774805952,0.9167629480361938,0.12040649726986885,0.9578206837177277,23.924782156944275
13,950,9839.5,9839.5,9677.71728515625,152.5,98.13935774805952,0.9268796145915985,0.0804103389382362,0.9625461399555206,25.499061703681946
13,1000,9839.5,9839.5,9711.587890625,152.5,98.13935774805952,0.9459238350391388,0.0301735280081629,0.9664061665534973,27.230411052703857
14,1,66.0,66.0,-40.0,4804.0,1.3552361396303902,6.97375216986984e-05,0.0100992256775498,0.0100994780659675,0.0267462730407714
