step,beta,gamma,loss_mean,free_energy_mean,expected_cut_mean,expected_cut_max,hard_cut_mean,hard_cut_max,best_cut_so_far,entropy_mean,driver_energy_mean,R_mean,R_min,R_max,rx_mean,rx_abs_mean,rz_mean,rz_abs_mean,grad_norm_raw_R,grad_norm_theta
0,2.0,0.0,-9865.2392578125,-9865.2392578125,9588.0,9588.0,9888.6171875,10367.0,10367.0,554.4776611328125,0.0,0.009903954342007637,0.009861787781119347,0.009946804493665695,0.009903931058943272,0.009903931058943272,2.9299653192538244e-07,1.7737016605678946e-05,0.00012375434744171798,8.666158350933983e-07
1,14.510510444641113,0.0,-9626.2119140625,-9626.2119140625,9588.0,9588.0,9582.59375,10881.0,10881.0,554.478515625,0.0,0.009831941686570644,0.009790100157260895,0.009874464944005013,0.009831848554313183,0.009831848554313183,-8.833247875372763e-07,3.557085074135102e-05,1.6730975403334014e-05,3.643226818894618e-06
2,27.021020889282227,0.0,-9608.5205078125,-9608.5205078125,9588.0,9588.0,10725.5859375,10958.0,10958.0,554.47900390625,0.0,0.009773002937436104,0.009731462225317955,0.009815288707613945,0.009772779420018196,0.009772779420018196,2.875067934837716e-07,5.4113901569508016e-05,8.85083409229992e-06,9.71681765804533e-06
3,39.531532287597656,0.0,-9602.0263671875,-9602.0263671875,9588.0,9588.0,10717.890625,11036.0,11036.0,554.4794921875,0.0,0.009722825139760971,0.009681557305157185,0.009764939546585083,0.009722293354570866,0.009722293354570866,7.12926521373447e-07,8.506524318363518e-05,5.93288996242336e-06,8.699751560925506e-06
4,52.04204177856445,0.0,-9598.654296875,-9598.654296875,9588.0,9588.0,10909.6171875,11072.0,11072.0,554.4798583984375,0.0,0.00967914517968893,0.009638166055083275,0.009721197187900543,0.009678083471953869,0.009678083471953869,3.718265020324907e-07,0.00012182222417322919,4.384322437545052e-06,1.4174773241393268e-05
5,64.55255126953125,0.0,-9596.58984375,-9596.58984375,9588.0,9588.0,10947.140625,11120.0,11120.0,554.480224609375,0.0,0.009640606120228767,0.009600021876394749,0.009682800620794296,0.009638696908950806,0.009638696908950806,-1.022882116785695e-07,0.00016620960377622396,3.358102730999235e-06,1.8304954210179858e-05
6,77.06306457519531,0.0,-9595.1953125,-9595.1953125,9588.0,9588.0,10965.9765625,11157.0,11157.0,554.4805908203125,0.0,0.009606326930224895,0.009566367603838444,0.00964900478720665,0.009603169746696949,0.009603169746696949,-3.7290476484486135e-07,0.000216970918700099,2.58747104453505e-06,2.4227330868598074e-05
7,89.57357025146484,0.0,-9594.1904296875,-9594.1904296875,9588.0,9588.0,11009.296875,11188.0,11188.0,554.4808349609375,0.0,0.009575705975294113,0.009536631405353546,0.009620771743357182,0.00957084447145462,0.00957084447145462,-3.9477819768762856e-07,0.00027258999762125313,1.9886977042915532e-06,3.1303676223615184e-05
8,102.0840835571289,0.0,-9593.431640625,-9593.431640625,9588.0,9588.0,11045.6328125,11227.0,11227.0,554.4810791015625,0.0,0.009548344649374485,0.009509752504527569,0.009597628377377987,0.009541247971355915,0.009541247971355915,-2.5067478759410733e-07,0.0003326170553918928,1.6263702491414733e-06,3.874035974149592e-05
9,114.59459686279297,0.0,-9592.8388671875,-9592.8388671875,9588.0,9588.0,11072.5,11247.0,11247.0,554.481201171875,0.0,0.00952398031949997,0.009485268965363503,0.009579474106431007,0.00951404683291912,0.00951404683291912,-3.505943624304564e-08,0.0003968739474657923,1.714337372504815e-06,4.651026756619103e-05
