instance,step,beta,gamma,loss_mean,free_energy_mean,expected_cut_mean,expected_cut_max,hard_cut_mean,hard_cut_max,best_cut_so_far,entropy_mean,driver_energy_mean,R_mean,R_min,R_max,rx_mean,rx_abs_mean,rz_mean,rz_abs_mean,grad_norm_raw_R,grad_norm_theta
G10,0,2.0,1.0,-205.23883056640625,-205.23883056640625,-80.0,-80.0,-141.9921875,27.0,27.0,554.4776611328125,-7.999996185302734,0.010099474340677261,0.010056464932858944,0.010143181309103966,0.010099222883582115,0.010099222883582115,7.732506190905042e-08,6.968197703827173e-05,0.024626243859529495,2.499603397154715e-05
G10,1,14.510510444641113,0.9989989995956421,33.71662139892578,33.71662139892578,-80.0,-80.0,-136.0625,24.0,27.0,554.4769287109375,-8.071290969848633,0.010199961252510548,0.010156523436307907,0.010244099423289299,0.010199946351349354,0.010199946351349354,6.956794607049233e-08,1.4897132132318802e-05,0.024950658902525902,0.00017872988246381283
G10,2,27.021020889282227,0.9979979991912842,51.33620834350586,51.33620834350586,-80.0,-80.0,-162.484375,16.0,27.0,554.47607421875,-8.143621444702148,0.010301477275788784,0.010257611982524395,0.01034605037420988,0.010301372036337852,0.010301372036337852,-2.6109622908165875e-08,4.5747550757369027e-05,0.025179721415042877,4.4966178393224254e-05
G10,3,39.531532287597656,0.9969969987869263,57.75749969482422,57.75749969482422,-80.0,-80.0,-153.328125,41.0,41.0,554.4752197265625,-8.216349601745605,0.010404047556221485,0.0103597491979599,0.010449059307575226,0.01040390133857727,0.01040390133857727,-9.430395664367097e-08,5.3359934099717066e-05,0.02540495991706848,0.00011699523020070046
G10,4,52.04204177856445,0.9959959983825684,61.055850982666016,61.055850982666016,-80.0,-80.0,-151.0546875,19.0,41.0,554.474365234375,-8.289795875549316,0.01050769817084074,0.010462962090969086,0.010553152300417423,0.010507635772228241,0.010507635772228241,-9.235554898623377e-08,3.388639015611261e-05,0.025630952790379524,0.00013771849626209587
G10,5,64.55255126953125,0.9949949979782104,63.04647445678711,63.04647445678711,-80.0,-80.0,-141.6640625,34.0,41.0,554.4735107421875,-8.364036560058594,0.01061245333403349,0.010567276738584042,0.010658356361091137,0.010612444952130318,0.010612444952130318,-3.719062036111609e-08,1.0823233424162026e-05,0.025858750566840172,8.906178845791146e-05
G10,6,77.06306457519531,0.9939939975738525,64.36598205566406,64.36598205566406,-80.0,-80.0,-182.796875,18.0,41.0,554.47265625,-8.43896484375,0.01071834284812212,0.010672721080482006,0.01076470036059618,0.010718300007283688,0.010718300007283688,3.5373552975670464e-08,2.945900814665947e-05,0.0260882917791605,3.4997508919332176e-05
G10,7,89.57357025146484,0.9929929971694946,65.29531860351562,65.29531860351562,-80.0,-80.0,-172.6875,16.0,41.0,554.4718017578125,-8.514556884765625,0.01082539651542902,0.010779323056340218,0.010872210375964642,0.010825315490365028,0.010825315490365028,8.356743563808777e-08,4.08190862799529e-05,0.026319637894630432,7.594728958792984e-05
G10,8,102.0840835571289,0.9919919967651367,65.97758483886719,65.97758483886719,-80.0,-80.0,-166.1328125,29.0,41.0,554.4708251953125,-8.590900421142578,0.01093363482505083,0.010887106880545616,0.010980913415551186,0.010933573357760906,0.010933573357760906,8.46748307026246e-08,3.512370676617138e-05,0.026553113013505936,0.00010464677325217053
G10,9,114.59459686279297,0.9909909963607788,66.493408203125,66.493408203125,-80.0,-80.0,-96.4296875,69.0,69.0,554.4698486328125,-8.668058395385742,0.011043095029890537,0.010996106080710888,0.011090842075645924,0.011043076403439045,0.011043076403439045,4.602229708439154e-08,1.9487350073177367e-05,0.026788948103785515,9.164265065919608e-05
