instance,N,edges,best_known_cut,vanilla_fem_best_cut,gap,accuracy,percent_accuracy,runtime_sec,best_replica,R,N_steps,beta_min,beta_max,schedule_kind,lr,seed,batch
G22,2000,19990,13359,12995.0,364.0,0.9727524515308033,97.27524515308032,9.472377061843872,125,128,1000,2.0,12500.0,linear,0.01,0,4
G23,2000,19990,13344,13020.0,324.0,0.9757194244604317,97.57194244604317,9.4221351146698,120,128,1000,2.0,12500.0,linear,0.01,0,4
G24,2000,19990,13337,12987.0,350.0,0.9737572167653895,97.37572167653894,9.526203155517578,72,128,1000,2.0,12500.0,linear,0.01,0,4
G25,2000,19990,13340,12977.0,363.0,0.9727886056971514,97.27886056971514,9.20039176940918,67,128,1000,2.0,12500.0,linear,0.01,0,4
G26,2000,19990,13328,12987.0,341.0,0.9744147659063626,97.44147659063626,8.947652101516724,85,128,1000,2.0,12500.0,linear,0.01,0,4
G27,2000,19990,3341,2989.0,352.0,0.8946423226578869,89.4642322657887,9.232369899749756,52,128,1000,2.0,12500.0,linear,0.01,0,4
G28,2000,19990,3298,2956.0,342.0,0.8963007883565798,89.63007883565798,9.349376916885376,7,128,1000,2.0,12500.0,linear,0.01,0,4
G29,2000,19990,3405,3042.0,363.0,0.8933920704845815,89.33920704845815,9.861697912216187,108,128,1000,2.0,12500.0,linear,0.01,0,4
G30,2000,19990,3413,3045.0,368.0,0.8921769704072663,89.21769704072663,8.9722900390625,60,128,1000,2.0,12500.0,linear,0.01,0,4
G31,2000,19990,3310,2969.0,341.0,0.8969788519637463,89.69788519637463,9.1356360912323,76,128,1000,2.0,12500.0,linear,0.01,0,4
