graph_name,cut_value,gap
G1,11611.0,13.0
G2,11610.0,10.0
G3,11610.0,12.0
G4,11637.0,9.0
G5,11622.0,9.0
G6,2173.0,5.0
G7,1992.0,14.0
G8,1991.0,14.0
G9,2041.0,13.0
G10,1992.0,8.0
G11,556.0,8.0
G12,550.0,6.0
G13,580.0,2.0
G14,3040.0,24.0
G15,3025.0,25.0
G16,3027.0,25.0
G17,3021.0,26.0
G18,978.0,14.0
G19,876.0,30.0
G20,930.0,11.0
G21,915.0,16.0
G22,13312.0,47.0
G23,13303.0,41.0
G24,13290.0,47.0
G25,13284.0,56.0
G26,13270.0,58.0
G27,3310.0,31.0
G28,3275.0,23.0
G29,3351.0,54.0
G30,3367.0,46.0
G31,3282.0,28.0
G32,1388.0,22.0
G33,1364.0,18.0
G34,1362.0,22.0
G35,7612.0,75.0
G36,7599.0,81.0
G37,7619.0,72.0
G38,7616.0,72.0
G39,2336.0,72.0
G40,2296.0,104.0
G41,2289.0,116.0
G42,2381.0,100.0
G43,6652.0,8.0
G44,6638.0,12.0
G45,6633.0,21.0
G46,6627.0,22.0
G47,6638.0,19.0
G48,6000.0,0.0
G49,6000.0,0.0
G50,5852.0,28.0
G51,3819.0,29.0
G52,3825.0,26.0
G53,3828.0,22.0
G54,3820.0,32.0
