graph_name,cut_value,gap
G1,11446.0,178.0
G2,11435.0,185.0
G3,11443.0,179.0
G4,11503.0,143.0
G5,11450.0,181.0
G6,1978.0,200.0
G7,1822.0,184.0
G8,1856.0,149.0
G9,1840.0,214.0
G10,1819.0,181.0
G11,526.0,38.0
G12,520.0,36.0
G13,542.0,40.0
G14,3022.0,42.0
G15,2998.0,52.0
G16,2995.0,57.0
G17,2995.0,52.0
G18,928.0,64.0
G19,838.0,68.0
G20,876.0,65.0
G21,863.0,68.0
G22,12995.0,364.0
G23,13020.0,324.0
G24,12987.0,350.0
G25,12977.0,363.0
G26,12987.0,341.0
G27,2989.0,352.0
G28,2956.0,342.0
G29,3042.0,363.0
G30,3045.0,368.0
G31,2969.0,341.0
G32,1300.0,110.0
G33,1266.0,116.0
G34,1272.0,112.0
G35,7523.0,164.0
G36,7515.0,165.0
G37,7520.0,171.0
G38,7514.0,174.0
G39,2188.0,220.0
G40,2183.0,217.0
G41,2193.0,212.0
G42,2273.0,208.0
G43,6514.0,146.0
G44,6495.0,155.0
G45,6503.0,151.0
G46,6492.0,157.0
G47,6522.0,135.0
G48,5468.0,532.0
G49,5514.0,486.0
G50,5494.0,386.0
G51,3779.0,69.0
G52,3779.0,72.0
G53,3778.0,72.0
G54,3778.0,74.0
