batch,g_index,instance,N,edges,best_known_cut,vanilla_fem_best_cut,gap,accuracy,percent_accuracy,runtime_sec,best_replica,R,N_steps,beta_min,beta_max,schedule_kind,lr,seed
1,1,G1,800,19176,11624,11446.0,178.0,0.9846868547832072,98.46868547832072,4.368304967880249,10,128,1000,2.0,12500.0,linear,0.01,0
1,2,G2,800,19176,11620,11435.0,185.0,0.98407917383821,98.407917383821,4.299664258956909,55,128,1000,2.0,12500.0,linear,0.01,0
1,3,G3,800,19176,11622,11443.0,179.0,0.9845981758733436,98.45981758733437,4.356320858001709,14,128,1000,2.0,12500.0,linear,0.01,0
1,4,G4,800,19176,11646,11503.0,143.0,0.9877211059591275,98.77211059591275,4.275008916854858,75,128,1000,2.0,12500.0,linear,0.01,0
1,5,G5,800,19176,11631,11450.0,181.0,0.984438139454905,98.4438139454905,4.1619250774383545,106,128,1000,2.0,12500.0,linear,0.01,0
1,6,G6,800,19176,2178,1978.0,200.0,0.9081726354453628,90.81726354453627,4.394010782241821,6,128,1000,2.0,12500.0,linear,0.01,0
1,7,G7,800,19176,2006,1822.0,184.0,0.9082751744765702,90.82751744765703,4.333262920379639,110,128,1000,2.0,12500.0,linear,0.01,0
1,8,G8,800,19176,2005,1856.0,149.0,0.9256857855361597,92.56857855361596,4.411135911941528,25,128,1000,2.0,12500.0,linear,0.01,0
1,9,G9,800,19176,2054,1840.0,214.0,0.8958130477117819,89.5813047711782,4.523475885391235,92,128,1000,2.0,12500.0,linear,0.01,0
1,10,G10,800,19176,2000,1819.0,181.0,0.9095,90.95,4.260000944137573,55,128,1000,2.0,12500.0,linear,0.01,0
2,11,G11,800,1600,564,526.0,38.0,0.9326241134751773,93.26241134751773,4.2451012134552,52,128,1000,2.0,12500.0,linear,0.01,0
2,12,G12,800,1600,556,520.0,36.0,0.935251798561151,93.5251798561151,4.228103876113892,126,128,1000,2.0,12500.0,linear,0.01,0
2,13,G13,800,1600,582,542.0,40.0,0.9312714776632303,93.12714776632302,4.163055896759033,28,128,1000,2.0,12500.0,linear,0.01,0
3,14,G14,800,4694,3064,3022.0,42.0,0.9862924281984334,98.62924281984334,4.293622016906738,62,128,1000,2.0,12500.0,linear,0.01,0
3,15,G15,800,4661,3050,2998.0,52.0,0.9829508196721312,98.29508196721312,4.4972710609436035,0,128,1000,2.0,12500.0,linear,0.01,0
3,16,G16,800,4672,3052,2995.0,57.0,0.9813237221494102,98.13237221494103,4.5252580642700195,66,128,1000,2.0,12500.0,linear,0.01,0
3,17,G17,800,4667,3047,2995.0,52.0,0.9829340334755498,98.29340334755497,4.386743783950806,26,128,1000,2.0,12500.0,linear,0.01,0
3,18,G18,800,4694,992,928.0,64.0,0.9354838709677419,93.54838709677419,4.460267066955566,44,128,1000,2.0,12500.0,linear,0.01,0
3,19,G19,800,4661,906,838.0,68.0,0.9249448123620309,92.49448123620309,4.415109157562256,25,128,1000,2.0,12500.0,linear,0.01,0
3,20,G20,800,4672,941,876.0,65.0,0.9309245483528161,93.09245483528161,4.561956882476807,47,128,1000,2.0,12500.0,linear,0.01,0
