instance,N,edges,best_known_cut,vanilla_fem_best_cut,gap,accuracy,percent_accuracy,runtime_sec,best_replica,R,N_steps,beta_min,beta_max,schedule_kind,lr,seed
G1,800,19176,11624,11446.0,178.0,0.9846868547832072,98.46868547832072,2.7821271419525146,10,128,1000,2.0,12500.0,linear,0.01,0
G2,800,19176,11620,11435.0,185.0,0.98407917383821,98.407917383821,2.976060152053833,55,128,1000,2.0,12500.0,linear,0.01,0
G3,800,19176,11622,11443.0,179.0,0.9845981758733436,98.45981758733437,2.9967398643493652,14,128,1000,2.0,12500.0,linear,0.01,0
G4,800,19176,11646,11503.0,143.0,0.9877211059591275,98.77211059591275,2.973310947418213,75,128,1000,2.0,12500.0,linear,0.01,0
G5,800,19176,11631,11450.0,181.0,0.984438139454905,98.4438139454905,2.973849058151245,106,128,1000,2.0,12500.0,linear,0.01,0
G6,800,19176,2178,1978.0,200.0,0.9081726354453628,90.81726354453627,2.971005916595459,6,128,1000,2.0,12500.0,linear,0.01,0
G7,800,19176,2006,1822.0,184.0,0.9082751744765702,90.82751744765703,2.9634249210357666,110,128,1000,2.0,12500.0,linear,0.01,0
G8,800,19176,2005,1856.0,149.0,0.9256857855361597,92.56857855361596,2.9845612049102783,25,128,1000,2.0,12500.0,linear,0.01,0
G9,800,19176,2054,1840.0,214.0,0.8958130477117819,89.5813047711782,2.970322847366333,92,128,1000,2.0,12500.0,linear,0.01,0
G10,800,19176,2000,1819.0,181.0,0.9095,90.95,2.9845821857452393,55,128,1000,2.0,12500.0,linear,0.01,0
