method,trial,seed,energy,cut,gap,relative_error,ground_hit,target_hit,best_replica,runtime_sec
qefem,0,3494023143,-2032.0,,16.0,0.0078125,False,,3442,158.20082574998378
lqa,0,3494023143,-1986.0,,62.0,0.0302734375,False,,0,0.12063079100335017
qefem,1,1077125151,-2032.0,,16.0,0.0078125,False,,5477,151.8709336250031
lqa,1,1077125151,-2008.0,,40.0,0.01953125,False,,0,0.11736054200446233
qefem,2,3170439463,-2032.0,,16.0,0.0078125,False,,1978,151.30221866699867
lqa,2,3170439463,-1988.0,,60.0,0.029296875,False,,0,0.11866987499524839
qefem,3,2311181387,-2034.0,,14.0,0.0068359375,False,,2709,151.60096574999625
lqa,3,2311181387,-1974.0,,74.0,0.0361328125,False,,0,0.11832320899702609
qefem,4,3193820799,-2034.0,,14.0,0.0068359375,False,,2656,151.1983917079924
lqa,4,3193820799,-1988.0,,60.0,0.029296875,False,,0,0.1198560000048019
qefem,5,2937896981,-2034.0,,14.0,0.0068359375,False,,7253,151.72164679100388
lqa,5,2937896981,-1984.0,,64.0,0.03125,False,,0,0.12295587500557303
qefem,6,2487197163,-2034.0,,14.0,0.0068359375,False,,3445,151.4917407920002
lqa,6,2487197163,-2004.0,,44.0,0.021484375,False,,0,0.11751345798256807
qefem,7,1456945886,-2034.0,,14.0,0.0068359375,False,,3173,170.37543175002793
lqa,7,1456945886,-1988.0,,60.0,0.029296875,False,,0,0.12495795800350606
qefem,8,331696215,-2032.0,,16.0,0.0078125,False,,4796,158.59658362501068
lqa,8,331696215,-1982.0,,66.0,0.0322265625,False,,0,0.11596958400332369
qefem,9,3635314792,-2032.0,,16.0,0.0078125,False,,2597,151.54230545900646
lqa,9,3635314792,-2004.0,,44.0,0.021484375,False,,0,0.11642558299354278
qefem,0,3454116278,-1978.0,,10.0,0.005030181086519115,False,,2827,166.3480736670026
lqa,0,3454116278,-1942.0,,46.0,0.023138832997987926,False,,0,0.1197467079909984
qefem,1,2469137728,-1976.0,,12.0,0.006036217303822937,False,,722,175.59926758302026
lqa,1,2469137728,-1930.0,,58.0,0.029175050301810865,False,,0,0.12037733400939032
qefem,2,1962915497,-1976.0,,12.0,0.006036217303822937,False,,1296,163.3600054999988
lqa,2,1962915497,-1932.0,,56.0,0.028169014084507043,False,,0,0.12070500000845641
qefem,3,2577650513,-1976.0,,12.0,0.006036217303822937,False,,942,162.98421145800967
lqa,3,2577650513,-1950.0,,38.0,0.019114688128772636,False,,0,0.11879908398259431
qefem,4,3734492368,-1976.0,,12.0,0.006036217303822937,False,,3590,163.413759957999
lqa,4,3734492368,-1952.0,,36.0,0.018108651911468814,False,,0,0.11941637500422075
qefem,5,3046483249,-1976.0,,12.0,0.006036217303822937,False,,1650,162.65606566600036
lqa,5,3046483249,-1936.0,,52.0,0.026156941649899398,False,,0,0.11801962499157526
qefem,6,3339915991,-1976.0,,12.0,0.006036217303822937,False,,40,162.6838355420041
lqa,6,3339915991,-1946.0,,42.0,0.02112676056338028,False,,0,0.1213202080107294
qefem,7,3663455289,-1976.0,,12.0,0.006036217303822937,False,,2729,162.42872108399752
lqa,7,3663455289,-1948.0,,40.0,0.02012072434607646,False,,0,0.12010150001151487
qefem,8,431971488,-1976.0,,12.0,0.006036217303822937,False,,91,161.81363224997767
lqa,8,431971488,-1942.0,,46.0,0.023138832997987926,False,,0,0.11699645800399594
qefem,9,3976079582,-1976.0,,12.0,0.006036217303822937,False,,7852,161.53855379199376
lqa,9,3976079582,-1934.0,,54.0,0.02716297786720322,False,,0,0.11981737497262657
qefem,0,2334942414,-1935.0,,10.0,0.005141388174807198,False,,4055,160.82459208299406
lqa,0,2334942414,-1897.0,,48.0,0.024678663239074552,False,,0,0.11953987498418428
qefem,1,972959248,-1935.0,,10.0,0.005141388174807198,False,,143,162.01667545898817
lqa,1,972959248,-1919.0,,26.0,0.013367609254498715,False,,0,0.1198989579861518
qefem,2,918715373,-1935.0,,10.0,0.005141388174807198,False,,377,162.5711441669846
lqa,2,918715373,-1923.0,,22.0,0.011311053984575836,False,,0,0.11887170802219771
qefem,3,995766950,-1935.0,,10.0,0.005141388174807198,False,,3353,160.07778916700045
lqa,3,995766950,-1915.0,,30.0,0.015424164524421594,False,,0,0.11928579199593514
qefem,4,1063847819,-1935.0,,10.0,0.005141388174807198,False,,1762,160.257858166995
lqa,4,1063847819,-1903.0,,42.0,0.021593830334190232,False,,0,0.11888808300136589
qefem,5,3453807154,-1935.0,,10.0,0.005141388174807198,False,,2403,160.240600042016
lqa,5,3453807154,-1921.0,,24.0,0.012339331619537276,False,,0,0.12042166601167992
qefem,6,4930965,-1935.0,,10.0,0.005141388174807198,False,,860,164.15420066702063
lqa,6,4930965,-1913.0,,32.0,0.016452442159383032,False,,0,0.11775604099966586
qefem,7,1808819323,-1935.0,,10.0,0.005141388174807198,False,,3910,160.29972483299207
lqa,7,1808819323,-1911.0,,34.0,0.017480719794344474,False,,0,0.11894087499240413
qefem,8,636621466,-1935.0,,10.0,0.005141388174807198,False,,2593,165.63930929201888
lqa,8,636621466,-1917.0,,28.0,0.014395886889460155,False,,0,0.12075420800829306
qefem,9,609911884,-1935.0,,10.0,0.005141388174807198,False,,1583,163.1158375829982
lqa,9,609911884,-1915.0,,30.0,0.015424164524421594,False,,0,0.11663858298561536
qefem,0,966741144,-1892.0,,8.0,0.004210526315789474,False,,1989,160.7764695000078
lqa,0,966741144,-1878.0,,22.0,0.011578947368421053,False,,0,0.12006679200567305
qefem,1,2135314302,-1892.0,,8.0,0.004210526315789474,False,,794,160.18992649999564
lqa,1,2135314302,-1872.0,,28.0,0.014736842105263158,False,,0,0.11879329098155722
qefem,2,3077410600,-1892.0,,8.0,0.004210526315789474,False,,920,164.7403671249922
lqa,2,3077410600,-1876.0,,24.0,0.01263157894736842,False,,0,0.14450408300035633
qefem,3,882966602,-1892.0,,8.0,0.004210526315789474,False,,368,164.8013398340263
lqa,3,882966602,-1872.0,,28.0,0.014736842105263158,False,,0,0.11694095801794901
qefem,4,529374535,-1894.0,,6.0,0.003157894736842105,False,,1837,163.5040143749793
lqa,4,529374535,-1868.0,,32.0,0.016842105263157894,False,,0,0.1209591249935329
qefem,5,2629209112,-1894.0,,6.0,0.003157894736842105,False,,4576,163.64049441702082
lqa,5,2629209112,-1880.0,,20.0,0.010526315789473684,False,,0,0.11944529198808596
qefem,6,4118853785,-1892.0,,8.0,0.004210526315789474,False,,4152,162.73292358397157
lqa,6,4118853785,-1874.0,,26.0,0.01368421052631579,False,,0,0.11939716601045802
qefem,7,2888883985,-1894.0,,6.0,0.003157894736842105,False,,2156,161.82363149998127
lqa,7,2888883985,-1888.0,,12.0,0.00631578947368421,False,,0,0.11975912502384745
qefem,8,1996088876,-1892.0,,8.0,0.004210526315789474,False,,563,162.28662870798144
lqa,8,1996088876,-1868.0,,32.0,0.016842105263157894,False,,0,0.120728624984622
qefem,9,3350193853,-1892.0,,8.0,0.004210526315789474,False,,1060,179.9176381250145
lqa,9,3350193853,-1872.0,,28.0,0.014736842105263158,False,,0,0.12371904199244455
qefem,0,1794976184,-1827.0,,2.0,0.0010934937124111536,False,,5249,180.78492912498768
lqa,0,1794976184,-1813.0,,16.0,0.008747949699289229,False,,0,0.12375720799900591
qefem,1,2526535855,-1825.0,,4.0,0.002186987424822307,False,,351,179.95192829199368
lqa,1,2526535855,-1811.0,,18.0,0.009841443411700382,False,,0,0.12252974999137223
qefem,2,2862196610,-1825.0,,4.0,0.002186987424822307,False,,814,184.48538320799707
lqa,2,2862196610,-1803.0,,26.0,0.014215418261344996,False,,0,0.12438941598520614
qefem,3,1132848757,-1825.0,,4.0,0.002186987424822307,False,,22,193.82183649999206
lqa,3,1132848757,-1811.0,,18.0,0.009841443411700382,False,,0,0.1225621250050608
qefem,4,3290856418,-1825.0,,4.0,0.002186987424822307,False,,194,194.4998665410094
lqa,4,3290856418,-1805.0,,24.0,0.013121924548933843,False,,0,0.1221674999978859
