method,trial,seed,energy,cut,gap,relative_error,ground_hit,target_hit,best_replica,runtime_sec
qefem,0,3494023143,-2032.0,,,0.0078125,False,,3442,182.6528559590006
qefem,0,3454116278,-1978.0,,,0.005030181086519115,False,,2827,178.09362350000083
qefem,0,2334942414,-1935.0,,,0.005141388174807198,False,,4055,167.48305487500147
qefem,0,966741144,-1892.0,,,0.004210526315789474,False,,1989,168.2543643750014
qefem,0,1794976184,-1827.0,,,0.0010934937124111536,False,,5249,167.85538129199995
qefem,0,903741298,-1791.0,,,0.0,True,,278,168.46047499999986
qefem,0,862309687,-1720.0,,,0.0,True,,2135,147.0092318749994
qefem,0,3959532286,-1679.0,,,0.0,True,,17,145.70888550000018
qefem,0,3023034169,-1633.0,,,0.0,True,,15,145.5469954579985
qefem,0,530451229,-1592.0,,,0.0,True,,0,145.95921154199823
qefem,0,3746924676,-1536.0,,,0.0,True,,3,145.84085045899883
