step,discrete_energy,gap,entropy
0,58.0,2046.0,
1,58.0,2046.0,
2,58.0,2046.0,
3,-28.0,1960.0,
4,16.0,2004.0,
5,10.0,1998.0,
6,-146.0,1842.0,
7,6.0,1994.0,
8,-4.0,1984.0,
9,-48.0,1940.0,
10,-52.0,1936.0,
11,-6.0,1982.0,
12,-64.0,1924.0,
13,-32.0,1956.0,
14,116.0,2104.0,
15,10.0,1998.0,
16,110.0,2098.0,
17,110.0,2098.0,
18,-18.0,1970.0,
19,-8.0,1980.0,
20,8.0,1996.0,
21,12.0,2000.0,
22,-10.0,1978.0,
23,-88.0,1900.0,
24,2.0,1990.0,
25,-126.0,1862.0,
26,-110.0,1878.0,
27,-46.0,1942.0,
28,-192.0,1796.0,
29,-188.0,1800.0,
30,-106.0,1882.0,
31,-292.0,1696.0,
32,-312.0,1676.0,
33,-248.0,1740.0,
34,-318.0,1670.0,
35,-262.0,1726.0,
36,-382.0,1606.0,
37,-382.0,1606.0,
38,-338.0,1650.0,
39,-398.0,1590.0,
40,-456.0,1532.0,
41,-382.0,1606.0,
42,-438.0,1550.0,
43,-374.0,1614.0,
44,-454.0,1534.0,
45,-448.0,1540.0,
46,-470.0,1518.0,
47,-568.0,1420.0,
48,-456.0,1532.0,
49,-562.0,1426.0,
50,-448.0,1540.0,
51,-464.0,1524.0,
52,-496.0,1492.0,
53,-414.0,1574.0,
54,-514.0,1474.0,
55,-438.0,1550.0,
56,-540.0,1448.0,
57,-530.0,1458.0,
58,-552.0,1436.0,
59,-510.0,1478.0,
60,-584.0,1404.0,
61,-562.0,1426.0,
62,-546.0,1442.0,
63,-480.0,1508.0,
64,-556.0,1432.0,
65,-500.0,1488.0,
66,-628.0,1360.0,
67,-572.0,1416.0,
68,-476.0,1512.0,
69,-668.0,1320.0,
70,-550.0,1438.0,
71,-704.0,1284.0,
72,-526.0,1462.0,
73,-542.0,1446.0,
74,-588.0,1400.0,
75,-670.0,1318.0,
76,-582.0,1406.0,
77,-680.0,1308.0,
78,-530.0,1458.0,
79,-576.0,1412.0,
80,-650.0,1338.0,
81,-518.0,1470.0,
82,-592.0,1396.0,
83,-696.0,1292.0,
84,-738.0,1250.0,
85,-746.0,1242.0,
86,-780.0,1208.0,
87,-782.0,1206.0,
88,-878.0,1110.0,
89,-1028.0,960.0,
90,-1154.0,834.0,
91,-1258.0,730.0,
92,-1294.0,694.0,
93,-1348.0,640.0,
94,-1532.0,456.0,
95,-1554.0,434.0,
96,-1630.0,358.0,
97,-1682.0,306.0,
98,-1700.0,288.0,
99,-1740.0,248.0,
100,-1742.0,246.0,
101,-1786.0,202.0,
102,-1820.0,168.0,
103,-1836.0,152.0,
104,-1848.0,140.0,
105,-1884.0,104.0,
106,-1888.0,100.0,
107,-1912.0,76.0,
108,-1910.0,78.0,
109,-1904.0,84.0,
110,-1914.0,74.0,
111,-1920.0,68.0,
112,-1924.0,64.0,
113,-1918.0,70.0,
114,-1922.0,66.0,
115,-1920.0,68.0,
116,-1930.0,58.0,
117,-1930.0,58.0,
118,-1926.0,62.0,
119,-1928.0,60.0,
120,-1934.0,54.0,
121,-1938.0,50.0,
122,-1934.0,54.0,
123,-1932.0,56.0,
124,-1932.0,56.0,
125,-1936.0,52.0,
126,-1936.0,52.0,
127,-1938.0,50.0,
128,-1936.0,52.0,
129,-1936.0,52.0,
130,-1942.0,46.0,
131,-1942.0,46.0,
132,-1938.0,50.0,
133,-1938.0,50.0,
134,-1938.0,50.0,
135,-1942.0,46.0,
136,-1942.0,46.0,
137,-1940.0,48.0,
138,-1942.0,46.0,
139,-1944.0,44.0,
140,-1944.0,44.0,
141,-1944.0,44.0,
142,-1944.0,44.0,
143,-1944.0,44.0,
144,-1942.0,46.0,
145,-1942.0,46.0,
146,-1942.0,46.0,
147,-1948.0,40.0,
148,-1948.0,40.0,
149,-1948.0,40.0,
150,-1948.0,40.0,
151,-1948.0,40.0,
152,-1950.0,38.0,
153,-1950.0,38.0,
154,-1950.0,38.0,
155,-1948.0,40.0,
156,-1952.0,36.0,
157,-1952.0,36.0,
158,-1952.0,36.0,
159,-1952.0,36.0,
160,-1952.0,36.0,
161,-1952.0,36.0,
162,-1952.0,36.0,
163,-1952.0,36.0,
164,-1952.0,36.0,
165,-1952.0,36.0,
166,-1952.0,36.0,
167,-1952.0,36.0,
168,-1952.0,36.0,
169,-1952.0,36.0,
170,-1952.0,36.0,
171,-1952.0,36.0,
172,-1952.0,36.0,
173,-1952.0,36.0,
174,-1952.0,36.0,
175,-1952.0,36.0,
176,-1952.0,36.0,
177,-1952.0,36.0,
178,-1952.0,36.0,
179,-1952.0,36.0,
180,-1952.0,36.0,
181,-1952.0,36.0,
182,-1952.0,36.0,
183,-1952.0,36.0,
184,-1952.0,36.0,
185,-1952.0,36.0,
186,-1952.0,36.0,
187,-1952.0,36.0,
188,-1952.0,36.0,
189,-1952.0,36.0,
190,-1952.0,36.0,
191,-1952.0,36.0,
192,-1952.0,36.0,
193,-1952.0,36.0,
194,-1952.0,36.0,
195,-1952.0,36.0,
196,-1952.0,36.0,
197,-1952.0,36.0,
198,-1952.0,36.0,
199,-1952.0,36.0,
200,-1952.0,36.0,
201,-1952.0,36.0,
202,-1952.0,36.0,
203,-1952.0,36.0,
204,-1952.0,36.0,
205,-1952.0,36.0,
206,-1952.0,36.0,
207,-1952.0,36.0,
208,-1952.0,36.0,
209,-1952.0,36.0,
210,-1952.0,36.0,
211,-1952.0,36.0,
212,-1952.0,36.0,
213,-1952.0,36.0,
214,-1952.0,36.0,
215,-1952.0,36.0,
216,-1952.0,36.0,
217,-1952.0,36.0,
218,-1952.0,36.0,
219,-1952.0,36.0,
220,-1952.0,36.0,
221,-1952.0,36.0,
222,-1952.0,36.0,
223,-1952.0,36.0,
224,-1952.0,36.0,
225,-1952.0,36.0,
226,-1952.0,36.0,
227,-1952.0,36.0,
228,-1952.0,36.0,
229,-1952.0,36.0,
230,-1952.0,36.0,
231,-1952.0,36.0,
232,-1952.0,36.0,
233,-1952.0,36.0,
234,-1952.0,36.0,
235,-1952.0,36.0,
236,-1952.0,36.0,
237,-1952.0,36.0,
238,-1952.0,36.0,
239,-1952.0,36.0,
240,-1952.0,36.0,
241,-1952.0,36.0,
242,-1952.0,36.0,
243,-1952.0,36.0,
244,-1952.0,36.0,
245,-1952.0,36.0,
246,-1952.0,36.0,
247,-1952.0,36.0,
248,-1952.0,36.0,
249,-1952.0,36.0,
250,-1952.0,36.0,
251,-1952.0,36.0,
252,-1952.0,36.0,
253,-1952.0,36.0,
254,-1952.0,36.0,
255,-1952.0,36.0,
256,-1952.0,36.0,
257,-1952.0,36.0,
258,-1952.0,36.0,
259,-1952.0,36.0,
260,-1952.0,36.0,
261,-1952.0,36.0,
262,-1952.0,36.0,
263,-1952.0,36.0,
264,-1952.0,36.0,
265,-1952.0,36.0,
266,-1952.0,36.0,
267,-1952.0,36.0,
268,-1952.0,36.0,
269,-1952.0,36.0,
270,-1952.0,36.0,
271,-1952.0,36.0,
272,-1952.0,36.0,
273,-1952.0,36.0,
274,-1952.0,36.0,
275,-1952.0,36.0,
276,-1952.0,36.0,
277,-1952.0,36.0,
278,-1952.0,36.0,
279,-1952.0,36.0,
280,-1952.0,36.0,
281,-1952.0,36.0,
282,-1952.0,36.0,
283,-1952.0,36.0,
284,-1952.0,36.0,
285,-1952.0,36.0,
286,-1952.0,36.0,
287,-1952.0,36.0,
288,-1952.0,36.0,
289,-1952.0,36.0,
290,-1952.0,36.0,
291,-1952.0,36.0,
292,-1952.0,36.0,
293,-1952.0,36.0,
294,-1952.0,36.0,
295,-1952.0,36.0,
296,-1952.0,36.0,
297,-1952.0,36.0,
298,-1952.0,36.0,
299,-1952.0,36.0,
300,-1952.0,36.0,
301,-1952.0,36.0,
302,-1952.0,36.0,
303,-1952.0,36.0,
304,-1952.0,36.0,
305,-1952.0,36.0,
306,-1952.0,36.0,
307,-1952.0,36.0,
308,-1952.0,36.0,
309,-1952.0,36.0,
310,-1952.0,36.0,
311,-1952.0,36.0,
312,-1952.0,36.0,
313,-1952.0,36.0,
314,-1952.0,36.0,
315,-1952.0,36.0,
316,-1952.0,36.0,
317,-1952.0,36.0,
318,-1952.0,36.0,
319,-1952.0,36.0,
320,-1952.0,36.0,
321,-1952.0,36.0,
322,-1952.0,36.0,
323,-1952.0,36.0,
324,-1952.0,36.0,
325,-1952.0,36.0,
326,-1952.0,36.0,
327,-1952.0,36.0,
328,-1952.0,36.0,
329,-1952.0,36.0,
330,-1952.0,36.0,
331,-1952.0,36.0,
332,-1952.0,36.0,
333,-1952.0,36.0,
334,-1952.0,36.0,
335,-1952.0,36.0,
336,-1952.0,36.0,
337,-1952.0,36.0,
338,-1952.0,36.0,
339,-1952.0,36.0,
340,-1952.0,36.0,
341,-1952.0,36.0,
342,-1952.0,36.0,
