method,trial,seed,energy,cut,gap,relative_error,ground_hit,target_hit,best_replica,runtime_sec
qefem,0,3959532286,-1679.0,,0.0,0.0,True,,17,160.40828337499988
lqa,0,3959532286,-1675.0,,4.0,0.0023823704586063135,False,,0,0.11919554200721905
qefem,1,3774516246,-1679.0,,0.0,0.0,True,,56,160.56921895800042
lqa,1,3774516246,-1667.0,,12.0,0.00714711137581894,False,,0,0.12026529098511674
qefem,2,3170299607,-1679.0,,0.0,0.0,True,,19,159.595451916015
lqa,2,3170299607,-1673.0,,6.0,0.00357355568790947,False,,0,0.11945675002061762
qefem,3,3269461455,-1679.0,,0.0,0.0,True,,24,160.02012083301088
lqa,3,3269461455,-1673.0,,6.0,0.00357355568790947,False,,0,0.12101750000147149
qefem,4,3998570360,-1679.0,,0.0,0.0,True,,26,160.0335294159886
lqa,4,3998570360,-1673.0,,6.0,0.00357355568790947,False,,0,0.11922325001796708
qefem,5,900092448,-1679.0,,0.0,0.0,True,,53,159.44039795798017
lqa,5,900092448,-1673.0,,6.0,0.00357355568790947,False,,0,0.1176662500074599
qefem,6,1307185851,-1679.0,,0.0,0.0,True,,6,159.32697566700517
lqa,6,1307185851,-1671.0,,8.0,0.004764740917212627,False,,0,0.11981425000703894
qefem,7,4157578062,-1679.0,,0.0,0.0,True,,50,160.06293483398622
lqa,7,4157578062,-1671.0,,8.0,0.004764740917212627,False,,0,0.11667570797726512
qefem,8,1297640491,-1679.0,,0.0,0.0,True,,14,159.8194885420089
lqa,8,1297640491,-1671.0,,8.0,0.004764740917212627,False,,0,0.12055937500554137
qefem,9,357743073,-1679.0,,0.0,0.0,True,,19,160.0178303749999
lqa,9,357743073,-1671.0,,8.0,0.004764740917212627,False,,0,0.1178109580068849
