step,discrete_energy,gap,entropy
0,-1.0,1632.0,707.229248046875
1,467.0,2100.0,701.7622680664062
2,705.0,2338.0,677.2572021484375
3,-393.0,1240.0,629.64599609375
4,619.0,2252.0,565.1505737304688
5,607.0,2240.0,503.8030700683594
6,157.0,1790.0,457.791259765625
7,-199.0,1434.0,429.3152160644531
8,505.0,2138.0,417.60504150390625
9,481.0,2114.0,421.5665588378906
10,71.0,1704.0,439.471923828125
11,-111.0,1522.0,468.7872924804687
12,325.0,1958.0,506.4958801269531
13,295.0,1928.0,548.6603393554688
14,-233.0,1400.0,589.5383911132812
15,107.0,1740.0,623.1585083007812
16,119.0,1752.0,646.0719604492188
17,-289.0,1344.0,657.2384643554688
18,107.0,1740.0,657.1925659179688
19,3.0,1636.0,647.602783203125
20,-301.0,1332.0,630.2994384765625
21,-87.0,1546.0,607.94921875
22,-167.0,1466.0,584.59228515625
23,-303.0,1330.0,564.5076904296875
24,-255.0,1378.0,551.1650390625
25,-203.0,1430.0,546.5284423828125
26,-335.0,1298.0,550.6988525390625
27,-217.0,1416.0,562.0983276367188
28,-301.0,1332.0,577.9013061523438
29,-255.0,1378.0,594.6134033203125
30,-327.0,1306.0,608.7913208007812
31,-365.0,1268.0,617.74609375
32,-297.0,1336.0,620.1301879882812
33,-361.0,1272.0,616.17431640625
34,-321.0,1312.0,607.4631958007812
35,-303.0,1330.0,596.647216796875
36,-287.0,1346.0,586.80859375
37,-247.0,1386.0,580.598388671875
38,-229.0,1404.0,579.4784545898438
39,-129.0,1504.0,583.2720336914062
40,-201.0,1432.0,590.2958984375
41,-211.0,1422.0,597.9505615234375
42,-157.0,1476.0,603.6478271484375
43,41.0,1674.0,605.666259765625
44,83.0,1716.0,603.7445068359375
45,217.0,1850.0,599.1185913085938
46,75.0,1708.0,593.9564208984375
47,121.0,1754.0,590.4633178710938
48,167.0,1800.0,589.949462890625
49,273.0,1906.0,592.2565307617188
50,499.0,2132.0,595.9376220703125
51,543.0,2176.0,599.02197265625
52,389.0,2022.0,600.044189453125
53,643.0,2276.0,598.7842407226562
54,739.0,2372.0,596.2938232421875
55,669.0,2302.0,594.2066040039062
56,597.0,2230.0,593.715576171875
57,557.0,2190.0,594.8705444335938
58,659.0,2292.0,596.64306640625
59,729.0,2362.0,597.734130859375
60,689.0,2322.0,597.5011596679688
61,729.0,2362.0,596.3663940429688
62,829.0,2462.0,595.381591796875
63,715.0,2348.0,595.3048095703125
64,679.0,2312.0,596.0192260742188
65,703.0,2336.0,596.7464599609375
66,657.0,2290.0,596.831298828125
67,727.0,2360.0,596.3473510742188
68,605.0,2238.0,595.8939819335938
69,655.0,2288.0,595.927490234375
70,659.0,2292.0,596.3001708984375
71,541.0,2174.0,596.52978515625
72,577.0,2210.0,596.39599609375
73,631.0,2264.0,596.1470336914062
74,653.0,2286.0,596.1122436523438
75,659.0,2292.0,596.2869262695312
76,693.0,2326.0,596.3950805664062
77,597.0,2230.0,596.29931640625
78,573.0,2206.0,596.181884765625
79,637.0,2270.0,596.2390747070312
80,615.0,2248.0,596.3555908203125
81,711.0,2344.0,596.307373046875
82,503.0,2136.0,596.2028198242188
83,759.0,2392.0,596.2832641601562
84,665.0,2298.0,596.3451538085938
85,501.0,2134.0,596.236572265625
86,587.0,2220.0,596.2783813476562
87,657.0,2290.0,596.325439453125
88,541.0,2174.0,596.24267578125
89,569.0,2202.0,596.314208984375
90,537.0,2170.0,596.2730102539062
91,583.0,2216.0,596.3046264648438
92,517.0,2150.0,596.2606201171875
93,563.0,2196.0,596.2730102539062
94,549.0,2182.0,596.322265625
95,521.0,2154.0,596.1474609375
96,595.0,2228.0,596.3870239257812
97,513.0,2146.0,596.087646484375
98,519.0,2152.0,596.3190307617188
99,533.0,2166.0,596.3090209960938
100,521.0,2154.0,596.0596923828125
101,525.0,2158.0,596.309814453125
102,579.0,2212.0,596.314697265625
103,561.0,2194.0,596.0540771484375
104,505.0,2138.0,596.3353271484375
105,557.0,2190.0,596.2172241210938
106,571.0,2204.0,596.2548828125
107,603.0,2236.0,596.2434692382812
108,587.0,2220.0,596.1683349609375
109,561.0,2194.0,596.3816528320312
110,495.0,2128.0,596.1615600585938
111,569.0,2202.0,596.2214965820312
112,471.0,2104.0,596.3670654296875
113,473.0,2106.0,596.1309204101562
114,457.0,2090.0,596.3018798828125
115,445.0,2078.0,596.2467041015625
116,389.0,2022.0,596.1338500976562
117,439.0,2072.0,596.2656860351562
118,359.0,1992.0,596.048828125
119,311.0,1944.0,596.0159912109375
120,323.0,1956.0,595.9180297851562
121,201.0,1834.0,595.5653076171875
122,297.0,1930.0,595.442138671875
123,285.0,1918.0,595.0361938476562
124,329.0,1962.0,594.70703125
125,113.0,1746.0,594.4998168945312
126,137.0,1770.0,594.1060791015625
127,145.0,1778.0,594.1299438476562
128,117.0,1750.0,593.8043212890625
129,59.0,1692.0,593.8860473632812
130,71.0,1704.0,593.938720703125
131,-167.0,1466.0,593.7876586914062
132,-217.0,1416.0,593.892333984375
133,-275.0,1358.0,593.6696166992188
134,-425.0,1208.0,593.3413696289062
135,-431.0,1202.0,592.9144287109375
136,-537.0,1096.0,592.2578125
137,-685.0,948.0,591.5381469726562
138,-781.0,852.0,590.66943359375
139,-821.0,812.0,589.839111328125
140,-783.0,850.0,588.9775390625
141,-903.0,730.0,588.106689453125
142,-1021.0,612.0,587.253173828125
143,-1153.0,480.0,586.22216796875
144,-1185.0,448.0,585.0244140625
145,-1259.0,374.0,583.5265502929688
146,-1339.0,294.0,581.8646240234375
147,-1369.0,264.0,579.759521484375
148,-1413.0,220.0,577.642578125
149,-1425.0,208.0,575.55029296875
150,-1425.0,208.0,573.1845703125
151,-1427.0,206.0,570.955810546875
152,-1477.0,156.0,568.890380859375
153,-1487.0,146.0,566.6324462890625
154,-1501.0,132.0,564.8369750976562
155,-1497.0,136.0,563.1249389648438
156,-1517.0,116.0,561.2747802734375
157,-1529.0,104.0,560.0362548828125
158,-1541.0,92.0,558.2638549804688
159,-1521.0,112.0,556.5055541992188
160,-1525.0,108.0,554.6334228515625
161,-1521.0,112.0,552.6864013671875
162,-1527.0,106.0,550.593505859375
163,-1543.0,90.0,548.4985961914062
164,-1537.0,96.0,546.9036865234375
165,-1547.0,86.0,545.0716552734375
166,-1561.0,72.0,543.65234375
167,-1537.0,96.0,542.312744140625
168,-1561.0,72.0,540.8961181640625
