step,discrete_energy,gap,entropy
0,-62.0,1530.0,707.2805786132812
1,416.0,2008.0,701.725341796875
2,694.0,2286.0,677.3558349609375
3,-460.0,1132.0,629.8809204101562
4,608.0,2200.0,565.2760009765625
5,606.0,2198.0,503.8177795410156
6,268.0,1860.0,457.8042297363281
7,-238.0,1354.0,429.32733154296875
8,434.0,2026.0,417.55877685546875
9,464.0,2056.0,421.437744140625
10,36.0,1628.0,439.30712890625
11,-114.0,1478.0,468.6437072753906
12,250.0,1842.0,506.373779296875
13,266.0,1858.0,548.5704956054688
14,-126.0,1466.0,589.5839233398438
15,90.0,1682.0,623.33056640625
16,114.0,1706.0,646.221435546875
17,-240.0,1352.0,657.4136352539062
18,-8.0,1584.0,657.4442138671875
19,-98.0,1494.0,647.7975463867188
20,-166.0,1426.0,630.4444580078125
21,-138.0,1454.0,608.0723266601562
22,-170.0,1422.0,584.6116333007812
23,-238.0,1354.0,564.413330078125
24,-232.0,1360.0,551.0101318359375
25,-230.0,1362.0,546.3414306640625
26,-312.0,1280.0,550.5086059570312
27,-328.0,1264.0,561.9401245117188
28,-354.0,1238.0,577.8233032226562
29,-284.0,1308.0,594.6417236328125
30,-250.0,1342.0,608.8878784179688
31,-358.0,1234.0,617.8897705078125
32,-270.0,1322.0,620.3013916015625
33,-220.0,1372.0,616.3145141601562
34,-244.0,1348.0,607.5367431640625
35,-290.0,1302.0,596.6473388671875
36,-300.0,1292.0,586.7470703125
37,-214.0,1378.0,580.49951171875
38,-244.0,1348.0,579.3736572265625
39,-170.0,1422.0,583.1996459960938
40,-162.0,1430.0,590.275634765625
41,-194.0,1398.0,597.9788818359375
42,-108.0,1484.0,603.703125
43,-76.0,1516.0,605.7216796875
44,46.0,1638.0,603.7823486328125
45,112.0,1704.0,599.1220703125
46,232.0,1824.0,593.937255859375
47,190.0,1782.0,590.447265625
48,280.0,1872.0,589.937744140625
49,282.0,1874.0,592.2568969726562
50,404.0,1996.0,595.938720703125
51,540.0,2132.0,599.008544921875
52,504.0,2096.0,600.0198364257812
53,578.0,2170.0,598.7646484375
54,652.0,2244.0,596.3011474609375
