step,discrete_cut,gap,entropy
0,6146.0,4153.0,3453.55029296875
1,4761.0,5538.0,90.4740219116211
2,4761.0,5538.0,3.585719585418701
3,4761.0,5538.0,0.1331167221069336
4,4761.0,5538.0,0.004441738128662109
5,4761.0,5538.0,0.0
6,4761.0,5538.0,0.0
7,4761.0,5538.0,0.0
8,4761.0,5538.0,0.0
9,4761.0,5538.0,0.0
10,4761.0,5538.0,0.0
11,4761.0,5538.0,0.0
12,4761.0,5538.0,0.0
13,4761.0,5538.0,0.0
14,4761.0,5538.0,0.0
15,4302.0,5997.0,0.0
16,5018.0,5281.0,0.0
17,4761.0,5538.0,0.0
18,4761.0,5538.0,0.0
19,4761.0,5538.0,0.0
20,4761.0,5538.0,0.0
21,4761.0,5538.0,0.0
22,4761.0,5538.0,0.0
23,4761.0,5538.0,0.0
24,4761.0,5538.0,0.0
25,4761.0,5538.0,0.0
26,4710.0,5589.0,0.0
27,4863.0,5436.0,0.0
28,5982.0,4317.0,0.0
29,4770.0,5529.0,0.0
30,4761.0,5538.0,0.0
31,4761.0,5538.0,0.0
32,4761.0,5538.0,0.0
33,4761.0,5538.0,0.0
34,4761.0,5538.0,1.33514404296875e-05
35,4537.0,5762.0,0.0003600120544433594
36,6605.0,3694.0,0.0036449432373046875
37,4767.0,5532.0,0.013582706451416016
38,4761.0,5538.0,0.04355478286743164
39,4761.0,5538.0,0.13798856735229492
40,4730.0,5569.0,0.42603158950805664
41,5580.0,4719.0,1.2502360343933105
42,4803.0,5496.0,3.4469943046569824
43,4753.0,5546.0,9.103983879089355
44,4910.0,5389.0,23.156360626220703
45,5180.0,5119.0,54.971588134765625
46,4721.0,5578.0,123.85586547851562
47,5424.0,4875.0,259.77630615234375
48,4874.0,5425.0,487.88336181640625
49,4505.0,5794.0,756.3587646484375
50,4311.0,5988.0,881.3988037109375
51,4854.0,5445.0,744.7799072265625
52,5432.0,4867.0,490.1085510253906
53,5407.0,4892.0,282.14263916015625
