step,discrete_cut,gap,entropy
0,60.0,846.0,554.4769287109375
1,60.0,846.0,554.47607421875
2,60.0,846.0,554.4752197265625
3,71.0,835.0,554.4744262695312
4,74.0,832.0,554.4735107421875
5,74.0,832.0,554.47265625
6,74.0,832.0,554.4718017578125
7,74.0,832.0,554.4708251953125
8,74.0,832.0,554.469970703125
9,74.0,832.0,554.468994140625
10,74.0,832.0,554.468017578125
11,74.0,832.0,554.4669799804688
12,74.0,832.0,554.4658813476562
13,74.0,832.0,554.4649658203125
14,74.0,832.0,554.4639282226562
15,74.0,832.0,554.4628295898438
16,88.0,818.0,554.461669921875
17,88.0,818.0,554.4605712890625
18,88.0,818.0,554.45947265625
19,88.0,818.0,554.458251953125
20,88.0,818.0,554.4571533203125
21,88.0,818.0,554.4559326171875
22,88.0,818.0,554.4547119140625
23,88.0,818.0,554.4534301757812
24,88.0,818.0,554.4521484375
25,88.0,818.0,554.4508056640625
26,88.0,818.0,554.4495239257812
27,88.0,818.0,554.4481201171875
28,88.0,818.0,554.44677734375
29,88.0,818.0,554.4453125
30,88.0,818.0,554.44384765625
31,88.0,818.0,554.4423828125
32,88.0,818.0,554.44091796875
33,88.0,818.0,554.439453125
34,88.0,818.0,554.4379272460938
35,88.0,818.0,554.436279296875
36,88.0,818.0,554.4345703125
37,90.0,816.0,554.4329833984375
38,90.0,816.0,554.4312744140625
39,90.0,816.0,554.4296264648438
40,90.0,816.0,554.4278564453125
41,90.0,816.0,554.426025390625
42,90.0,816.0,554.4241943359375
43,90.0,816.0,554.42236328125
44,90.0,816.0,554.42041015625
45,90.0,816.0,554.41845703125
46,90.0,816.0,554.41650390625
47,90.0,816.0,554.41455078125
48,90.0,816.0,554.4124755859375
49,90.0,816.0,554.410400390625
50,90.0,816.0,554.408203125
51,90.0,816.0,554.4061279296875
52,90.0,816.0,554.40380859375
53,90.0,816.0,554.401611328125
54,90.0,816.0,554.3992919921875
55,90.0,816.0,554.39697265625
56,90.0,816.0,554.3944702148438
57,104.0,802.0,554.39208984375
58,104.0,802.0,554.3896484375
59,104.0,802.0,554.3870849609375
60,104.0,802.0,554.384521484375
61,104.0,802.0,554.3818359375
62,104.0,802.0,554.379150390625
63,104.0,802.0,554.3763427734375
64,104.0,802.0,554.37353515625
65,104.0,802.0,554.3707275390625
66,104.0,802.0,554.3677978515625
67,104.0,802.0,554.3648681640625
68,104.0,802.0,554.36181640625
69,104.0,802.0,554.3588256835938
70,109.0,797.0,554.3555908203125
71,109.0,797.0,554.3524169921875
72,109.0,797.0,554.34912109375
73,109.0,797.0,554.3458251953125
74,122.0,784.0,554.3424072265625
75,122.0,784.0,554.3389282226562
76,122.0,784.0,554.3353271484375
77,122.0,784.0,554.331787109375
78,122.0,784.0,554.328125
79,122.0,784.0,554.3242797851562
80,122.0,784.0,554.320556640625
81,122.0,784.0,554.316650390625
82,122.0,784.0,554.3126220703125
83,122.0,784.0,554.30859375
84,122.0,784.0,554.3045043945312
85,122.0,784.0,554.30029296875
86,122.0,784.0,554.2960205078125
87,122.0,784.0,554.2916259765625
88,122.0,784.0,554.2871704101562
89,122.0,784.0,554.2825927734375
90,122.0,784.0,554.2779541015625
91,125.0,781.0,554.2733154296875
92,125.0,781.0,554.2684326171875
93,125.0,781.0,554.2635498046875
94,125.0,781.0,554.258544921875
95,125.0,781.0,554.25341796875
96,125.0,781.0,554.248291015625
97,125.0,781.0,554.242919921875
98,125.0,781.0,554.237548828125
99,137.0,769.0,554.2320556640625
100,137.0,769.0,554.2264404296875
101,137.0,769.0,554.220703125
102,137.0,769.0,554.21484375
103,137.0,769.0,554.2089233398438
104,137.0,769.0,554.202880859375
105,137.0,769.0,554.1967163085938
106,137.0,769.0,554.1904296875
107,137.0,769.0,554.1840209960938
108,137.0,769.0,554.1773681640625
109,137.0,769.0,554.1707763671875
110,137.0,769.0,554.1639404296875
111,137.0,769.0,554.156982421875
112,137.0,769.0,554.14990234375
113,137.0,769.0,554.1427001953125
114,137.0,769.0,554.1353759765625
115,137.0,769.0,554.1279296875
116,137.0,769.0,554.1201782226562
117,137.0,769.0,554.112548828125
118,137.0,769.0,554.1046142578125
119,137.0,769.0,554.0966186523438
120,137.0,769.0,554.0883178710938
121,137.0,769.0,554.0798950195312
122,137.0,769.0,554.0712890625
123,137.0,769.0,554.0626220703125
124,137.0,769.0,554.0537109375
125,137.0,769.0,554.044677734375
126,137.0,769.0,554.0355224609375
127,137.0,769.0,554.026123046875
128,137.0,769.0,554.0164794921875
129,137.0,769.0,554.0067138671875
130,137.0,769.0,553.996826171875
131,137.0,769.0,553.9866943359375
132,137.0,769.0,553.976318359375
133,137.0,769.0,553.9658203125
134,137.0,769.0,553.955078125
135,137.0,769.0,553.944091796875
136,137.0,769.0,553.9329833984375
137,137.0,769.0,553.9215698242188
138,137.0,769.0,553.9100341796875
139,137.0,769.0,553.898193359375
140,137.0,769.0,553.88623046875
141,137.0,769.0,553.8740234375
142,137.0,769.0,553.8614501953125
143,137.0,769.0,553.8487548828125
144,137.0,769.0,553.8358154296875
145,137.0,769.0,553.8226318359375
146,137.0,769.0,553.8092041015625
147,137.0,769.0,553.79541015625
148,137.0,769.0,553.781494140625
149,137.0,769.0,553.7672729492188
150,137.0,769.0,553.7528076171875
151,137.0,769.0,553.7379760742188
152,137.0,769.0,553.722900390625
153,137.0,769.0,553.7075805664062
154,137.0,769.0,553.6920166015625
155,137.0,769.0,553.676025390625
156,137.0,769.0,553.659912109375
157,137.0,769.0,553.643310546875
158,137.0,769.0,553.6265258789062
159,137.0,769.0,553.609375
160,137.0,769.0,553.5919189453125
161,137.0,769.0,553.5740966796875
162,137.0,769.0,553.555908203125
163,137.0,769.0,553.5374755859375
164,137.0,769.0,553.5186767578125
165,137.0,769.0,553.49951171875
166,137.0,769.0,553.47998046875
167,137.0,769.0,553.4600830078125
168,137.0,769.0,553.4398193359375
169,137.0,769.0,553.419189453125
170,137.0,769.0,553.398193359375
171,137.0,769.0,553.3767700195312
172,137.0,769.0,553.35498046875
173,137.0,769.0,553.3328247070312
174,137.0,769.0,553.31005859375
175,137.0,769.0,553.287109375
176,137.0,769.0,553.2636108398438
177,137.0,769.0,553.2396240234375
178,137.0,769.0,553.2152709960938
179,137.0,769.0,553.1905517578125
180,137.0,769.0,553.165283203125
181,137.0,769.0,553.1395263671875
182,137.0,769.0,553.1134033203125
183,137.0,769.0,553.086669921875
184,137.0,769.0,553.0594482421875
185,137.0,769.0,553.0318603515625
186,137.0,769.0,553.0037231445312
187,137.0,769.0,552.9749755859375
188,137.0,769.0,552.9456787109375
189,137.0,769.0,552.916015625
190,137.0,769.0,552.8856201171875
191,137.0,769.0,552.8549194335938
192,137.0,769.0,552.8233642578125
193,137.0,769.0,552.7913818359375
194,137.0,769.0,552.7587890625
195,137.0,769.0,552.7257080078125
196,137.0,769.0,552.69189453125
197,137.0,769.0,552.657470703125
198,137.0,769.0,552.6224975585938
199,137.0,769.0,552.5869140625
200,137.0,769.0,552.550537109375
201,137.0,769.0,552.513671875
202,137.0,769.0,552.4760131835938
203,137.0,769.0,552.437744140625
204,137.0,769.0,552.398681640625
205,137.0,769.0,552.3590087890625
206,137.0,769.0,552.318603515625
207,137.0,769.0,552.277587890625
208,137.0,769.0,552.2357177734375
209,137.0,769.0,552.193115234375
210,137.0,769.0,552.1497192382812
211,137.0,769.0,552.1055908203125
212,137.0,769.0,552.060546875
213,137.0,769.0,552.014892578125
214,137.0,769.0,551.9683227539062
215,137.0,769.0,551.9208984375
216,137.0,769.0,551.8726806640625
217,137.0,769.0,551.8236083984375
218,137.0,769.0,551.773681640625
219,137.0,769.0,551.7227783203125
220,137.0,769.0,551.6710205078125
221,137.0,769.0,551.618408203125
222,137.0,769.0,551.5648803710938
223,137.0,769.0,551.5103149414062
224,137.0,769.0,551.4547729492188
225,137.0,769.0,551.3983764648438
226,137.0,769.0,551.3408813476562
227,137.0,769.0,551.282470703125
228,137.0,769.0,551.2230224609375
229,137.0,769.0,551.1624755859375
230,137.0,769.0,551.100830078125
231,137.0,769.0,551.0382080078125
232,137.0,769.0,550.9744873046875
233,137.0,769.0,550.9097290039062
234,137.0,769.0,550.8436279296875
235,137.0,769.0,550.7764892578125
236,137.0,769.0,550.708251953125
237,137.0,769.0,550.6387939453125
238,137.0,769.0,550.568115234375
