step,discrete_cut,gap,entropy
0,-16.0,957.0,552.5682373046875
1,-358.0,1299.0,2.8938863277435303
2,-240.0,1181.0,0.008719921112060547
3,-153.0,1094.0,5.9604644775390625e-05
4,-76.0,1017.0,0.0
5,-24.0,965.0,0.0
6,64.0,877.0,0.0
7,108.0,833.0,0.0
8,167.0,774.0,0.0
9,192.0,749.0,0.0
10,226.0,715.0,0.0
11,237.0,704.0,8.106231689453125e-06
12,149.0,792.0,0.0003566741943359375
13,82.0,859.0,0.01937246322631836
14,83.0,858.0,1.4443583488464355
15,279.0,662.0,113.86593627929688
16,385.0,556.0,54.32420349121094
17,566.0,375.0,8.240493774414062
18,633.0,308.0,1.3527355194091797
19,677.0,264.0,0.577829122543335
20,678.0,263.0,1.677641749382019
21,704.0,237.0,0.2082744836807251
22,724.0,217.0,0.50047767162323
23,726.0,215.0,0.005597829818725586
24,730.0,211.0,0.00013399124145507812
25,738.0,203.0,0.00029850006103515625
26,741.0,200.0,0.0011034011840820312
27,751.0,190.0,0.005073070526123047
28,764.0,177.0,0.03267788887023926
29,775.0,166.0,0.27396368980407715
30,791.0,150.0,3.122282028198242
31,796.0,145.0,1.0425455570220947
32,801.0,140.0,1.3980135917663574
33,604.0,337.0,8.688578605651855
34,288.0,653.0,11.709537506103516
35,244.0,697.0,9.32061767578125
36,251.0,690.0,7.512747764587402
37,357.0,584.0,6.5280656814575195
38,488.0,453.0,2.560680389404297
39,587.0,354.0,3.347133159637451
40,618.0,323.0,4.992212772369385
41,685.0,256.0,2.4953269958496094
42,727.0,214.0,3.8504557609558105
43,718.0,223.0,6.160923480987549
44,724.0,217.0,9.485811233520508
45,745.0,196.0,14.796144485473633
46,748.0,193.0,33.13631057739258
47,656.0,285.0,23.368267059326172
48,625.0,316.0,12.204721450805664
49,615.0,326.0,7.213663578033447
50,552.0,389.0,7.238613128662109
51,547.0,394.0,4.289830684661865
52,540.0,401.0,5.505021572113037
53,508.0,433.0,6.262470245361328
54,486.0,455.0,7.691028118133545
55,538.0,403.0,5.753157615661621
56,509.0,432.0,7.369720458984375
57,501.0,440.0,7.6195969581604
58,519.0,422.0,5.365037441253662
59,467.0,474.0,7.552063941955566
60,450.0,491.0,11.60423469543457
61,419.0,522.0,15.450048446655273
