graph,topology,trial,seed_base,seed,replicas,steps,target,best_cut,gap,winner,target_hits,runtime_sec
G10,random,0,93000,4227048712,4096,2000,2000.0,2000.0,0.0,129,17,941.8275791250053
G10,random,1,93001,3366346643,4096,2000,2000.0,2000.0,0.0,63,14,908.7753390000144
G10,random,2,93002,1232737513,4096,2000,2000.0,2000.0,0.0,88,23,985.987626999995
G10,random,3,93003,981061398,4096,2000,2000.0,2000.0,0.0,1167,20,952.3122645410185
G10,random,4,93004,932889664,4096,2000,2000.0,2000.0,0.0,237,14,972.2056664169941
G24,random,0,96200,3087790036,4096,4000,13337.0,13337.0,0.0,3898,1,3214.394263541006
G24,random,1,96201,2086330866,4096,4000,13337.0,13336.0,1.0,252,0,3091.6560556250042
G24,random,2,96202,4046858924,4096,4000,13337.0,13335.0,2.0,301,0,2941.067838374991
G25,random,0,96200,179361998,4096,4000,13340.0,13338.0,2.0,1856,0,2948.0622449160146
G25,random,1,96201,3210862909,4096,4000,13340.0,13339.0,1.0,1175,0,2943.3855573750043
G25,random,2,96202,2515578209,4096,4000,13340.0,13339.0,1.0,3400,0,2947.9295412499923
G46,random,0,93000,1417542138,4096,2000,6649.0,6649.0,0.0,46,17,664.9395996669773
G46,random,1,93001,657546293,4096,2000,6649.0,6649.0,0.0,276,11,675.3062030419824
G46,random,2,93002,1254279980,4096,2000,6649.0,6649.0,0.0,82,18,673.8721927079896
G46,random,3,93003,1480996849,4096,2000,6649.0,6649.0,0.0,658,10,690.0972682080173
G46,random,4,93004,339301068,4096,2000,6649.0,6649.0,0.0,230,13,678.5274971670005
G47,random,0,93000,637126580,4096,2000,6657.0,6657.0,0.0,3098,2,680.5945110419998
G47,random,1,93001,1867935295,4096,2000,6657.0,6656.0,1.0,34,0,676.0857972910162
G47,random,2,93002,1089603792,4096,2000,6657.0,6657.0,0.0,550,6,679.4956460840185
G47,random,3,93003,2854212403,4096,2000,6657.0,6657.0,0.0,317,2,685.8177527500084
G47,random,4,93004,4005736292,4096,2000,6657.0,6657.0,0.0,3460,1,675.6988226660178
G12,toroidal,0,93000,268169511,4096,8000,556.0,556.0,0.0,479,13,1066.0500257500098
G12,toroidal,1,93001,4197651212,4096,8000,556.0,556.0,0.0,109,29,1026.739478125004
G12,toroidal,2,93002,823684485,4096,8000,556.0,556.0,0.0,212,19,1051.1532612920273
G12,toroidal,3,93003,4240847020,4096,8000,556.0,556.0,0.0,382,22,1065.2847798750154
G12,toroidal,4,93004,1187328504,4096,8000,556.0,556.0,0.0,251,24,1064.649118374975
G13,toroidal,0,93000,2886885378,4096,8000,582.0,582.0,0.0,78,5,1070.7076796659967
G13,toroidal,1,93001,3733713919,4096,8000,582.0,582.0,0.0,611,5,1068.0168432500213
G13,toroidal,2,93002,1276674016,4096,8000,582.0,582.0,0.0,4,5,1068.0837489580153
G13,toroidal,3,93003,425375484,4096,8000,582.0,582.0,0.0,212,2,1068.114005124953
G13,toroidal,4,93004,3084154901,4096,8000,582.0,582.0,0.0,158,5,1069.166901999968
G48,toroidal,0,93000,2957795965,4096,1000,6000.0,6000.0,0.0,0,3275,533.4189989580191
G48,toroidal,1,93001,3569037302,4096,1000,6000.0,6000.0,0.0,0,3264,531.1052047499688
G48,toroidal,2,93002,4278955155,4096,1000,6000.0,6000.0,0.0,0,3232,531.6978137500118
G48,toroidal,3,93003,3885985525,4096,1000,6000.0,6000.0,0.0,0,3305,534.0760112080025
G48,toroidal,4,93004,2038742288,4096,1000,6000.0,6000.0,0.0,0,3223,532.9462679999997
G49,toroidal,0,93000,23556472,4096,1000,6000.0,6000.0,0.0,5,1019,531.3719702920062
G49,toroidal,1,93001,223537501,4096,1000,6000.0,6000.0,0.0,9,1000,532.5620306660421
G49,toroidal,2,93002,2659515841,4096,1000,6000.0,6000.0,0.0,6,991,532.3393816659809
G49,toroidal,3,93003,2849504442,4096,1000,6000.0,6000.0,0.0,24,989,531.2252528340323
G49,toroidal,4,93004,3671893283,4096,1000,6000.0,6000.0,0.0,3,967,531.0540742090088
G50,toroidal,0,93000,2939209664,4096,1000,5880.0,5880.0,0.0,72,38,532.7276678749477
G50,toroidal,1,93001,1981661125,4096,1000,5880.0,5880.0,0.0,59,37,531.613795042038
G50,toroidal,2,93002,1340457980,4096,1000,5880.0,5880.0,0.0,4,37,530.4539039999945
G50,toroidal,3,93003,1844690603,4096,1000,5880.0,5880.0,0.0,20,28,533.4311828330392
G50,toroidal,4,93004,1984021999,4096,1000,5880.0,5880.0,0.0,104,34,533.4857008749968
G18,planar,0,96200,242426521,4096,4000,992.0,992.0,0.0,3100,1,409.2498239999986
G18,planar,1,96201,802203678,4096,4000,992.0,992.0,0.0,624,1,412.3467207089998
G18,planar,2,96202,1192922777,4096,4000,992.0,990.0,2.0,256,0,412.0709542920231
G19,planar,0,96200,2585386813,4096,4000,906.0,906.0,0.0,1956,3,410.39923604100477
G19,planar,1,96201,1043142595,4096,4000,906.0,906.0,0.0,3128,2,409.91517700004624
G19,planar,2,96202,1507547149,4096,4000,906.0,906.0,0.0,634,2,409.6120227079955
G20,planar,0,93000,3965143105,4096,2000,941.0,940.0,1.0,26,0,361.9400195829803
G20,planar,1,93001,3539332445,4096,2000,941.0,941.0,0.0,2461,3,360.71385741600534
G20,planar,2,93002,461459020,4096,2000,941.0,940.0,1.0,28,0,373.07668420899427
G20,planar,3,93003,4042238966,4096,2000,941.0,941.0,0.0,3273,1,361.21134108299157
G20,planar,4,93004,1164649323,4096,2000,941.0,941.0,0.0,3989,1,363.02453029103344
G21,planar,0,96200,4151780881,4096,4000,931.0,931.0,0.0,1008,1,407.59298512502573
G21,planar,1,96201,527818180,4096,4000,931.0,931.0,0.0,3599,2,406.60767816595035
G21,planar,2,96202,1082231800,4096,4000,931.0,931.0,0.0,2235,2,405.8194684999762
G54,planar,0,96200,3339604113,2048,4000,3852.0,3847.0,5.0,1326,0,272.4392122919671
G54,planar,1,96201,2384728608,2048,4000,3852.0,3848.0,4.0,438,0,273.06291658303235
