graph,topology,vertices,edges,reference_cut,best_cut,gap,seed,replicas,steps,optimizer,learning_rate,runtime_sec,provenance
G1,random,800,19176,11624.0,11611.0,13.0,0,128,1000,Adam,0.01,19.6352481842041,older local Adam baseline; not Feng-tuned
G2,random,800,19176,11620.0,11610.0,10.0,0,128,1000,Adam,0.01,19.69439578056335,older local Adam baseline; not Feng-tuned
G3,random,800,19176,11622.0,11610.0,12.0,0,128,1000,Adam,0.01,19.681336164474487,older local Adam baseline; not Feng-tuned
G4,random,800,19176,11646.0,11637.0,9.0,0,128,1000,Adam,0.01,19.56220507621765,older local Adam baseline; not Feng-tuned
G5,random,800,19176,11631.0,11622.0,9.0,0,128,1000,Adam,0.01,19.961461067199707,older local Adam baseline; not Feng-tuned
G6,random,800,19176,2178.0,2173.0,5.0,0,128,1000,Adam,0.01,19.69116497039795,older local Adam baseline; not Feng-tuned
G7,random,800,19176,2006.0,1992.0,14.0,0,128,1000,Adam,0.01,20.118622064590458,older local Adam baseline; not Feng-tuned
G8,random,800,19176,2005.0,1991.0,14.0,0,128,1000,Adam,0.01,19.074840784072876,older local Adam baseline; not Feng-tuned
G9,random,800,19176,2054.0,2041.0,13.0,0,128,1000,Adam,0.01,19.802350759506226,older local Adam baseline; not Feng-tuned
G10,random,800,19176,2000.0,1992.0,8.0,0,128,1000,Adam,0.01,19.63355398178101,older local Adam baseline; not Feng-tuned
G11,toroidal,800,1600,564.0,556.0,8.0,0,128,1000,Adam,0.01,20.064666032791138,older local Adam baseline; not Feng-tuned
G12,toroidal,800,1600,556.0,550.0,6.0,0,128,1000,Adam,0.01,20.45124316215515,older local Adam baseline; not Feng-tuned
G13,toroidal,800,1600,582.0,580.0,2.0,0,128,1000,Adam,0.01,20.195319890975952,older local Adam baseline; not Feng-tuned
G14,planar,800,4694,3064.0,3040.0,24.0,0,128,1000,Adam,0.01,20.60724687576294,older local Adam baseline; not Feng-tuned
G15,planar,800,4661,3050.0,3025.0,25.0,0,128,1000,Adam,0.01,20.586703062057495,older local Adam baseline; not Feng-tuned
G16,planar,800,4672,3052.0,3027.0,25.0,0,128,1000,Adam,0.01,20.08324408531189,older local Adam baseline; not Feng-tuned
G17,planar,800,4667,3047.0,3021.0,26.0,0,128,1000,Adam,0.01,20.35320401191711,older local Adam baseline; not Feng-tuned
G18,planar,800,4694,992.0,978.0,14.0,0,128,1000,Adam,0.01,20.41397976875305,older local Adam baseline; not Feng-tuned
G19,planar,800,4661,906.0,876.0,30.0,0,128,1000,Adam,0.01,20.34040093421936,older local Adam baseline; not Feng-tuned
G20,planar,800,4672,941.0,930.0,11.0,0,128,1000,Adam,0.01,20.52715802192688,older local Adam baseline; not Feng-tuned
G21,planar,800,4667,931.0,915.0,16.0,0,128,1000,Adam,0.01,20.43918395042419,older local Adam baseline; not Feng-tuned
G22,random,2000,19990,13359.0,13312.0,47.0,0,128,1000,Adam,0.01,28.86885714530945,older local Adam baseline; not Feng-tuned
G23,random,2000,19990,13344.0,13303.0,41.0,0,128,1000,Adam,0.01,27.26209306716919,older local Adam baseline; not Feng-tuned
G24,random,2000,19990,13337.0,13290.0,47.0,0,128,1000,Adam,0.01,27.161593198776245,older local Adam baseline; not Feng-tuned
G25,random,2000,19990,13340.0,13284.0,56.0,0,128,1000,Adam,0.01,17.130321979522705,older local Adam baseline; not Feng-tuned
G26,random,2000,19990,13328.0,13270.0,58.0,0,128,1000,Adam,0.01,27.052540063858032,older local Adam baseline; not Feng-tuned
G27,random,2000,19990,3341.0,3310.0,31.0,0,128,1000,Adam,0.01,27.190324783325195,older local Adam baseline; not Feng-tuned
G28,random,2000,19990,3298.0,3275.0,23.0,0,128,1000,Adam,0.01,27.077625036239624,older local Adam baseline; not Feng-tuned
G29,random,2000,19990,3405.0,3351.0,54.0,0,128,1000,Adam,0.01,27.510255336761475,older local Adam baseline; not Feng-tuned
G30,random,2000,19990,3413.0,3367.0,46.0,0,128,1000,Adam,0.01,28.035531997680664,older local Adam baseline; not Feng-tuned
G31,random,2000,19990,3310.0,3282.0,28.0,0,128,1000,Adam,0.01,28.27771806716919,older local Adam baseline; not Feng-tuned
G32,toroidal,2000,4000,1410.0,1388.0,22.0,0,128,1000,Adam,0.01,27.570101976394653,older local Adam baseline; not Feng-tuned
G33,toroidal,2000,4000,1382.0,1364.0,18.0,0,128,1000,Adam,0.01,27.213099002838135,older local Adam baseline; not Feng-tuned
G34,toroidal,2000,4000,1384.0,1362.0,22.0,0,128,1000,Adam,0.01,170.75731921195984,older local Adam baseline; not Feng-tuned
G35,planar,2000,11778,7687.0,7612.0,75.0,0,128,1000,Adam,0.01,29.317037105560303,older local Adam baseline; not Feng-tuned
G36,planar,2000,11766,7680.0,7599.0,81.0,0,128,1000,Adam,0.01,29.132176876068115,older local Adam baseline; not Feng-tuned
G37,planar,2000,11785,7691.0,7619.0,72.0,0,128,1000,Adam,0.01,29.59231209754944,older local Adam baseline; not Feng-tuned
G38,planar,2000,11779,7688.0,7616.0,72.0,0,128,1000,Adam,0.01,29.74016523361206,older local Adam baseline; not Feng-tuned
G39,planar,2000,11778,2408.0,2336.0,72.0,0,128,1000,Adam,0.01,29.883690118789673,older local Adam baseline; not Feng-tuned
G40,planar,2000,11766,2400.0,2296.0,104.0,0,128,1000,Adam,0.01,29.288478136062626,older local Adam baseline; not Feng-tuned
G41,planar,2000,11785,2405.0,2289.0,116.0,0,128,1000,Adam,0.01,27.716141939163208,older local Adam baseline; not Feng-tuned
G42,planar,2000,11779,2481.0,2381.0,100.0,0,128,1000,Adam,0.01,27.405642986297607,older local Adam baseline; not Feng-tuned
G43,random,1000,9990,6660.0,6652.0,8.0,0,128,1000,Adam,0.01,21.302996397018433,older local Adam baseline; not Feng-tuned
G44,random,1000,9990,6650.0,6638.0,12.0,0,128,1000,Adam,0.01,959.3305201530457,older local Adam baseline; not Feng-tuned
G45,random,1000,9990,6654.0,6633.0,21.0,0,128,1000,Adam,0.01,22.633643627166748,older local Adam baseline; not Feng-tuned
G46,random,1000,9990,6649.0,6627.0,22.0,0,128,1000,Adam,0.01,22.939234256744385,older local Adam baseline; not Feng-tuned
G47,random,1000,9990,6657.0,6638.0,19.0,0,128,1000,Adam,0.01,22.38125681877136,older local Adam baseline; not Feng-tuned
G48,toroidal,3000,6000,6000.0,6000.0,0.0,0,128,1000,Adam,0.01,38.4353928565979,older local Adam baseline; not Feng-tuned
G49,toroidal,3000,6000,6000.0,6000.0,0.0,0,128,1000,Adam,0.01,35.40014123916626,older local Adam baseline; not Feng-tuned
G50,toroidal,3000,6000,5880.0,5852.0,28.0,0,128,1000,Adam,0.01,16.29841113090515,older local Adam baseline; not Feng-tuned
G51,planar,1000,5909,3848.0,3819.0,29.0,0,128,1000,Adam,0.01,21.42101287841797,older local Adam baseline; not Feng-tuned
G52,planar,1000,5916,3851.0,3825.0,26.0,0,128,1000,Adam,0.01,21.412781715393063,older local Adam baseline; not Feng-tuned
G53,planar,1000,5914,3850.0,3828.0,22.0,0,128,1000,Adam,0.01,20.958359003067017,older local Adam baseline; not Feng-tuned
G54,planar,1000,5916,3852.0,3820.0,32.0,0,128,1000,Adam,0.01,21.49652671813965,older local Adam baseline; not Feng-tuned
