graph,plan_job,plan_source,steps,replicas,seeds,optimizer,learning_rate,momentum,weight_decay,gradient_mode,temperature_schedule,gamma_schedule
G1,G1_evaluate0,target_attainment/evaluate,2000,4096,93000;93001;93002;93003;93004,sgd,7.5,0.95,0.01,autograd,lin,lin
G2,G2_evaluate0,target_attainment/evaluate,2000,4096,93000;93001;93002;93003;93004,sgd,7.0,0.95,0.01,autograd,lin,lin
G3,G3_evaluate0,target_attainment/evaluate,2000,4096,93000;93001;93002;93003;93004,sgd,8.0,0.95,0.01,autograd,lin,lin
G4,G4_evaluate0,target_attainment/evaluate,2000,4096,93000;93001;93002;93003;93004,sgd,6.0,0.95,0.01,autograd,lin,lin
G5,G5_evaluate0,target_attainment/evaluate,2000,4096,93000;93001;93002;93003;93004,sgd,7.5,0.95,0.01,autograd,lin,lin
G6,G6_evaluate0,target_attainment/evaluate,2000,4096,93000;93001;93002;93003;93004,sgd,7.0,0.95,0.01,autograd,lin,lin
G7,G7_evaluate0,target_attainment/evaluate,2000,4096,93000;93001;93002;93003;93004,sgd,8.0,0.95,0.01,autograd,lin,lin
G8,G8_evaluate0,target_attainment/evaluate,1000,4096,93000;93001;93002;93003;93004,rmsprop,0.1,0.63,0.013,autograd,lin,lin
G9,G9_evaluate0,target_attainment/evaluate,2000,4096,93000;93001;93002;93003;93004,sgd,7.5,0.95,0.01,autograd,lin,lin
G11,G11_evaluate0,target_attainment/evaluate,8000,4096,93000;93001;93002;93003;93004,sgd,8.0,0.95,0.01,autograd,lin,lin
G14,G14_from_G14,remaining_discrete/evaluation,8000,4096,96200;96201;96202,sgd,2.332346791931301,0.95,0.01,manual_discrete,lin,lin
G15,G15_from_G35,remaining_discrete/evaluation,8000,4096,96200;96201;96202,sgd,2.0,0.95,0.01,manual_discrete,lin,lin
G16,G16_hard_low,remaining_discrete/evaluation,8000,4096,96200;96201;96202,sgd,0.5,0.95,0.01,manual_discrete,lin,lin
G17,G17_refine01,remaining_discrete/refine01.json,8000,128,96000;96001,sgd,0.038968347245579016,0.95,0.01,manual_discrete,lin,lin
G22,G22_from_G35,remaining_discrete/evaluation,4000,4096,96200;96201;96202,sgd,2.0,0.95,0.01,manual_discrete,lin,lin
G23,G23_refine02,remaining_discrete/evaluation,4000,4096,96200;96201;96202,sgd,5.52080090985911,0.95,0.01,manual_discrete,lin,lin
G26,G26_incumbent_exact,remaining_discrete/evaluation,4000,4096,96200;96201;96202,sgd,7.0,0.95,0.01,manual_exact,lin,lin
G27,G27_evaluate0,target_attainment/evaluate,2000,4096,93000;93001;93002;93003;93004,sgd,7.0,0.95,0.01,autograd,lin,lin
G28,G28_incumbent_exact,remaining_discrete/promotion_G28.json,4000,1024,96100;96101,sgd,7.0,0.95,0.01,manual_exact,lin,lin
G29,G29_hard_small,remaining_discrete/evaluation,4000,4096,96200;96201;96202,sgd,0.125,0.95,0.01,manual_discrete,lin,lin
G30,G30_refine01,remaining_discrete/evaluation,4000,4096,96200;96201;96202,sgd,4.278706067002614,0.95,0.01,manual_discrete,lin,lin
G31,G31_incumbent_exact,remaining_discrete/evaluation,4000,4096,96200;96201;96202,sgd,7.0,0.95,0.01,manual_exact,lin,lin
G32,G32_refine05,remaining_discrete/evaluation,4000,2048,96200;96201,sgd,1.5288266981730314,0.95,0.01,manual_discrete,lin,lin
G33,G33_refine04,remaining_discrete/evaluation,4000,2048,96200;96201,sgd,2.203846404133162,0.95,0.01,manual_discrete,lin,lin
G34,G34_refine03,remaining_discrete/evaluation,4000,2048,96200;96201,sgd,1.4097175702885698,0.95,0.01,manual_discrete,lin,lin
G35,G35_refine01,remaining_discrete/evaluation,8000,2048,96200;96201,sgd,1.2555905893850472,0.95,0.01,manual_discrete,lin,lin
G36,G36_hard_low,remaining_discrete/evaluation,8000,2048,96200;96201,sgd,0.5,0.95,0.01,manual_discrete,lin,lin
G37,G37_from_G35,remaining_discrete/evaluation,8000,2048,96200;96201,sgd,2.0,0.95,0.01,manual_discrete,lin,lin
G38,G38_ramp_middle,remaining_discrete/evaluation,8000,2048,96200;96201,sgd,2.0,0.95,0.01,manual_discrete,lin,lin
G39,G39_refine02,remaining_discrete/evaluation,8000,2048,96200;96201,sgd,1.991953955353593,0.95,0.01,manual_discrete,lin,lin
G40,G40_refine03,remaining_discrete/evaluation,8000,4096,96200;96201;96202,sgd,0.036696638275483716,0.95,0.01,manual_discrete,lin,lin
G41,G41_refine03,remaining_discrete/evaluation,8000,2048,96200;96201,sgd,1.1861356503440184,0.95,0.01,manual_discrete,lin,lin
G42,G42_refine01,remaining_discrete/evaluation,8000,2048,96200;96201,sgd,0.20746949632771877,0.95,0.01,manual_discrete,lin,lin
G43,G43_evaluate0,target_attainment/evaluate,2000,4096,93000;93001;93002;93003;93004,sgd,7.0,0.95,0.01,autograd,lin,lin
G44,G44_evaluate0,target_attainment/evaluate,2000,4096,93000;93001;93002;93003;93004,sgd,8.0,0.95,0.01,autograd,lin,lin
G45,G45_evaluate0,target_attainment/evaluate,2000,4096,93000;93001;93002;93003;93004,sgd,7.0,0.95,0.01,autograd,lin,lin
G51,G51_refine05,remaining_discrete/evaluation,4000,4096,96200;96201;96202,sgd,0.4543715420233949,0.95,0.01,manual_discrete,lin,lin
G52,G52_refine00,remaining_discrete/evaluation,4000,2048,96200;96201,sgd,1.3353596819925662,0.95,0.01,manual_discrete,lin,lin
G53,G53_from_G14,remaining_discrete/evaluation,4000,2048,96200;96201,sgd,2.332346791931301,0.95,0.01,manual_discrete,lin,lin
