method,trial,seed,energy,cut,gap,relative_error,ground_hit,target_hit,best_replica,runtime_sec,replicas
qefem,0,3371835386,-67550.0,33255.0,82.0,,,False,18,14.319147916976362,128.0
qefem,1,3700479728,-67540.0,33250.0,87.0,,,False,93,14.420219374995213,128.0
qefem,2,1934420243,-67540.0,33250.0,87.0,,,False,20,11.686070458003087,128.0
qefem,3,716463040,-67540.0,33250.0,87.0,,,False,81,11.159247707983013,128.0
qefem,4,424211264,-67550.0,33255.0,82.0,,,False,11,11.471273167000618,128.0
qefem,0,3371835386,-67550.0,33255.0,82.0,,,False,18,43.58964791701874,512.0
qefem,1,3700479728,-67546.0,33253.0,84.0,,,False,304,54.38191483300761,512.0
qefem,2,1934420243,-67550.0,33255.0,82.0,,,False,316,51.07140429201536,512.0
qefem,3,716463040,-67550.0,33255.0,82.0,,,False,465,53.042823750001844,512.0
qefem,4,424211264,-67550.0,33255.0,82.0,,,False,11,50.6231375419884,512.0
qefem,0,3371835386,-67550.0,33255.0,82.0,,,False,18,104.90175883399206,1024.0
qefem,1,3700479728,-67546.0,33253.0,84.0,,,False,304,106.26265237500775,1024.0
qefem,2,1934420243,-67574.0,33267.0,70.0,,,False,802,107.51646700000856,1024.0
qefem,3,716463040,-67588.0,33274.0,63.0,,,False,716,109.14625545899617,1024.0
qefem,4,424211264,-67550.0,33255.0,82.0,,,False,11,105.27668162499322,1024.0
qefem,0,3371835386,-67550.0,33255.0,82.0,,,False,18,185.3953720839927,2048.0
qefem,1,3700479728,-67588.0,33274.0,63.0,,,False,1645,184.15501170800417,2048.0
qefem,2,1934420243,-67574.0,33267.0,70.0,,,False,802,184.82621800000197,2048.0
qefem,3,716463040,-67626.0,33293.0,44.0,,,False,1128,185.04350283299573,2048.0
qefem,4,424211264,-67588.0,33274.0,63.0,,,False,1538,184.7086167499947,2048.0
qefem,0,3371835386,-67588.0,33274.0,63.0,,,False,2585,366.9873158750124,4096.0
qefem,1,3700479728,-67588.0,33274.0,63.0,,,False,1645,364.9303025410045,4096.0
qefem,2,1934420243,-67588.0,33274.0,63.0,,,False,3468,362.84756137500517,4096.0
qefem,3,716463040,-67626.0,33293.0,44.0,,,False,1128,363.8657927919994,4096.0
qefem,4,424211264,-67588.0,33274.0,63.0,,,False,1538,364.17621500001405,4096.0
qefem,0,3371835386,-67588.0,33274.0,63.0,,,False,2585,717.833224416012,8192.0
qefem,1,3700479728,-67588.0,33274.0,63.0,,,False,1645,718.7609562079888,8192.0
qefem,2,1934420243,-67588.0,33274.0,63.0,,,False,3468,682.9162182080036,8192.0
qefem,3,716463040,-67626.0,33293.0,44.0,,,False,1128,659.5910033329856,8192.0
qefem,4,424211264,-67622.0,33291.0,46.0,,,False,4853,660.4130236249766,8192.0
lqa,0,3371835386,-67538.0,33249.0,88.0,,,False,0,2.8994480830151588,
lqa,1,3700479728,-67538.0,33249.0,88.0,,,False,0,2.8347060829983093,
lqa,2,1934420243,-67538.0,33249.0,88.0,,,False,0,2.8175575000059325,
lqa,3,716463040,-67538.0,33249.0,88.0,,,False,0,2.7937912089983,
lqa,4,424211264,-67538.0,33249.0,88.0,,,False,0,2.8256385419808794,
