step,discrete_cut,gap,entropy
0,-456.0,33793.0,
1,-456.0,33793.0,
2,-456.0,33793.0,
3,-456.0,33793.0,
4,-456.0,33793.0,
5,-456.0,33793.0,
6,-1536.0,34873.0,
7,-456.0,33793.0,
8,-456.0,33793.0,
9,-456.0,33793.0,
10,8191.0,25146.0,
11,-456.0,33793.0,
12,-456.0,33793.0,
13,-456.0,33793.0,
14,-456.0,33793.0,
15,-456.0,33793.0,
16,-456.0,33793.0,
17,-456.0,33793.0,
18,-456.0,33793.0,
19,-1754.0,35091.0,
20,-456.0,33793.0,
21,-456.0,33793.0,
22,-456.0,33793.0,
23,941.0,32396.0,
24,-456.0,33793.0,
25,-456.0,33793.0,
26,-456.0,33793.0,
27,3670.0,29667.0,
28,-4200.0,37537.0,
29,-456.0,33793.0,
30,-456.0,33793.0,
31,4698.0,28639.0,
32,-4241.0,37578.0,
33,-456.0,33793.0,
34,-456.0,33793.0,
35,4136.0,29201.0,
36,-4127.0,37464.0,
37,-456.0,33793.0,
38,-456.0,33793.0,
39,3359.0,29978.0,
40,-4582.0,37919.0,
41,-799.0,34136.0,
42,-168.0,33505.0,
43,1679.0,31658.0,
44,-5085.0,38422.0,
45,-799.0,34136.0,
46,3788.0,29549.0,
47,-951.0,34288.0,
48,-5785.0,39122.0,
49,-591.0,33928.0,
50,3708.0,29629.0,
51,-3162.0,36499.0,
52,-5317.0,38654.0,
53,1281.0,32056.0,
54,1372.0,31965.0,
55,-4481.0,37818.0,
56,-3896.0,37233.0,
57,2859.0,30478.0,
58,-979.0,34316.0,
59,-4996.0,38333.0,
60,-528.0,33865.0,
61,220.0,33117.0,
62,-2456.0,35793.0,
63,-2558.0,35895.0,
64,536.0,32801.0,
65,-782.0,34119.0,
66,-2160.0,35497.0,
67,-888.0,34225.0,
68,-1132.0,34469.0,
69,-101.0,33438.0,
70,-430.0,33767.0,
71,-2028.0,35365.0,
72,-803.0,34140.0,
73,570.0,32767.0,
74,-1406.0,34743.0,
75,-1252.0,34589.0,
76,1576.0,31761.0,
77,-6.0,33343.0,
78,-2146.0,35483.0,
79,1027.0,32310.0,
80,1063.0,32274.0,
81,-1954.0,35291.0,
82,-111.0,33448.0,
83,1378.0,31959.0,
84,-728.0,34065.0,
85,-906.0,34243.0,
86,1410.0,31927.0,
87,552.0,32785.0,
88,-698.0,34035.0,
89,990.0,32347.0,
90,1508.0,31829.0,
91,442.0,32895.0,
92,470.0,32867.0,
93,1368.0,31969.0,
94,1141.0,32196.0,
95,284.0,33053.0,
96,891.0,32446.0,
97,1876.0,31461.0,
98,473.0,32864.0,
99,-63.0,33400.0,
100,1511.0,31826.0,
101,492.0,32845.0,
102,106.0,33231.0,
103,597.0,32740.0,
104,1437.0,31900.0,
105,645.0,32692.0,
106,182.0,33155.0,
107,1272.0,32065.0,
108,619.0,32718.0,
109,176.0,33161.0,
110,1066.0,32271.0,
111,1264.0,32073.0,
112,291.0,33046.0,
113,1074.0,32263.0,
114,1146.0,32191.0,
115,347.0,32990.0,
116,582.0,32755.0,
117,1065.0,32272.0,
118,801.0,32536.0,
119,1203.0,32134.0,
120,597.0,32740.0,
121,1157.0,32180.0,
122,1110.0,32227.0,
123,748.0,32589.0,
124,898.0,32439.0,
125,786.0,32551.0,
126,61.0,33276.0,
127,584.0,32753.0,
128,687.0,32650.0,
129,-214.0,33551.0,
130,1267.0,32070.0,
131,1115.0,32222.0,
132,184.0,33153.0,
133,1563.0,31774.0,
134,378.0,32959.0,
135,-52.0,33389.0,
136,1384.0,31953.0,
137,60.0,33277.0,
138,894.0,32443.0,
139,1734.0,31603.0,
140,321.0,33016.0,
141,1434.0,31903.0,
142,988.0,32349.0,
143,712.0,32625.0,
144,1264.0,32073.0,
145,1096.0,32241.0,
146,572.0,32765.0,
147,798.0,32539.0,
148,827.0,32510.0,
149,874.0,32463.0,
150,696.0,32641.0,
151,1521.0,31816.0,
152,22.0,33315.0,
153,970.0,32367.0,
154,259.0,33078.0,
155,297.0,33040.0,
156,531.0,32806.0,
157,634.0,32703.0,
158,563.0,32774.0,
159,634.0,32703.0,
160,1106.0,32231.0,
161,-243.0,33580.0,
162,540.0,32797.0,
163,82.0,33255.0,
164,-181.0,33518.0,
165,861.0,32476.0,
166,196.0,33141.0,
167,844.0,32493.0,
168,188.0,33149.0,
169,-93.0,33430.0,
170,992.0,32345.0,
171,809.0,32528.0,
172,1063.0,32274.0,
173,316.0,33021.0,
174,962.0,32375.0,
175,750.0,32587.0,
176,353.0,32984.0,
177,1100.0,32237.0,
178,-222.0,33559.0,
179,592.0,32745.0,
180,1634.0,31703.0,
181,-329.0,33666.0,
182,512.0,32825.0,
183,1846.0,31491.0,
184,1163.0,32174.0,
185,1503.0,31834.0,
186,1641.0,31696.0,
187,630.0,32707.0,
188,1119.0,32218.0,
189,1672.0,31665.0,
190,437.0,32900.0,
191,1487.0,31850.0,
192,1201.0,32136.0,
193,-387.0,33724.0,
194,1385.0,31952.0,
195,821.0,32516.0,
196,418.0,32919.0,
197,1141.0,32196.0,
198,1880.0,31457.0,
199,1014.0,32323.0,
200,1494.0,31843.0,
201,355.0,32982.0,
202,1041.0,32296.0,
203,584.0,32753.0,
204,1070.0,32267.0,
205,1505.0,31832.0,
206,223.0,33114.0,
207,859.0,32478.0,
208,1858.0,31479.0,
209,533.0,32804.0,
210,540.0,32797.0,
211,1456.0,31881.0,
212,530.0,32807.0,
213,478.0,32859.0,
214,1406.0,31931.0,
215,343.0,32994.0,
216,581.0,32756.0,
217,960.0,32377.0,
218,788.0,32549.0,
219,917.0,32420.0,
220,1936.0,31401.0,
221,1497.0,31840.0,
222,1321.0,32016.0,
223,1279.0,32058.0,
224,1718.0,31619.0,
225,1526.0,31811.0,
226,890.0,32447.0,
227,774.0,32563.0,
228,1437.0,31900.0,
229,-218.0,33555.0,
230,329.0,33008.0,
231,1143.0,32194.0,
232,545.0,32792.0,
233,690.0,32647.0,
234,890.0,32447.0,
235,75.0,33262.0,
236,838.0,32499.0,
237,1121.0,32216.0,
238,-80.0,33417.0,
239,524.0,32813.0,
240,1221.0,32116.0,
241,-456.0,33793.0,
242,496.0,32841.0,
243,810.0,32527.0,
244,1574.0,31763.0,
245,445.0,32892.0,
246,938.0,32399.0,
247,1474.0,31863.0,
248,648.0,32689.0,
249,1088.0,32249.0,
250,2268.0,31069.0,
251,567.0,32770.0,
252,1876.0,31461.0,
253,2146.0,31191.0,
254,800.0,32537.0,
255,434.0,32903.0,
256,1578.0,31759.0,
257,1343.0,31994.0,
258,913.0,32424.0,
259,704.0,32633.0,
260,2059.0,31278.0,
261,-19.0,33356.0,
262,1090.0,32247.0,
263,-124.0,33461.0,
264,1079.0,32258.0,
265,628.0,32709.0,
266,2083.0,31254.0,
267,1192.0,32145.0,
268,867.0,32470.0,
269,1086.0,32251.0,
270,743.0,32594.0,
271,1259.0,32078.0,
272,1768.0,31569.0,
273,359.0,32978.0,
274,1301.0,32036.0,
