step,discrete_cut,gap,entropy
0,-10.0,33347.0,1366.136474609375
1,-10139.0,43476.0,1305.64453125
2,-11500.0,44837.0,1101.72509765625
3,15215.0,18122.0,815.81396484375
4,7834.0,25503.0,552.112060546875
5,7267.0,26070.0,369.7711181640625
6,12635.0,20702.0,255.49415588378906
7,18115.0,15222.0,183.9156494140625
8,20667.0,12670.0,137.8146514892578
9,21267.0,12070.0,107.20634460449219
10,21932.0,11405.0,86.35723876953125
11,22610.0,10727.0,71.87519836425781
12,22345.0,10992.0,61.68030548095703
13,22904.0,10433.0,54.46139907836914
14,23707.0,9630.0,49.38072204589844
15,24140.0,9197.0,45.905189514160156
16,24603.0,8734.0,43.703704833984375
17,24868.0,8469.0,42.581298828125
18,25169.0,8168.0,42.43402099609375
19,25605.0,7732.0,43.21659469604492
20,25881.0,7456.0,44.921329498291016
21,25983.0,7354.0,47.56943893432617
22,26437.0,6900.0,51.20778274536133
23,26676.0,6661.0,55.89813995361328
24,27124.0,6213.0,61.721534729003906
25,27392.0,5945.0,68.78787994384766
26,27736.0,5601.0,77.20642852783203
27,28172.0,5165.0,87.05406188964844
28,28478.0,4859.0,98.37660217285156
29,28748.0,4589.0,111.2008285522461
30,28979.0,4358.0,125.49703979492188
31,29110.0,4227.0,141.12509155273438
32,29406.0,3931.0,157.9510955810547
33,29663.0,3674.0,175.9773406982422
34,29847.0,3490.0,195.1649932861328
35,30050.0,3287.0,215.2535858154297
36,30111.0,3226.0,235.89620971679688
37,30357.0,2980.0,256.8258361816406
38,30403.0,2934.0,277.84808349609375
39,30380.0,2957.0,298.75634765625
40,30476.0,2861.0,319.3654479980469
41,30539.0,2798.0,339.2989501953125
42,30567.0,2770.0,357.8800354003906
43,30703.0,2634.0,374.5675964355469
44,30630.0,2707.0,389.2490234375
45,30675.0,2662.0,402.1524353027344
46,30656.0,2681.0,413.50384521484375
47,30754.0,2583.0,423.38592529296875
48,30661.0,2676.0,431.68328857421875
49,30700.0,2637.0,438.29364013671875
50,30494.0,2843.0,443.24639892578125
51,30600.0,2737.0,446.71240234375
52,30761.0,2576.0,448.9193420410156
53,30740.0,2597.0,450.0200500488281
54,30754.0,2583.0,450.0330810546875
55,30884.0,2453.0,449.0295104980469
56,30925.0,2412.0,447.3501281738281
57,30950.0,2387.0,445.48577880859375
58,30991.0,2346.0,443.7457580566406
59,30992.0,2345.0,442.2191162109375
60,31189.0,2148.0,440.9422912597656
61,31348.0,1989.0,439.97930908203125
62,31366.0,1971.0,439.42010498046875
63,31310.0,2027.0,439.3145751953125
64,31357.0,1980.0,439.6021423339844
65,31485.0,1852.0,440.16864013671875
66,31605.0,1732.0,440.9649658203125
67,31581.0,1756.0,442.08148193359375
68,31528.0,1809.0,443.6010437011719
69,31543.0,1794.0,445.4710998535156
70,31531.0,1806.0,447.537109375
71,31487.0,1850.0,449.641845703125
72,31508.0,1829.0,451.6712341308594
73,31509.0,1828.0,453.510498046875
74,31532.0,1805.0,455.04949951171875
75,31628.0,1709.0,456.245361328125
76,31637.0,1700.0,457.08050537109375
77,31603.0,1734.0,457.5244445800781
78,31574.0,1763.0,457.5772399902344
79,31679.0,1658.0,457.3128662109375
80,31711.0,1626.0,456.85272216796875
81,31801.0,1536.0,456.3203125
82,31766.0,1571.0,455.777099609375
83,31699.0,1638.0,455.23919677734375
84,31713.0,1624.0,454.70361328125
85,31716.0,1621.0,454.2029113769531
86,31788.0,1549.0,453.7783203125
87,31755.0,1582.0,453.44464111328125
88,31730.0,1607.0,453.1773376464844
89,31754.0,1583.0,452.9578857421875
90,31821.0,1516.0,452.7857666015625
91,31856.0,1481.0,452.6422424316406
92,31900.0,1437.0,452.4880676269531
93,31965.0,1372.0,452.2844543457031
94,31934.0,1403.0,452.00946044921875
95,31980.0,1357.0,451.6608581542969
96,31987.0,1350.0,451.26031494140625
97,32021.0,1316.0,450.8509216308594
98,32081.0,1256.0,450.4654846191406
99,32065.0,1272.0,450.1432800292969
100,32097.0,1240.0,449.9129333496094
101,32045.0,1292.0,449.7933044433594
102,32041.0,1296.0,449.78204345703125
103,32012.0,1325.0,449.8283996582031
104,32017.0,1320.0,449.87060546875
105,32009.0,1328.0,449.85693359375
106,32033.0,1304.0,449.77105712890625
107,31963.0,1374.0,449.624755859375
108,31946.0,1391.0,449.413818359375
109,31948.0,1389.0,449.1248474121094
110,32011.0,1326.0,448.73858642578125
111,32042.0,1295.0,448.2606201171875
112,32012.0,1325.0,447.73187255859375
113,32023.0,1314.0,447.1782531738281
114,32014.0,1323.0,446.6181335449219
115,32037.0,1300.0,446.07958984375
116,32045.0,1292.0,445.6041564941406
117,32055.0,1282.0,445.21112060546875
118,32061.0,1276.0,444.87091064453125
119,32119.0,1218.0,444.557861328125
120,32111.0,1226.0,444.2616882324219
121,32071.0,1266.0,443.97186279296875
122,32128.0,1209.0,443.67291259765625
123,32120.0,1217.0,443.3398742675781
124,32188.0,1149.0,442.95989990234375
125,32202.0,1135.0,442.52386474609375
126,32334.0,1003.0,442.034423828125
127,32341.0,996.0,441.50836181640625
128,32301.0,1036.0,440.96954345703125
129,32288.0,1049.0,440.4388427734375
130,32305.0,1032.0,439.9144592285156
131,32304.0,1033.0,439.39501953125
132,32280.0,1057.0,438.88238525390625
133,32319.0,1018.0,438.3904113769531
134,32319.0,1018.0,437.94287109375
135,32304.0,1033.0,437.5416259765625
136,32339.0,998.0,437.18780517578125
137,32373.0,964.0,436.8626403808594
138,32392.0,945.0,436.57318115234375
139,32392.0,945.0,436.30926513671875
140,32392.0,945.0,436.0746154785156
141,32387.0,950.0,435.8486022949219
142,32394.0,943.0,435.6272888183594
143,32422.0,915.0,435.3839416503906
144,32429.0,908.0,435.12432861328125
145,32388.0,949.0,434.8316955566406
146,32383.0,954.0,434.52496337890625
147,32339.0,998.0,434.2108459472656
148,32339.0,998.0,433.8899841308594
149,32358.0,979.0,433.56890869140625
150,32337.0,1000.0,433.23785400390625
151,32314.0,1023.0,432.908935546875
152,32312.0,1025.0,432.5705871582031
153,32287.0,1050.0,432.2252197265625
154,32310.0,1027.0,431.8655090332031
155,32309.0,1028.0,431.492431640625
156,32329.0,1008.0,431.116943359375
157,32380.0,957.0,430.737548828125
158,32405.0,932.0,430.3667907714844
159,32437.0,900.0,429.9853515625
160,32437.0,900.0,429.61529541015625
161,32450.0,887.0,429.23968505859375
162,32469.0,868.0,428.8734130859375
163,32454.0,883.0,428.49932861328125
164,32450.0,887.0,428.1274108886719
165,32450.0,887.0,427.7495422363281
166,32410.0,927.0,427.3727722167969
167,32447.0,890.0,426.99212646484375
168,32447.0,890.0,426.6144714355469
169,32455.0,882.0,426.22247314453125
170,32473.0,864.0,425.8307800292969
171,32464.0,873.0,425.4228210449219
172,32457.0,880.0,425.02496337890625
173,32462.0,875.0,424.5969543457031
174,32472.0,865.0,424.19781494140625
175,32472.0,865.0,423.75537109375
176,32493.0,844.0,423.35308837890625
177,32524.0,813.0,422.92852783203125
178,32512.0,825.0,422.5107727050781
179,32512.0,825.0,422.1055908203125
180,32498.0,839.0,421.680419921875
181,32537.0,800.0,421.2772521972656
182,32576.0,761.0,420.86126708984375
183,32561.0,776.0,420.44244384765625
184,32556.0,781.0,420.036376953125
185,32573.0,764.0,419.6103515625
186,32566.0,771.0,419.1976318359375
187,32555.0,782.0,418.7730712890625
188,32570.0,767.0,418.36053466796875
189,32565.0,772.0,417.92340087890625
190,32583.0,754.0,417.5306396484375
191,32583.0,754.0,417.0784606933594
192,32593.0,744.0,416.6948547363281
193,32637.0,700.0,416.2527160644531
194,32653.0,684.0,415.85687255859375
195,32653.0,684.0,415.4390563964844
196,32656.0,681.0,415.0281066894531
197,32644.0,693.0,414.6393737792969
198,32643.0,694.0,414.2243347167969
199,32662.0,675.0,413.85272216796875
200,32657.0,680.0,413.44158935546875
201,32657.0,680.0,413.06744384765625
202,32657.0,680.0,412.6671447753906
203,32657.0,680.0,412.2889404296875
204,32642.0,695.0,411.9019775390625
205,32631.0,706.0,411.5287780761719
206,32625.0,712.0,411.15142822265625
207,32625.0,712.0,410.78997802734375
208,32598.0,739.0,410.40972900390625
209,32612.0,725.0,410.0697937011719
210,32609.0,728.0,409.673095703125
211,32612.0,725.0,409.35614013671875
212,32612.0,725.0,408.9471435546875
213,32612.0,725.0,408.62646484375
214,32613.0,724.0,408.24560546875
215,32612.0,725.0,407.8828430175781
216,32610.0,727.0,407.544921875
217,32612.0,725.0,407.14117431640625
218,32620.0,717.0,406.83306884765625
219,32623.0,714.0,406.42413330078125
220,32620.0,717.0,406.1014404296875
221,32620.0,717.0,405.7213134765625
222,32620.0,717.0,405.36077880859375
223,32635.0,702.0,405.00518798828125
224,32620.0,717.0,404.6209716796875
225,32635.0,702.0,404.2679138183594
226,32620.0,717.0,403.89727783203125
227,32635.0,702.0,403.5293884277344
228,32650.0,687.0,403.1764831542969
229,32684.0,653.0,402.7952880859375
230,32650.0,687.0,402.4293518066406
231,32684.0,653.0,402.07867431640625
232,32673.0,664.0,401.67047119140625
233,32684.0,653.0,401.344970703125
234,32684.0,653.0,400.923583984375
235,32684.0,653.0,400.597412109375
236,32684.0,653.0,400.1971130371094
237,32684.0,653.0,399.8418273925781
238,32684.0,653.0,399.4745788574219
239,32684.0,653.0,399.10150146484375
240,32685.0,652.0,398.73114013671875
241,32684.0,653.0,398.35650634765625
242,32685.0,652.0,397.98724365234375
243,32681.0,656.0,397.6051940917969
244,32685.0,652.0,397.24615478515625
245,32685.0,652.0,396.8607177734375
246,32684.0,653.0,396.5205078125
247,32680.0,657.0,396.088623046875
248,32679.0,658.0,395.79693603515625
249,32682.0,655.0,395.2926025390625
250,32692.0,645.0,395.0372314453125
251,32673.0,664.0,394.554443359375
252,32692.0,645.0,394.21087646484375
253,32688.0,649.0,393.862548828125
