step,discrete_cut,gap,entropy
0,-328.0,33665.0,1366.8572998046875
1,-10899.0,44236.0,1305.2119140625
2,-12069.0,45406.0,1101.8017578125
3,15225.0,18112.0,816.0328979492188
4,7648.0,25689.0,552.019775390625
5,6863.0,26474.0,369.3868408203125
6,12827.0,20510.0,254.87059020996097
7,18102.0,15235.0,183.0860137939453
8,20883.0,12454.0,136.8053436279297
9,22301.0,11036.0,106.04959869384766
10,23514.0,9823.0,85.08857727050781
11,23851.0,9486.0,70.52566528320312
12,24131.0,9206.0,60.269569396972656
13,24554.0,8783.0,52.99330520629883
14,25167.0,8170.0,47.840572357177734
15,25491.0,7846.0,44.258697509765625
16,26039.0,7298.0,41.89863204956055
17,26313.0,7024.0,40.552337646484375
18,26545.0,6792.0,40.111427307128906
19,26783.0,6554.0,40.53902053833008
20,26881.0,6456.0,41.85620880126953
21,27057.0,6280.0,44.141841888427734
22,27445.0,5892.0,47.52195739746094
23,27571.0,5766.0,52.13369369506836
24,27694.0,5643.0,58.090579986572266
25,27841.0,5496.0,65.47367858886719
26,28158.0,5179.0,74.34835815429688
27,28364.0,4973.0,84.79132843017578
28,28592.0,4745.0,96.87611389160156
29,28733.0,4604.0,110.64866638183594
30,28681.0,4656.0,126.14260864257812
31,28852.0,4485.0,143.34519958496094
32,29049.0,4288.0,162.15472412109375
33,29262.0,4075.0,182.4382171630859
34,29434.0,3903.0,204.11395263671875
35,29499.0,3838.0,227.05960083007812
36,29570.0,3767.0,250.88731384277344
37,29612.0,3725.0,274.95440673828125
38,29836.0,3501.0,298.6222839355469
39,29957.0,3380.0,321.336669921875
40,30018.0,3319.0,342.55914306640625
41,29890.0,3447.0,361.9360656738281
42,29977.0,3360.0,379.3887939453125
43,30012.0,3325.0,395.0087890625
44,30020.0,3317.0,408.8885498046875
45,30163.0,3174.0,420.9464111328125
46,30254.0,3083.0,431.1651916503906
47,30194.0,3143.0,439.72015380859375
48,30351.0,2986.0,446.85400390625
49,30502.0,2835.0,452.588623046875
50,30489.0,2848.0,456.7330017089844
51,30584.0,2753.0,459.30560302734375
52,30689.0,2648.0,460.620361328125
53,30584.0,2753.0,461.05718994140625
54,30677.0,2660.0,460.9162292480469
55,30524.0,2813.0,460.4234619140625
56,30551.0,2786.0,459.7845458984375
57,30603.0,2734.0,459.1653442382813
58,30588.0,2749.0,458.6262512207031
59,30555.0,2782.0,458.1500244140625
60,30508.0,2829.0,457.76416015625
61,30561.0,2776.0,457.5685424804687
62,30476.0,2861.0,457.60601806640625
63,30492.0,2845.0,457.79840087890625
64,30581.0,2756.0,458.04107666015625
65,30710.0,2627.0,458.2646484375
66,30832.0,2505.0,458.4559631347656
67,31105.0,2232.0,458.675048828125
68,31268.0,2069.0,458.972900390625
69,31261.0,2076.0,459.32513427734375
70,31224.0,2113.0,459.66900634765625
71,31291.0,2046.0,459.9454345703125
72,31266.0,2071.0,460.1127624511719
73,31311.0,2026.0,460.1764221191406
74,31366.0,1971.0,460.1959533691406
75,31360.0,1977.0,460.2431640625
76,31311.0,2026.0,460.3620300292969
77,31248.0,2089.0,460.5626220703125
78,31181.0,2156.0,460.8414306640625
79,31171.0,2166.0,461.184326171875
80,31200.0,2137.0,461.56304931640625
81,31319.0,2018.0,461.9221801757813
82,31383.0,1954.0,462.1925048828125
83,31484.0,1853.0,462.3238525390625
84,31505.0,1832.0,462.2953186035156
85,31504.0,1833.0,462.0948791503906
86,31532.0,1805.0,461.7021484375
87,31499.0,1838.0,461.1329956054687
88,31365.0,1972.0,460.469970703125
89,31293.0,2044.0,459.8131408691406
90,31406.0,1931.0,459.2133483886719
91,31445.0,1892.0,458.6676940917969
92,31486.0,1851.0,458.1619873046875
93,31459.0,1878.0,457.686279296875
94,31443.0,1894.0,457.2268676757813
95,31509.0,1828.0,456.7733154296875
96,31557.0,1780.0,456.3336791992187
97,31619.0,1718.0,455.9261169433594
98,31642.0,1695.0,455.53558349609375
99,31645.0,1692.0,455.10205078125
100,31638.0,1699.0,454.57672119140625
101,31703.0,1634.0,453.9715881347656
102,31726.0,1611.0,453.3269348144531
103,31712.0,1625.0,452.676025390625
104,31778.0,1559.0,452.0439453125
105,31829.0,1508.0,451.4361877441406
