method,trial,seed,energy,cut,gap,relative_error,ground_hit,target_hit,best_replica,runtime_sec
qefem,0,319434431,-96.73116574022349,,3.7374073793748863,0.03719976569116648,False,,3386,77.76010174999828
lqa,0,319434431,-95.64156502393854,,4.827008095659835,0.048044955211155795,False,,0,0.10698629199760035
qefem,1,4186663100,-96.7069694403313,,3.7616036792670684,0.037440600204297056,False,,5574,77.5387067499978
lqa,1,4186663100,-95.25209389494204,,5.216479224656339,0.05192150204469025,False,,0,0.10630687497905456
qefem,2,880668454,-96.97820305351974,,3.49037006607864,0.03474091407592385,False,,1207,77.82125112498761
lqa,2,880668454,-95.6461605079131,,4.82241261168528,0.047999214699154254,False,,0,0.10921470800531097
qefem,3,2287686569,-96.71006689357048,,3.7585062260278903,0.03740977013333058,False,,7797,78.23211212499882
lqa,3,2287686569,-95.22018820819645,,5.248384911401928,0.05223907086999454,False,,0,0.10557670801063068
qefem,4,594151381,-96.69617011329733,,3.7724030063010474,0.03754808980725104,False,,5120,78.62117087500519
lqa,4,594151381,-95.18141313843964,,5.287159981158737,0.052625013145801036,False,,0,0.107918374997098
